model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi
Concrete,0.15,0.0025,373.2015411376953,73.57909475783742,0.6919459253617669,0.02749627741640985,0.9860507549083367,0.004148224819418104,897.3,766.3,694.3860585391532,10,0.9796593084098257,0.7250397003485356,3.026775147928994,0.9609524787300971,0.9264222227021434
Concrete,0.15,0.002,460.16717834472655,94.3277222198764,0.7057216298552932,0.014435452738641838,0.9863721383981441,0.007934241487660356,944.0,873.0,790.997047055283,10,0.9893055582148063,0.7626312463624597,3.3779832347140037,0.9779055769475262,0.9560616288313761
Concrete,0.15,0.0017,612.3633209228516,106.16086129958038,0.6859101294744859,0.03606028312171267,0.9914879082876693,0.0018313241782361212,1252.4,1130.8,1037.8695042886552,10,0.9818972205439367,0.7279798083647735,3.056574621959237,0.9596474906381445,0.9257707281936387
Concrete,0.15,0.0014422495703074,691.0444091796875,108.20751922523817,0.7079683929931455,0.017841603174929523,0.9928854301319184,0.0011997013087629734,1371.8,1269.1,1138.9599609208376,10,0.9875737349238695,0.772180702066702,3.152358645627876,0.9716167305150909,0.9422089529995914
Concrete,0.15,0.0012,885.8494140625,129.46410092192502,0.679988575780655,0.041914861267151216,0.9944027817293934,0.0015025704871510913,1549.9,1508.9,1376.2622295473473,10,0.9900634858515466,0.6933104171628507,2.6649243918474688,0.9724823010292312,0.9462592556680723
Concrete,0.15,0.001,1154.5420776367187,109.19720916792758,0.6685072353389185,0.05228555882159785,0.9961650080413985,0.001043985445642103,1955.0,1921.3,1733.8129887778273,10,0.9916519943515933,0.757027827370647,2.5670118343195267,0.9816795473610805,0.9627404679553541
Concrete,0.15,0.00085,1399.9602172851562,202.89084790135945,0.6214346915460777,0.08698039066679888,0.9959330893985993,0.0012417177645618913,2284.6,2254.0,2059.773542273303,10,0.989171269970562,0.5552084398891125,2.439299802761341,0.9676612019024111,0.9386257229475267
Concrete,0.2,0.003,271.7231674194336,56.49820837308624,0.7033796648895658,0.018793410438717184,0.977750655070745,0.012616295982459579,585.8,544.0,493.56266385811466,10,0.9907688667753299,0.8351545115645701,3.4354536489151872,0.9701341852698325,0.9368241908724073
Concrete,0.2,0.0025,362.34093017578124,49.15145926381792,0.6975913937547601,0.023120926805640797,0.9877342790201776,0.003663075683097777,816.9,724.3,659.5663093994352,10,0.9873893673059209,0.7605962060209338,3.2651709401709397,0.965936264616869,0.9313820211033751
Concrete,0.2,0.002,469.3942077636719,80.60329715648514,0.6849866717440974,0.026680507354729596,0.9882411582639155,0.0037379243160587006,948.5,879.0,800.3075828079724,10,0.9828934870270677,0.6891232364412642,3.024646614069691,0.9632532545392769,0.9322599221120983
