model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.001,0.05,3,8,0.9682902290632937
LSPIN,lspin_tf,0.001,0.05,3,9,0.969445678395996
LSPIN,lspin_tf,0.001,0.05,4,5,0.9842669982749926
LSPIN,lspin_tf,0.001,0.05,4,6,0.991897572291215
LSPIN,lspin_tf,0.001,0.05,4,7,0.973762299011328
LSPIN,lspin_tf,0.001,0.05,4,8,0.9905658648516876
LSPIN,lspin_tf,0.001,0.05,4,9,0.9670716353347448
LSPIN,lspin_tf,0.001,0.05,5,6,0.9807679142400496
LSPIN,lspin_tf,0.001,0.05,5,7,0.9911389600636914
LSPIN,lspin_tf,0.001,0.05,5,8,0.987519730826487
LSPIN,lspin_tf,0.001,0.05,5,9,0.976416846271692
LSPIN,lspin_tf,0.001,0.05,6,7,0.9789424832720814
LSPIN,lspin_tf,0.001,0.05,6,8,0.9887571271402968
LSPIN,lspin_tf,0.001,0.05,6,9,0.9745986271490747
LSPIN,lspin_tf,0.001,0.05,7,8,0.9871332977013204
LSPIN,lspin_tf,0.001,0.05,7,9,0.9815711603767316
LSPIN,lspin_tf,0.001,0.05,8,9,0.9737766232839536
LSPIN,lspin_tf,0.0015,0.1,0,1,0.9157606278015548
LSPIN,lspin_tf,0.0015,0.1,0,2,0.9624031098463044
LSPIN,lspin_tf,0.0015,0.1,0,3,0.9703406504857568
LSPIN,lspin_tf,0.0015,0.1,0,4,0.971781812385543
LSPIN,lspin_tf,0.0015,0.1,0,5,0.9510488106823726
LSPIN,lspin_tf,0.0015,0.1,0,6,0.9521661168582216
LSPIN,lspin_tf,0.0015,0.1,0,7,0.9638797750158486
LSPIN,lspin_tf,0.0015,0.1,0,8,0.9142611229184612
LSPIN,lspin_tf,0.0015,0.1,0,9,0.9450359178179072
LSPIN,lspin_tf,0.0015,0.1,1,2,0.9694116644477532
LSPIN,lspin_tf,0.0015,0.1,1,3,0.9582089507024372
LSPIN,lspin_tf,0.0015,0.1,1,4,0.9511223050229504
LSPIN,lspin_tf,0.0015,0.1,1,5,0.970870035993795
LSPIN,lspin_tf,0.0015,0.1,1,6,0.9690237600381656
LSPIN,lspin_tf,0.0015,0.1,1,7,0.9513403539053148
LSPIN,lspin_tf,0.0015,0.1,1,8,0.8863365061859255
LSPIN,lspin_tf,0.0015,0.1,1,9,0.9000215302456771
LSPIN,lspin_tf,0.0015,0.1,2,3,0.9899500630714124
LSPIN,lspin_tf,0.0015,0.1,2,4,0.9628889486905916
LSPIN,lspin_tf,0.0015,0.1,2,5,0.9706187970550992
LSPIN,lspin_tf,0.0015,0.1,2,6,0.9633262519569004
LSPIN,lspin_tf,0.0015,0.1,2,7,0.9752680133134902
LSPIN,lspin_tf,0.0015,0.1,2,8,0.8942578970983556
LSPIN,lspin_tf,0.0015,0.1,2,9,0.8974235988412439
LSPIN,lspin_tf,0.0015,0.1,3,4,0.971231481877058
LSPIN,lspin_tf,0.0015,0.1,3,5,0.9632210055957928
LSPIN,lspin_tf,0.0015,0.1,3,6,0.9622591923332368
LSPIN,lspin_tf,0.0015,0.1,3,7,0.9863035906888108
LSPIN,lspin_tf,0.0015,0.1,3,8,0.9202239794279334
LSPIN,lspin_tf,0.0015,0.1,3,9,0.9039530975824444
LSPIN,lspin_tf,0.0015,0.1,4,5,0.9629404965284578
LSPIN,lspin_tf,0.0015,0.1,4,6,0.9808689752989286
LSPIN,lspin_tf,0.0015,0.1,4,7,0.9647560889005355
LSPIN,lspin_tf,0.0015,0.1,4,8,0.9577561782257522
LSPIN,lspin_tf,0.0015,0.1,4,9,0.9613632731158296
LSPIN,lspin_tf,0.0015,0.1,5,6,0.9771169296240412
LSPIN,lspin_tf,0.0015,0.1,5,7,0.9696043964769078
LSPIN,lspin_tf,0.0015,0.1,5,8,0.9006212527778582
LSPIN,lspin_tf,0.0015,0.1,5,9,0.9360318615479932
LSPIN,lspin_tf,0.0015,0.1,6,7,0.9610289854708184
LSPIN,lspin_tf,0.0015,0.1,6,8,0.9342453336288392
LSPIN,lspin_tf,0.0015,0.1,6,9,0.958734937774931
LSPIN,lspin_tf,0.0015,0.1,7,8,0.9170183253459387
LSPIN,lspin_tf,0.0015,0.1,7,9,0.9029049790100716
LSPIN,lspin_tf,0.0015,0.1,8,9,0.9175706465939324
LSPIN,lspin_tf,0.001,0.1,0,1,0.966339357751184
LSPIN,lspin_tf,0.001,0.1,0,2,0.9842140368228546
LSPIN,lspin_tf,0.001,0.1,0,3,0.9905354263923766
LSPIN,lspin_tf,0.001,0.1,0,4,0.9568052682657766
LSPIN,lspin_tf,0.001,0.1,0,5,0.9382455254811451
LSPIN,lspin_tf,0.001,0.1,0,6,0.9871354062288806
LSPIN,lspin_tf,0.001,0.1,0,7,0.9892942804236478
LSPIN,lspin_tf,0.001,0.1,0,8,0.98940616428394
LSPIN,lspin_tf,0.001,0.1,0,9,0.9852931987823076
LSPIN,lspin_tf,0.001,0.1,1,2,0.9376009696070626
LSPIN,lspin_tf,0.001,0.1,1,3,0.9624283432989468
LSPIN,lspin_tf,0.001,0.1,1,4,0.9733231541323084
LSPIN,lspin_tf,0.001,0.1,1,5,0.9475820608337012
LSPIN,lspin_tf,0.001,0.1,1,6,0.973442777138658
LSPIN,lspin_tf,0.001,0.1,1,7,0.949206987893636
LSPIN,lspin_tf,0.001,0.1,1,8,0.962949105218431
LSPIN,lspin_tf,0.001,0.1,1,9,0.976775426201448
LSPIN,lspin_tf,0.001,0.1,2,3,0.9796449946952308
LSPIN,lspin_tf,0.001,0.1,2,4,0.9175963734169365
LSPIN,lspin_tf,0.001,0.1,2,5,0.9398736839750624
LSPIN,lspin_tf,0.001,0.1,2,6,0.9784225432979464
LSPIN,lspin_tf,0.001,0.1,2,7,0.994587503158001
LSPIN,lspin_tf,0.001,0.1,2,8,0.9786331497338016
LSPIN,lspin_tf,0.001,0.1,2,9,0.9673387908300892
LSPIN,lspin_tf,0.001,0.1,3,4,0.9570743652136204
LSPIN,lspin_tf,0.001,0.1,3,5,0.9220951239153928
LSPIN,lspin_tf,0.001,0.1,3,6,0.9865798765975372
LSPIN,lspin_tf,0.001,0.1,3,7,0.9797938052481056
LSPIN,lspin_tf,0.001,0.1,3,8,0.9952889568688664
LSPIN,lspin_tf,0.001,0.1,3,9,0.9796956423774094
LSPIN,lspin_tf,0.001,0.1,4,5,0.9110743392391452
LSPIN,lspin_tf,0.001,0.1,4,6,0.9587844608359438
LSPIN,lspin_tf,0.001,0.1,4,7,0.932513677161955
LSPIN,lspin_tf,0.001,0.1,4,8,0.9627878097298616
LSPIN,lspin_tf,0.001,0.1,4,9,0.9774825422728112
LSPIN,lspin_tf,0.001,0.1,5,6,0.9555753411825636
LSPIN,lspin_tf,0.001,0.1,5,7,0.9503091866920969
LSPIN,lspin_tf,0.001,0.1,5,8,0.931616118472353
LSPIN,lspin_tf,0.001,0.1,5,9,0.9545175587186194
LSPIN,lspin_tf,0.001,0.1,6,7,0.9844151389428538
