model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,0.25,0.0005,0.0,120132,9,0.7031607006854531,0.7778969957081545,1,942.0115966796876,0.9972502184162302,2107.0,1806.0,1476.4096473243887
LSPIN,lspin_tf,0.25,0.0011,0.05,160123,0,0.7101104341203351,0.7675250357653791,1,464.9420776367188,0.9942419142365072,1091.0,1018.0,781.8059300732917
LSPIN,lspin_tf,0.25,0.0011,0.05,160124,1,0.7066831683168316,0.7732474964234621,1,452.2200622558594,0.992978456458996,1034.0,974.0,729.1009398258133
LSPIN,lspin_tf,0.25,0.0011,0.05,160125,2,0.6920220868240671,0.7825464949928469,1,418.46331787109375,0.9925611376043738,908.0,826.0,662.9688334333295
LSPIN,lspin_tf,0.25,0.0011,0.05,160126,3,0.7258187357197258,0.7846924177396281,1,437.1080932617188,0.9933769868071424,986.0,933.0,739.1092069614228
LSPIN,lspin_tf,0.25,0.0011,0.05,160127,4,0.6845011424219345,0.7682403433476395,0,410.166015625,0.9930299578249758,1201.0,876.0,693.4798254275823
LSPIN,lspin_tf,0.25,0.0011,0.05,160128,5,0.7172505712109672,0.7618025751072961,1,446.9768371582031,0.9928729718155008,1057.0,999.0,792.5510477449178
LSPIN,lspin_tf,0.25,0.0011,0.05,160129,6,0.714013709063214,0.7868383404864091,2,460.3359069824219,0.9929888022287692,1056.0,1013.0,771.6755500438938
LSPIN,lspin_tf,0.25,0.0011,0.05,160130,7,0.7199162223914699,0.7761087267525035,1,392.5366821289063,0.9931283264513556,939.0,870.0,698.1385046366187
LSPIN,lspin_tf,0.25,0.0011,0.05,160131,8,0.6912604722010662,0.8004291845493562,1,488.32818603515625,0.9943350512852668,1177.0,1118.0,813.8383055904407
LSPIN,lspin_tf,0.25,0.0011,0.05,160132,9,0.7217250571210967,0.7682403433476395,1,413.4555969238281,0.9936748198940096,991.0,923.0,712.0359728833445
LSPIN,lspin_tf,0.25,0.0007,0.05,200123,0,0.7195354150799695,0.8068669527896996,2,739.1814575195312,0.9958859154983114,1400.0,1348.0,1107.6337877098142
LSPIN,lspin_tf,0.25,0.0007,0.05,200124,1,0.7001142421934501,0.8090128755364807,1,679.5482788085938,0.9957837162970872,1394.0,1313.0,1011.9017357505868
LSPIN,lspin_tf,0.25,0.0007,0.05,200125,2,0.6827875095201827,0.7861230329041488,1,895.7528686523438,0.9967524293176238,1663.0,1540.0,1314.015970998808
LSPIN,lspin_tf,0.25,0.0007,0.05,200126,3,0.7101104341203351,0.7618025751072961,1,642.814697265625,0.9949378775848738,1358.0,1279.0,1004.7140679104704
LSPIN,lspin_tf,0.25,0.0007,0.05,200127,4,0.7287699923838538,0.7796852646638054,1,748.9035034179688,0.995330415752746,1393.0,1307.0,1071.990499070383
LSPIN,lspin_tf,0.25,0.0007,0.05,200128,5,0.6995430312261995,0.7882689556509299,1,629.231689453125,0.9956226488224303,1379.0,1295.0,1002.0958909973268
LSPIN,lspin_tf,0.25,0.0007,0.05,200129,6,0.7215346534653465,0.7746781115879828,1,664.4053955078125,0.9960880732252476,1592.0,1495.0,1126.5560192653727
LSPIN,lspin_tf,0.25,0.0007,0.05,200130,7,0.7158225437928408,0.8004291845493562,2,820.5328369140625,0.9950766226412948,1422.0,1384.0,1130.6064338573751
LSPIN,lspin_tf,0.25,0.0007,0.05,200131,8,0.7208682406702208,0.7804005722460658,1,615.3243408203125,0.995232367661681,1364.0,1302.0,996.9415719446356
LSPIN,lspin_tf,0.25,0.0007,0.05,200132,9,0.7142993145468393,0.7947067238912733,1,664.8648681640625,0.9946583754888312,1215.0,1128.0,906.2764715119856
LSPIN,lspin_tf,0.25,0.0011,0.1,240123,0,0.720011424219345,0.8032904148783977,2,573.4285888671875,0.9952557269955988,1133.0,1097.0,881.5875548772169
LSPIN,lspin_tf,0.25,0.0011,0.1,240124,1,0.7088728103579589,0.7825464949928469,1,457.7953796386719,0.9924972936013808,996.0,915.0,686.5652172684255
LSPIN,lspin_tf,0.25,0.0011,0.1,240125,2,0.7137281035795887,0.7696709585121603,1,431.3706665039063,0.991000183450922,907.0,845.0,716.199680384546
LSPIN,lspin_tf,0.25,0.0011,0.1,240126,3,0.6999238385376999,0.7732474964234621,1,392.8185424804688,0.9929419481871168,920.0,815.0,625.1655372575182
LSPIN,lspin_tf,0.25,0.0011,0.1,240127,4,0.7294364051789795,0.8075822603719599,1,415.687255859375,0.9941115085606168,1054.0,1009.0,684.56068424073
LSPIN,lspin_tf,0.25,0.0011,0.1,240128,5,0.7104912414318355,0.7868383404864091,1,435.8687133789063,0.994523077137356,1021.0,944.0,728.7176637588569
