histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.704225352112676,LSPIN,0.001,0.05,170125
kidneyclearcellrenalcarcinoma,156,0.698644869864487,LSPIN,0.001,0.05,170125
kidneypapillaryrenalcellcarcinoma,84,0.7511520737327189,LSPIN,0.001,0.05,170125
kidneychromophobe,19,0.704225352112676,LSPIN,0.001,0.05,170126
kidneyclearcellrenalcarcinoma,156,0.6775650677565068,LSPIN,0.001,0.05,170126
kidneypapillaryrenalcellcarcinoma,84,0.7665130568356375,LSPIN,0.001,0.05,170126
kidneychromophobe,19,0.676056338028169,LSPIN,0.001,0.05,170127
kidneyclearcellrenalcarcinoma,156,0.6681006668100666,LSPIN,0.001,0.05,170127
kidneypapillaryrenalcellcarcinoma,84,0.8003072196620584,LSPIN,0.001,0.05,170127
kidneychromophobe,19,0.704225352112676,LSPIN,0.001,0.05,170128
kidneyclearcellrenalcarcinoma,156,0.700580770058077,LSPIN,0.001,0.05,170128
kidneypapillaryrenalcellcarcinoma,84,0.8402457757296466,LSPIN,0.001,0.05,170128
kidneychromophobe,19,0.676056338028169,LSPIN,0.001,0.05,170129
kidneyclearcellrenalcarcinoma,156,0.6822972682297268,LSPIN,0.001,0.05,170129
kidneypapillaryrenalcellcarcinoma,84,0.8141321044546851,LSPIN,0.001,0.05,170129
kidneychromophobe,19,0.6901408450704225,LSPIN,0.001,0.05,170130
kidneyclearcellrenalcarcinoma,156,0.6861690686169069,LSPIN,0.001,0.05,170130
kidneypapillaryrenalcellcarcinoma,84,0.7511520737327189,LSPIN,0.001,0.05,170130
kidneychromophobe,19,0.5915492957746479,LSPIN,0.001,0.05,170131
kidneyclearcellrenalcarcinoma,156,0.6687459668745966,LSPIN,0.001,0.05,170131
kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,LSPIN,0.001,0.05,170131
kidneychromophobe,19,0.6338028169014085,LSPIN,0.001,0.05,170132
kidneyclearcellrenalcarcinoma,156,0.6644439664443966,LSPIN,0.001,0.05,170132
kidneypapillaryrenalcellcarcinoma,84,0.7050691244239631,LSPIN,0.001,0.05,170132
kidneychromophobe,19,0.6056338028169014,LSPIN,0.0015,0.1,210123
kidneyclearcellrenalcarcinoma,156,0.6767046676704668,LSPIN,0.0015,0.1,210123
kidneypapillaryrenalcellcarcinoma,84,0.8110599078341014,LSPIN,0.0015,0.1,210123
kidneychromophobe,19,0.8028169014084507,LSPIN,0.0015,0.1,210124
kidneyclearcellrenalcarcinoma,156,0.6326091632609163,LSPIN,0.0015,0.1,210124
kidneypapillaryrenalcellcarcinoma,84,0.7296466973886329,LSPIN,0.0015,0.1,210124
kidneychromophobe,19,0.6197183098591549,LSPIN,0.0015,0.1,210125
kidneyclearcellrenalcarcinoma,156,0.694773069477307,LSPIN,0.0015,0.1,210125
kidneypapillaryrenalcellcarcinoma,84,0.7757296466973886,LSPIN,0.0015,0.1,210125
kidneychromophobe,19,0.647887323943662,LSPIN,0.0015,0.1,210126
