model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.0018,0.0,5,6,0.6914881692279033,3.639792899408284,0.5757575757575758,2.4903846153846154,0.3333333333333333
LSPIN,lspin_tf,0.0018,0.0,5,7,0.8929535752175959,4.118713017751479,0.7049180327868853,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.0018,0.0,5,8,0.8816353879026885,3.831360946745562,0.625,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,0.0018,0.0,5,9,0.7720072889393153,2.8735207100591715,0.4054054054054054,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0018,0.0,6,7,0.7345445294667466,3.639792899408284,0.5757575757575758,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.0018,0.0,6,8,0.6538747162757615,3.256656804733728,0.4857142857142857,2.107248520710059,0.2682926829268293
LSPIN,lspin_tf,0.0018,0.0,6,9,0.5951537835212866,2.586168639053254,0.3506493506493506,2.107248520710059,0.2682926829268293
LSPIN,lspin_tf,0.0018,0.0,7,8,0.8087180207931195,3.352440828402367,0.5072463768115942,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,0.0018,0.0,7,9,0.7949723781661563,2.8735207100591715,0.4054054054054054,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.0018,0.0,8,9,0.7884204766619083,2.3946005917159763,0.3164556962025316,4.02292899408284,0.6774193548387096
LSPIN,lspin_tf,0.0012,0.0,0,1,0.4952523395235373,3.831360946745562,0.625,1.6283284023668638,0.1954022988505747
LSPIN,lspin_tf,0.0012,0.0,0,2,0.7928654854850998,3.831360946745562,0.625,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,0.0012,0.0,0,3,0.8166216154071962,3.735576923076923,0.6,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,0.0012,0.0,0,4,0.8091762500153975,3.831360946745562,0.625,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0012,0.0,0,5,0.7308586988502715,3.1608727810650885,0.4647887323943662,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.0012,0.0,0,6,0.7898748218784635,3.256656804733728,0.4857142857142857,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0012,0.0,0,7,0.7056428699409059,3.0650887573964494,0.4444444444444444,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.0012,0.0,0,8,0.7291438920322165,2.8735207100591715,0.4054054054054054,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,0.0012,0.0,0,9,0.8540268546132093,3.256656804733728,0.4857142857142857,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0012,0.0,1,2,0.7375276558868575,3.927144970414201,0.6507936507936508,1.8198964497041417,0.2235294117647059
LSPIN,lspin_tf,0.0012,0.0,1,3,0.5725095626348616,3.448224852071006,0.5294117647058824,1.2451923076923077,0.1428571428571428
LSPIN,lspin_tf,0.0012,0.0,1,4,0.7359200044001638,3.831360946745562,0.625,2.01146449704142,0.253012048192771
LSPIN,lspin_tf,0.0012,0.0,1,5,0.7784669820074123,3.639792899408284,0.5757575757575758,2.586168639053254,0.3506493506493506
LSPIN,lspin_tf,0.0012,0.0,1,6,0.7460391167893043,3.448224852071006,0.5294117647058824,2.4903846153846154,0.3333333333333333
LSPIN,lspin_tf,0.0012,0.0,1,7,0.6256223214014476,2.8735207100591715,0.4054054054054054,1.8198964497041417,0.2235294117647059
LSPIN,lspin_tf,0.0012,0.0,1,8,0.506212810346313,2.7777366863905324,0.3866666666666666,1.1494082840236686,0.1304347826086956
LSPIN,lspin_tf,0.0012,0.0,1,9,0.5959964247078943,3.448224852071006,0.5294117647058824,1.724112426035503,0.2093023255813953
LSPIN,lspin_tf,0.0012,0.0,2,3,0.8567316585601447,3.831360946745562,0.625,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0012,0.0,2,4,0.8651689711448896,3.735576923076923,0.6,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0012,0.0,2,5,0.8715334543945018,3.735576923076923,0.6,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.0012,0.0,2,6,0.8366150371391474,3.352440828402367,0.5072463768115942,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0012,0.0,2,7,0.7738961678383224,3.448224852071006,0.5294117647058824,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,0.0012,0.0,2,8,0.8242844180338552,3.352440828402367,0.5072463768115942,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0012,0.0,2,9,0.8340129726142427,3.1608727810650885,0.4647887323943662,3.352440828402367,0.5072463768115942
