family,selection,fold,rep,subgroup,n_subgroups_this_model,k,n_test,n_events_test,cindex_own,cindex_global,cindex_foreign,cindex_random_median,own_minus_global,own_minus_foreign,own_minus_random
Concrete,smooth,1,0,1,4,50,82,17,0.43142857142857144,0.5357142857142857,0.5028571428571429,0.5264285714285715,-0.10428571428571426,-0.07142857142857145,-0.09500000000000003
LSPIN,smooth,1,0,0,4,50,68,10,0.7083333333333334,0.4305555555555556,0.4652777777777778,0.6059027777777778,0.2777777777777778,0.24305555555555558,0.10243055555555558
LSPIN,smooth,1,0,1,4,50,196,29,0.43867166577396893,0.43331547937868237,0.5522228173540439,0.5297268344938404,0.005356186395286566,-0.11355115158007495,-0.09105516871987146
LSPIN,smooth,1,0,2,4,50,77,16,0.5636363636363636,0.6148760330578512,0.5289256198347108,0.5553719008264464,-0.05123966942148761,0.034710743801652844,0.008264462809917217
Concrete,smooth,1,1,0,4,50,76,15,0.4883303411131059,0.5565529622980251,0.4991023339317774,0.48473967684021546,-0.06822262118491917,-0.010771992818671472,0.0035906642728904536
Concrete,smooth,1,1,1,4,50,60,7,0.6368715083798883,0.547486033519553,0.6312849162011173,0.4888268156424581,0.08938547486033521,0.005586592178770999,0.14804469273743015
Concrete,smooth,1,1,3,4,50,196,30,0.591182364729459,0.5445891783567134,0.6017034068136272,0.5498496993987976,0.046593186372745565,-0.010521042084168264,0.04133266533066138
LSPIN,smooth,1,1,0,4,50,209,31,0.4450092421441775,0.5526802218114603,0.5240295748613678,0.5173290203327172,-0.10767097966728278,-0.07902033271719033,-0.07231977818853974
LSPIN,smooth,1,1,1,4,50,89,19,0.4873035066505441,0.5695284159613059,0.4957678355501814,0.5169286577992744,-0.08222490931076176,-0.008464328899637275,-0.029625151148730322
LSPIN,smooth,1,1,3,4,50,46,5,0.32673267326732675,0.5247524752475248,0.5445544554455446,0.5495049504950495,-0.19801980198019803,-0.21782178217821785,-0.2227722772277228
Concrete,smooth,2,0,0,4,50,241,35,0.5311526479750779,0.5451713395638629,0.5545171339563862,0.5665109034267912,-0.014018691588784993,-0.02336448598130836,-0.03535825545171334
Concrete,smooth,2,0,1,4,50,73,10,0.5446428571428571,0.5416666666666666,0.5863095238095238,0.5714285714285714,0.0029761904761904656,-0.04166666666666674,-0.0267857142857143
Concrete,smooth,2,0,3,4,50,29,5,0.5657894736842105,0.618421052631579,0.7236842105263158,0.5263157894736843,-0.052631578947368474,-0.1578947368421053,0.039473684210526216
LSPIN,smooth,2,0,0,4,50,172,22,0.45548489666136727,0.41255961844197137,0.609697933227345,0.5476947535771065,0.0429252782193959,-0.15421303656597773,-0.09220985691573924
LSPIN,smooth,2,0,1,4,50,86,17,0.5444947209653092,0.5384615384615384,0.7360482654600302,0.5512820512820513,0.006033182503770718,-0.19155354449472106,-0.006787330316742168
LSPIN,smooth,2,0,2,4,50,84,12,0.65439672801636,0.5480572597137015,0.4948875255623722,0.5685071574642127,0.1063394683026585,0.15950920245398775,0.0858895705521473
Concrete,smooth,2,1,0,4,50,261,38,0.5919363122752953,0.6201848998459168,0.5177195685670262,0.5914227015921931,-0.02824858757062154,0.07421674370826914,0.0005136106831021836
Concrete,smooth,2,1,1,4,50,42,6,0.436241610738255,0.5234899328859061,0.4697986577181208,0.4832214765100671,-0.08724832214765105,-0.03355704697986578,-0.04697986577181207
Concrete,smooth,2,1,2,4,50,40,6,0.36619718309859156,0.6338028169014085,0.6197183098591549,0.471830985915493,-0.26760563380281693,-0.2535211267605633,-0.10563380281690143
LSPIN,smooth,2,1,0,4,50,184,25,0.45191703331238214,0.5147705845380264,0.5631678189817725,0.538340666247643,-0.06285355122564423,-0.11125078566939034,-0.08642363293526084
LSPIN,smooth,2,1,1,4,50,89,12,0.43622920517560076,0.3438077634011091,0.49353049907578556,0.5933456561922366,0.09242144177449169,-0.05730129390018479,-0.1571164510166358
LSPIN,smooth,2,1,3,4,50,70,13,0.571072319201995,0.743142144638404,0.5935162094763092,0.6458852867830425,-0.17206982543640903,-0.02244389027431426,-0.0748129675810475
