model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
L-Concrete,concrete,linear,0.0066,0.1,1,4,208,0.6624272873192528,2.742504409171076,0.3846153846153846,2.2723607961703203,0.2989690721649484
L-Concrete,concrete,linear,0.0066,0.1,1,5,208,0.699688013869022,2.6641471403376165,0.3695652173913043,2.742504409171076,0.3846153846153846
L-Concrete,concrete,linear,0.0066,0.1,1,6,208,0.6090483379809009,2.429075333837239,0.3263157894736842,2.3507180650037798,0.3125
L-Concrete,concrete,linear,0.0066,0.1,1,7,208,0.7031554542569968,2.8208616780045355,0.4,2.1940035273368608,0.2857142857142857
L-Concrete,concrete,linear,0.0066,0.1,2,3,208,0.5895277661871319,2.1940035273368608,0.2857142857142857,2.3507180650037798,0.3125
L-Concrete,concrete,linear,0.0066,0.1,2,4,208,0.6740999199213507,2.742504409171076,0.3846153846153846,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.1,2,5,208,0.6702942050906856,2.2723607961703203,0.2989690721649484,2.8208616780045355,0.4
L-Concrete,concrete,linear,0.0066,0.1,2,6,208,0.5817058555544673,2.3507180650037798,0.3125,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.1,2,7,208,0.5794433904795284,2.507432602670698,0.3404255319148936,2.2723607961703203,0.2989690721649484
L-Concrete,concrete,linear,0.0066,0.1,3,4,208,0.6300640856294774,2.5857898715041574,0.3548387096774194,2.1940035273368608,0.2857142857142857
L-Concrete,concrete,linear,0.0066,0.1,3,5,208,0.6220305818355994,2.742504409171076,0.3846153846153846,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.1,3,6,208,0.5793948416528547,2.507432602670698,0.3404255319148936,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.1,3,7,208,0.643239244817935,2.507432602670698,0.3404255319148936,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.1,4,5,208,0.6175512145915772,2.6641471403376165,0.3695652173913043,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.1,4,6,208,0.5719453742460975,2.429075333837239,0.3263157894736842,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.1,4,7,208,0.6493395203406219,2.8208616780045355,0.4,2.429075333837239,0.3263157894736842
L-Concrete,concrete,linear,0.0066,0.1,5,6,208,0.5712385914302357,2.8992189468379945,0.4157303370786517,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.1,5,7,208,0.6720724905745044,2.5857898715041574,0.3548387096774194,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.1,6,7,208,0.585987519463835,2.429075333837239,0.3263157894736842,2.2723607961703203,0.2989690721649484
