histology,n_test,cindex,global_cfg_idx,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6055646481178396,13,LSPIN,mlp,0.0105,0.1,130128
infiltratinglobularcarcinoma,60,0.582010582010582,13,LSPIN,mlp,0.0105,0.1,130128
other,23,0.5675675675675675,13,LSPIN,mlp,0.0105,0.1,130128
infiltratingductalcarcinoma,220,0.6144026186579378,13,LSPIN,mlp,0.0105,0.1,130129
infiltratinglobularcarcinoma,60,0.4973544973544973,13,LSPIN,mlp,0.0105,0.1,130129
other,23,0.4594594594594595,13,LSPIN,mlp,0.0105,0.1,130129
infiltratingductalcarcinoma,220,0.5731587561374796,13,LSPIN,mlp,0.0105,0.1,130130
infiltratinglobularcarcinoma,60,0.492063492063492,13,LSPIN,mlp,0.0105,0.1,130130
other,23,0.3783783783783784,13,LSPIN,mlp,0.0105,0.1,130130
infiltratingductalcarcinoma,220,0.6166939443535189,17,LSPIN,mlp,0.0035,0.2,170123
infiltratinglobularcarcinoma,60,0.544973544973545,17,LSPIN,mlp,0.0035,0.2,170123
other,23,0.5405405405405406,17,LSPIN,mlp,0.0035,0.2,170123
infiltratingductalcarcinoma,220,0.6425531914893617,17,LSPIN,mlp,0.0035,0.2,170124
infiltratinglobularcarcinoma,60,0.5079365079365079,17,LSPIN,mlp,0.0035,0.2,170124
other,23,0.5675675675675675,17,LSPIN,mlp,0.0035,0.2,170124
infiltratingductalcarcinoma,220,0.6206219312602291,17,LSPIN,mlp,0.0035,0.2,170125
infiltratinglobularcarcinoma,60,0.6084656084656085,17,LSPIN,mlp,0.0035,0.2,170125
other,23,0.6216216216216216,17,LSPIN,mlp,0.0035,0.2,170125
infiltratingductalcarcinoma,220,0.6343698854337152,17,LSPIN,mlp,0.0035,0.2,170126
infiltratinglobularcarcinoma,60,0.6084656084656085,17,LSPIN,mlp,0.0035,0.2,170126
other,23,0.6486486486486487,17,LSPIN,mlp,0.0035,0.2,170126
infiltratingductalcarcinoma,220,0.6170212765957447,17,LSPIN,mlp,0.0035,0.2,170127
infiltratinglobularcarcinoma,60,0.492063492063492,17,LSPIN,mlp,0.0035,0.2,170127
other,23,0.6486486486486487,17,LSPIN,mlp,0.0035,0.2,170127
infiltratingductalcarcinoma,220,0.6451718494271685,17,LSPIN,mlp,0.0035,0.2,170128
infiltratinglobularcarcinoma,60,0.5714285714285714,17,LSPIN,mlp,0.0035,0.2,170128
other,23,0.4864864864864865,17,LSPIN,mlp,0.0035,0.2,170128
infiltratingductalcarcinoma,220,0.6219312602291326,17,LSPIN,mlp,0.0035,0.2,170129
infiltratinglobularcarcinoma,60,0.656084656084656,17,LSPIN,mlp,0.0035,0.2,170129
other,23,0.5675675675675675,17,LSPIN,mlp,0.0035,0.2,170129
infiltratingductalcarcinoma,220,0.6527004909983634,17,LSPIN,mlp,0.0035,0.2,170130
infiltratinglobularcarcinoma,60,0.6190476190476191,17,LSPIN,mlp,0.0035,0.2,170130
other,23,0.5405405405405406,17,LSPIN,mlp,0.0035,0.2,170130
infiltratingductalcarcinoma,220,0.5829787234042553,21,LSPIN,mlp,0.0105,0.2,210123
infiltratinglobularcarcinoma,60,0.6031746031746031,21,LSPIN,mlp,0.0105,0.2,210123
other,23,0.4864864864864865,21,LSPIN,mlp,0.0105,0.2,210123
infiltratingductalcarcinoma,220,0.6238952536824878,21,LSPIN,mlp,0.0105,0.2,210124
infiltratinglobularcarcinoma,60,0.4708994708994709,21,LSPIN,mlp,0.0105,0.2,210124
other,23,0.5675675675675675,21,LSPIN,mlp,0.0105,0.2,210124
infiltratingductalcarcinoma,220,0.6671031096563012,21,LSPIN,mlp,0.0105,0.2,210125
infiltratinglobularcarcinoma,60,0.6031746031746031,21,LSPIN,mlp,0.0105,0.2,210125
other,23,0.2702702702702703,21,LSPIN,mlp,0.0105,0.2,210125
infiltratingductalcarcinoma,220,0.5852700490998364,21,LSPIN,mlp,0.0105,0.2,210126
infiltratinglobularcarcinoma,60,0.6613756613756614,21,LSPIN,mlp,0.0105,0.2,210126
other,23,0.4864864864864865,21,LSPIN,mlp,0.0105,0.2,210126
infiltratingductalcarcinoma,220,0.5679214402618658,21,LSPIN,mlp,0.0105,0.2,210127
infiltratinglobularcarcinoma,60,0.5767195767195767,21,LSPIN,mlp,0.0105,0.2,210127
other,23,0.6486486486486487,21,LSPIN,mlp,0.0105,0.2,210127
infiltratingductalcarcinoma,220,0.628150572831424,21,LSPIN,mlp,0.0105,0.2,210128
infiltratinglobularcarcinoma,60,0.4867724867724867,21,LSPIN,mlp,0.0105,0.2,210128
other,23,0.4864864864864865,21,LSPIN,mlp,0.0105,0.2,210128
infiltratingductalcarcinoma,220,0.6202945990180033,21,LSPIN,mlp,0.0105,0.2,210129
infiltratinglobularcarcinoma,60,0.4867724867724867,21,LSPIN,mlp,0.0105,0.2,210129
other,23,0.5675675675675675,21,LSPIN,mlp,0.0105,0.2,210129
infiltratingductalcarcinoma,220,0.6193126022913257,21,LSPIN,mlp,0.0105,0.2,210130
infiltratinglobularcarcinoma,60,0.6243386243386243,21,LSPIN,mlp,0.0105,0.2,210130
other,23,0.6486486486486487,21,LSPIN,mlp,0.0105,0.2,210130
infiltratingductalcarcinoma,220,0.6556464811783961,25,LSPIN,mlp,0.0035,0.4,250123
infiltratinglobularcarcinoma,60,0.783068783068783,25,LSPIN,mlp,0.0035,0.4,250123
other,23,0.5945945945945946,25,LSPIN,mlp,0.0035,0.4,250123
infiltratingductalcarcinoma,220,0.6157119476268412,25,LSPIN,mlp,0.0035,0.4,250124
infiltratinglobularcarcinoma,60,0.6772486772486772,25,LSPIN,mlp,0.0035,0.4,250124
other,23,0.6756756756756757,25,LSPIN,mlp,0.0035,0.4,250124
infiltratingductalcarcinoma,220,0.6209492635024549,25,LSPIN,mlp,0.0035,0.4,250125
infiltratinglobularcarcinoma,60,0.7195767195767195,25,LSPIN,mlp,0.0035,0.4,250125
other,23,0.6216216216216216,25,LSPIN,mlp,0.0035,0.4,250125
infiltratingductalcarcinoma,220,0.679214402618658,25,LSPIN,mlp,0.0035,0.4,250126
infiltratinglobularcarcinoma,60,0.7195767195767195,25,LSPIN,mlp,0.0035,0.4,250126
other,23,0.6486486486486487,25,LSPIN,mlp,0.0035,0.4,250126
infiltratingductalcarcinoma,220,0.6638297872340425,25,LSPIN,mlp,0.0035,0.4,250127
infiltratinglobularcarcinoma,60,0.5661375661375662,25,LSPIN,mlp,0.0035,0.4,250127
other,23,0.5675675675675675,25,LSPIN,mlp,0.0035,0.4,250127
infiltratingductalcarcinoma,220,0.6104746317512275,25,LSPIN,mlp,0.0035,0.4,250128
infiltratinglobularcarcinoma,60,0.5026455026455027,25,LSPIN,mlp,0.0035,0.4,250128
other,23,0.5675675675675675,25,LSPIN,mlp,0.0035,0.4,250128
infiltratingductalcarcinoma,220,0.6317512274959084,25,LSPIN,mlp,0.0035,0.4,250129
infiltratinglobularcarcinoma,60,0.5714285714285714,25,LSPIN,mlp,0.0035,0.4,250129
other,23,0.6756756756756757,25,LSPIN,mlp,0.0035,0.4,250129
