global_cfg_idx,model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
156,L-LSPIN,lspin_tf,linear,0.15,0.00875,0.4,1560125,2,0.6258804258804259,0.78125,39,612.0675048828125,0.9717540953072952,2419.0,884.0,803.1083727693915
156,L-LSPIN,lspin_tf,linear,0.15,0.00875,0.4,1560126,3,0.5923013923013923,0.8486842105263158,39,614.208984375,0.9712196389966984,2529.0,824.0,778.505249301574
156,L-LSPIN,lspin_tf,linear,0.15,0.00875,0.4,1560127,4,0.6167076167076168,0.8848684210526315,31,726.414794921875,0.9756118941374572,3676.0,1035.0,986.8121486475952
156,L-LSPIN,lspin_tf,linear,0.15,0.00875,0.4,1560128,5,0.6681408681408681,0.8667763157894737,51,506.2604370117188,0.9630594028387816,1646.0,741.0,652.1311614880149
156,L-LSPIN,lspin_tf,linear,0.15,0.00875,0.4,1560129,6,0.6666666666666666,0.8552631578947368,80,665.1607666015625,0.9690719001946484,2500.0,865.0,814.089396926777
156,L-LSPIN,lspin_tf,linear,0.15,0.00875,0.4,1560130,7,0.6317772317772318,0.8404605263157895,56,555.90673828125,0.9538717499794268,1783.0,767.0,705.1293278791273
160,L-LSPIN,lspin_tf,linear,0.15,0.028,0.4,1600123,0,0.571990171990172,0.8914473684210527,91,175.05787658691406,0.8977220012338432,1188.0,204.0,216.16937517575508
160,L-LSPIN,lspin_tf,linear,0.15,0.028,0.4,1600124,1,0.5965601965601965,0.8157894736842105,57,170.08682250976562,0.9113233055285528,961.0,196.0,201.7554101391884
160,L-LSPIN,lspin_tf,linear,0.15,0.028,0.4,1600125,2,0.5108927108927109,0.8832236842105263,98,183.5337677001953,0.9124694544650672,758.0,206.0,208.21374655887183
160,L-LSPIN,lspin_tf,linear,0.15,0.028,0.4,1600126,3,0.6004914004914005,0.8404605263157895,35,166.46945190429688,0.8975081597340514,1160.0,201.0,207.65610815988737
160,L-LSPIN,lspin_tf,linear,0.15,0.028,0.4,1600127,4,0.6214578214578215,0.8322368421052632,53,152.58200073242188,0.8972365242947213,724.0,171.0,173.937058108826
160,L-LSPIN,lspin_tf,linear,0.15,0.028,0.4,1600128,5,0.556920556920557,0.8601973684210527,88,143.61737060546875,0.869716229244678,904.0,177.0,176.17890265951218
160,L-LSPIN,lspin_tf,linear,0.15,0.028,0.4,1600129,6,0.5351351351351351,0.8125,92,180.64308166503903,0.894925413055426,720.0,212.0,208.11740094211703
160,L-LSPIN,lspin_tf,linear,0.15,0.028,0.4,1600130,7,0.593939393939394,0.8174342105263158,72,179.03536987304688,0.9150803841486168,880.0,213.0,212.50861671169767
164,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.0,1640123,0,0.619000819000819,0.8914473684210527,131,100.95819854736328,0.930009967724223,1800.0,335.0,394.85706757468057
164,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.0,1640124,1,0.6394758394758395,0.8799342105263158,49,127.45015716552734,0.925199499751616,2614.0,419.0,529.5451263976506
164,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.0,1640125,2,0.5574119574119574,0.8305921052631579,43,125.25080108642578,0.9347385010920648,2805.0,405.0,536.5494308380963
164,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.0,1640126,3,0.609009009009009,0.8782894736842105,74,113.53376007080078,0.9240868840844272,2390.0,390.0,511.2280509413828
164,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.0,1640127,4,0.6319410319410319,0.8273026315789473,52,121.12218475341795,0.9402263127497676,2586.0,422.0,515.8809069301728
164,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.0,1640128,5,0.6497952497952498,0.8782894736842105,50,113.848876953125,0.914866747220356,2530.0,394.0,513.282599177204
164,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.0,1640129,6,0.6555282555282556,0.8832236842105263,34,151.18971252441406,0.9302924649081672,3571.0,433.0,593.7842786681931
164,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.0,1640130,7,0.612940212940213,0.8338815789473685,110,101.05787658691406,0.92715623734708,1964.0,356.0,444.09395390151343
168,L-LSPIN,lspin_tf,linear,0.12,0.028,0.0,1680123,0,0.579033579033579,0.84375,31,76.79742431640625,0.8385861734021296,1897.0,142.0,187.4057142476576
168,L-LSPIN,lspin_tf,linear,0.12,0.028,0.0,1680124,1,0.5203931203931204,0.8355263157894737,77,63.88745880126953,0.8575438377942298,1579.0,138.0,176.3372411625315
168,L-LSPIN,lspin_tf,linear,0.12,0.028,0.0,1680125,2,0.5606879606879607,0.7648026315789473,89,49.009647369384766,0.8596915832911963,1487.0,137.0,202.8257425000092
168,L-LSPIN,lspin_tf,linear,0.12,0.028,0.0,1680126,3,0.6114660114660114,0.8157894736842105,93,53.778133392333984,0.863369184047183,1507.0,140.0,190.67626454016715
168,L-LSPIN,lspin_tf,linear,0.12,0.028,0.0,1680127,4,0.5636363636363636,0.9111842105263158,119,46.418006896972656,0.8493802041055993,1185.0,123.0,160.64953563150152
168,L-LSPIN,lspin_tf,linear,0.12,0.028,0.0,1680128,5,0.5290745290745291,0.8552631578947368,55,74.0739517211914,0.892381929129826,1721.0,151.0,195.01449995361483
168,L-LSPIN,lspin_tf,linear,0.12,0.028,0.0,1680129,6,0.6723996723996724,0.9095394736842104,61,72.61415100097656,0.8776295494144679,1389.0,149.0,170.53078418892514
168,L-LSPIN,lspin_tf,linear,0.12,0.028,0.0,1680130,7,0.5516789516789516,0.8322368421052632,165,46.40192794799805,0.8460374515744932,1471.0,115.0,181.5670517777156
172,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,1720123,0,0.6104832104832105,0.8355263157894737,89,510.59808349609375,0.9657060206199084,1797.0,684.0,633.7482808911419
172,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,1720124,1,0.6411138411138411,0.8634868421052632,47,656.6012573242188,0.9739933877885604,3008.0,892.0,845.905946593041
172,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,1720125,2,0.5950859950859951,0.837171052631579,62,561.755615234375,0.9688645511911692,2094.0,777.0,703.8230778325412
172,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,1720126,3,0.5742833742833743,0.8174342105263158,76,545.62060546875,0.9714109957962368,2429.0,717.0,681.3346502871942
172,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,1720127,4,0.6324324324324324,0.8240131578947368,28,609.2958374023438,0.976234720674553,2638.0,909.0,837.536697473294
172,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,1720128,5,0.6147420147420147,0.8223684210526315,40,534.8649291992188,0.9646407373336316,2692.0,773.0,717.8146827758804
172,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,1720129,6,0.6352170352170352,0.78125,54,560.3408203125,0.9701148857608578,2289.0,817.0,752.745841044396
172,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.1,1720130,7,0.6142506142506142,0.8305921052631579,46,597.3922729492188,0.97115205462661,3054.0,836.0,798.301010378537
176,L-LSPIN,lspin_tf,linear,0.12,0.028,0.1,1760123,0,0.5855855855855856,0.8322368421052632,50,183.72348022460935,0.8982199830066413,1782.0,216.0,243.4732831785492
176,L-LSPIN,lspin_tf,linear,0.12,0.028,0.1,1760124,1,0.6036036036036037,0.837171052631579,46,182.61415100097656,0.8936791232362088,1009.0,219.0,221.12117886414129
176,L-LSPIN,lspin_tf,linear,0.12,0.028,0.1,1760125,2,0.6784602784602785,0.8552631578947368,57,180.4565887451172,0.9084220409496452,1432.0,223.0,234.00704249716264
176,L-LSPIN,lspin_tf,linear,0.12,0.028,0.1,1760126,3,0.588042588042588,0.8799342105263158,50,179.35047912597656,0.8959184631282902,1566.0,204.0,225.96690667063365
176,L-LSPIN,lspin_tf,linear,0.12,0.028,0.1,1760127,4,0.5841113841113841,0.8634868421052632,68,172.98391723632812,0.9124235287076846,1014.0,212.0,214.6819646729259
176,L-LSPIN,lspin_tf,linear,0.12,0.028,0.1,1760128,5,0.625061425061425,0.8207236842105263,26,232.8971099853516,0.9173420409131924,1585.0,281.0,295.219956346082
176,L-LSPIN,lspin_tf,linear,0.12,0.028,0.1,1760129,6,0.5895167895167895,0.8519736842105263,86,161.37942504882812,0.8915639935050826,1304.0,196.0,208.6785328572976
176,L-LSPIN,lspin_tf,linear,0.12,0.028,0.1,1760130,7,0.6448812448812449,0.7894736842105263,40,195.78778076171875,0.9055820490796472,1166.0,244.0,247.6306290202211
180,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.2,1800123,0,0.6366912366912367,0.8453947368421053,41,583.5755615234375,0.971554641241241,2741.0,779.0,754.5054164341802
180,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.2,1800124,1,0.6126126126126126,0.8289473684210527,57,606.5755615234375,0.973786673821145,2750.0,849.0,790.3392205847363
180,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.2,1800125,2,0.5297297297297298,0.8355263157894737,64,670.791015625,0.969980832680484,2372.0,927.0,840.8752191779176
180,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.2,1800126,3,0.5451269451269452,0.8305921052631579,78,585.2507934570312,0.9667231773073364,1927.0,832.0,731.916312035648
180,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.2,1800127,4,0.5783783783783784,0.8157894736842105,39,616.8585205078125,0.9733110250221676,2271.0,864.0,795.5923647449649
180,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.2,1800128,5,0.5834561834561834,0.8585526315789473,88,517.6913452148438,0.966142616870898,2307.0,667.0,641.2152390914453
180,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.2,1800129,6,0.6398034398034398,0.8585526315789473,75,555.7073974609375,0.9690268236790291,1661.0,738.0,676.949339876098
180,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.2,1800130,7,0.6358722358722358,0.7861842105263158,39,656.8328247070312,0.9759192816478858,2369.0,964.0,879.5256662038834
184,L-LSPIN,lspin_tf,linear,0.12,0.028,0.2,1840123,0,0.647010647010647,0.8273026315789473,99,165.4019317626953,0.915014827703083,981.0,202.0,202.25407241994043
184,L-LSPIN,lspin_tf,linear,0.12,0.028,0.2,1840124,1,0.5085995085995086,0.7960526315789473,97,193.4919586181641,0.90701532307536,1079.0,229.0,232.57817675054156
184,L-LSPIN,lspin_tf,linear,0.12,0.028,0.2,1840125,2,0.5616707616707617,0.8125,60,186.38262939453125,0.9020240511063352,993.0,218.0,222.41265916493063
184,L-LSPIN,lspin_tf,linear,0.12,0.028,0.2,1840126,3,0.5888615888615889,0.8388157894736842,59,183.6752471923828,0.9072485583439248,1177.0,213.0,224.78242905606055
184,L-LSPIN,lspin_tf,linear,0.12,0.028,0.2,1840127,4,0.5257985257985258,0.8256578947368421,134,174.24758911132812,0.91120361095108,912.0,214.0,210.21160259191757
184,L-LSPIN,lspin_tf,linear,0.12,0.028,0.2,1840128,5,0.579033579033579,0.8832236842105263,27,206.8810272216797,0.9089929947288372,1282.0,249.0,255.2371752516245
184,L-LSPIN,lspin_tf,linear,0.12,0.028,0.2,1840129,6,0.5816543816543817,0.8256578947368421,43,187.9260406494141,0.9117043651850656,1028.0,234.0,231.90709726429333
184,L-LSPIN,lspin_tf,linear,0.12,0.028,0.2,1840130,7,0.6542178542178542,0.8207236842105263,35,194.63665771484372,0.9136461656466948,1590.0,229.0,249.81841900680527
188,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.4,1880123,0,0.6155610155610156,0.8536184210526315,75,677.8939208984375,0.9748889605433247,2657.0,889.0,839.7588162116998
188,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.4,1880124,1,0.6555282555282556,0.8601973684210527,48,681.9356689453125,0.977405538974816,2690.0,940.0,873.3917025966281
188,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.4,1880125,2,0.5579033579033579,0.9029605263157896,36,609.4566040039062,0.9613829329619268,2352.0,835.0,773.7224048271381
188,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.4,1880126,3,0.6655200655200655,0.8421052631578947,76,588.2990112304688,0.9694430301740282,2266.0,788.0,735.9641985068469
188,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.4,1880127,4,0.662080262080262,0.8486842105263158,53,634.903564453125,0.9690923037812392,2747.0,867.0,816.9813072958391
188,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.4,1880128,5,0.6398034398034398,0.8453947368421053,48,665.6173706054688,0.9727791476238944,2176.0,891.0,829.9373316731719
188,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.4,1880129,6,0.6406224406224407,0.9013157894736842,81,491.5562744140625,0.9628661982919744,1741.0,680.0,621.3628644763421
188,L-LSPIN,lspin_tf,linear,0.12,0.00875,0.4,1880130,7,0.6391482391482392,0.924342105263158,133,514.2025756835938,0.9691902770414056,1856.0,668.0,622.6217377603414
