model_family,lambda_sample_smooth,lambda_sparse,mean_cluster_ari,mean_cluster_nmi,n_pairs,mean_Khard
Concrete,0.4,0.0022,0.7270168288878944,0.6572575675579987,56,416.13464736938477
Concrete,0.4,0.00165,0.6597176157724005,0.6448084734134117,56,629.8084831237793
Concrete,0.4,0.0011,0.7595827124303511,0.7007330620692954,56,958.1868934631348
L-Concrete,0.0,0.0066,0.5516261901678152,0.5200192280507931,56,76.3112940788269
L-Concrete,0.0,0.0055,0.5444067237908385,0.5290264780561608,56,86.05868101119995
L-Concrete,0.0,0.0044,0.527623914355285,0.5328554006212579,56,113.98472619056702
L-Concrete,0.0,0.0033,0.4810895601459241,0.5122661093939099,56,176.18609285354614
L-Concrete,0.0,0.00275,0.48329424931598136,0.5170780281600794,56,195.69955825805664
L-Concrete,0.0,0.0022,0.47417261413116873,0.49547019149467747,56,244.89831161499023
L-Concrete,0.0,0.00165,0.5110902692025286,0.5151615498561792,56,310.57275390625
L-Concrete,0.0,0.0011,0.4670757813103782,0.4777102233237659,56,561.2087993621826
L-Concrete,0.1,0.0066,0.7012800217907429,0.6614231535645795,56,138.72447729110718
L-Concrete,0.1,0.0055,0.7259920421881295,0.7001555489563519,56,239.17102146148682
L-Concrete,0.1,0.0044,0.7560265222721146,0.6953626546199351,56,392.3896656036377
L-Concrete,0.1,0.0033,0.6865139895876771,0.6815816753467651,56,660.6354522705078
L-Concrete,0.1,0.00275,0.7306841628187025,0.7166943444440422,56,891.2504005432129
L-Concrete,0.1,0.0022,0.6896330067779761,0.694956541779365,56,1232.676254272461
L-Concrete,0.1,0.00165,0.7472065807565158,0.7258838044523329,56,1990.5944442749023
L-Concrete,0.1,0.0011,0.768183089729282,0.7476755526443551,56,3355.421829223633
L-Concrete,0.2,0.0066,0.8123714413487749,0.7355574840080246,56,212.81832885742188
L-Concrete,0.2,0.0055,0.7419833646994245,0.6908802453474857,56,298.0227117538452
L-Concrete,0.2,0.0044,0.851927598449396,0.7682485703667167,56,470.00904083251953
L-Concrete,0.2,0.0033,0.7349954900305172,0.7105144570367095,56,762.6195755004883
L-Concrete,0.2,0.00275,0.6791626082748206,0.6727203808026412,56,1005.141674041748
L-Concrete,0.2,0.0022,0.7025563790463986,0.7034491470785368,56,1396.127815246582
L-Concrete,0.2,0.00165,0.725592991396131,0.7241582387190272,56,2040.5146713256836
L-Concrete,0.2,0.0011,0.730637233758179,0.742697211656054,56,3465.2393493652344
L-Concrete,0.4,0.0066,0.7768949059984348,0.694362947375364,56,250.18368244171143
L-Concrete,0.4,0.0055,0.732058734696278,0.683798930731962,56,308.7751216888428
L-Concrete,0.4,0.0044,0.7958126711071368,0.7196236027813775,56,477.7566318511963
L-Concrete,0.4,0.0033,0.7328723744518106,0.702231495772497,56,733.4260444641113
L-Concrete,0.4,0.00275,0.7014415804443496,0.7045817310757228,56,1041.47709274292
L-Concrete,0.4,0.0022,0.6851338869422484,0.6821676861681405,56,1363.4007263183594
L-Concrete,0.4,0.00165,0.7331698550326282,0.7335899246921794,56,2065.9585876464844
L-Concrete,0.4,0.0011,0.7660056045463813,0.7508227815268451,56,3336.458999633789
L-LSPIN,0.0,0.028,0.34842532811906957,0.40430131744867065,56,56.51085186004639
L-LSPIN,0.0,0.021,0.3629035559461995,0.4052466238967403,56,63.45076394081116
L-LSPIN,0.0,0.014,0.3993331984937437,0.44420260795096517,56,85.38163232803345
L-LSPIN,0.0,0.0105,0.3669123253353285,0.41495147321986015,56,93.7319130897522
L-LSPIN,0.0,0.00875,0.38722942119137427,0.43083801354096546,56,117.77632570266724
L-LSPIN,0.0,0.007,0.3413325611632346,0.39967437073126666,56,132.020498752594
L-LSPIN,0.0,0.00525,0.4210244187842741,0.458384693326483,56,180.56712341308594
L-LSPIN,0.0,0.0035,0.38294588792545126,0.4455199934171957,56,268.1577568054199
L-LSPIN,0.1,0.028,0.4597389438760396,0.47823814377029794,56,171.74758911132812
L-LSPIN,0.1,0.021,0.4660751516499663,0.487743943454535,56,216.39489459991455
L-LSPIN,0.1,0.014,0.5626240739074493,0.5677316287914692,56,328.153133392334
L-LSPIN,0.1,0.0105,0.6097345877074379,0.6272060068404953,56,462.9875373840332
L-LSPIN,0.1,0.00875,0.6277352406730252,0.6415206458925765,56,609.5327568054199
L-LSPIN,0.1,0.007,0.7476406356950439,0.718160191947785,56,893.1505241394043
L-LSPIN,0.1,0.00525,0.8658504842325986,0.8148664361100596,56,1947.9381256103516
L-LSPIN,0.1,0.0035,0.7900081762617234,0.8092891937338474,56,3912.747833251953
L-LSPIN,0.2,0.028,0.4674746705275101,0.4971384874911396,56,182.96362495422363
L-LSPIN,0.2,0.021,0.4953199603966621,0.5353522089676004,56,222.6893081665039
L-LSPIN,0.2,0.014,0.5145895243289318,0.5480749975942868,56,321.6296215057373
L-LSPIN,0.2,0.0105,0.5440593004488664,0.5832795956570992,56,482.2869758605957
L-LSPIN,0.2,0.00875,0.6513198637203997,0.6495692649824202,56,606.1629848480225
L-LSPIN,0.2,0.007,0.7809185173988528,0.7319661394101035,56,910.3679656982422
L-LSPIN,0.2,0.00525,0.7987460685858082,0.7862936417158748,56,1822.8975067138672
L-LSPIN,0.2,0.0035,0.7432861563007751,0.7862694735210489,56,3890.767059326172
L-LSPIN,0.4,0.028,0.4932759007248513,0.5156903503948516,56,174.34666538238525
L-LSPIN,0.4,0.021,0.49388662480945866,0.5200696753531986,56,225.44091701507568
L-LSPIN,0.4,0.014,0.5843551365559444,0.5900016891860705,56,327.63203620910645
L-LSPIN,0.4,0.0105,0.5807862833063704,0.6059678162011235,56,481.3440456390381
L-LSPIN,0.4,0.00875,0.6907736528541424,0.6769661100933394,56,608.7023696899414
L-LSPIN,0.4,0.007,0.7613369708485748,0.7449257490048751,56,922.2823600769043
L-LSPIN,0.4,0.00525,0.8005804718202306,0.7821665757653044,56,1679.873390197754
L-LSPIN,0.4,0.0035,0.7266348463875161,0.7686372217880721,56,3924.630416870117
LSPIN,0.0,0.028,0.4670320614571875,0.49175967471894017,56,77.24276614189148
LSPIN,0.0,0.021,0.44799406634036165,0.4523213939417531,56,91.15856218338013
LSPIN,0.0,0.014,0.5025843502560664,0.49410044203919506,56,137.1852889060974
LSPIN,0.0,0.0105,0.514822931843911,0.5034963463954804,56,160.2182469367981
LSPIN,0.0,0.00875,0.5216154095334863,0.5193777149128155,56,183.7063913345337
LSPIN,0.0,0.007,0.4649065464217644,0.4777306589169072,56,217.71482944488525
LSPIN,0.0,0.00525,0.44356850685612514,0.4685834945797721,56,270.6141481399536
LSPIN,0.0,0.0035,0.46743421484862885,0.47340516342983036,56,379.01466941833496
LSPIN,0.1,0.028,0.5442035203397458,0.5274584545539411,56,173.24517726898193
LSPIN,0.1,0.021,0.5627979367113373,0.5358027426034649,56,208.88484859466553
LSPIN,0.1,0.014,0.6108634464065996,0.5766180769668917,56,249.0319528579712
LSPIN,0.1,0.0105,0.5663910165392604,0.5509982013838082,56,310.6197757720947
LSPIN,0.1,0.00875,0.652473635282811,0.6095720037723258,56,331.4383029937744
LSPIN,0.1,0.007,0.5979527275172103,0.5861956334492443,56,395.87077713012695
LSPIN,0.1,0.00525,0.614931202052947,0.6025128747994203,56,528.3868503570557
LSPIN,0.1,0.0035,0.6758534050604952,0.6521535395285329,56,779.5588798522949
LSPIN,0.2,0.028,0.5203875516878594,0.505875441409537,56,171.1678056716919
LSPIN,0.2,0.021,0.5168007794038237,0.527477379547203,56,199.72950267791748
LSPIN,0.2,0.014,0.5650899275553675,0.5602787926881463,56,252.66900825500488
LSPIN,0.2,0.0105,0.6248923363433205,0.5792417482496889,56,302.784969329834
LSPIN,0.2,0.00875,0.6025112499147994,0.5793348954989537,56,342.16880798339844
LSPIN,0.2,0.007,0.662774808230928,0.6104053353562218,56,407.90414237976074
LSPIN,0.2,0.00525,0.6312658379126705,0.6031369666481163,56,537.8858547210693
LSPIN,0.2,0.0035,0.5678055012536711,0.579063492940889,56,799.2047805786133
LSPIN,0.4,0.028,0.5822654088083804,0.5600398897554546,56,176.53315925598145
LSPIN,0.4,0.021,0.5667422441697213,0.5522706612380042,56,211.6573543548584
LSPIN,0.4,0.014,0.6083189516763571,0.580398983008511,56,255.42966175079346
LSPIN,0.4,0.0105,0.5235745296222903,0.5375493884208432,56,285.57898139953613
LSPIN,0.4,0.00875,0.5895870265277496,0.5653410301020626,56,353.02150535583496
LSPIN,0.4,0.007,0.5994786790132434,0.5742771225123942,56,415.3414363861084
LSPIN,0.4,0.00525,0.5472661209414696,0.5478602585737695,56,548.4569892883301
LSPIN,0.4,0.0035,0.5889676142059491,0.5765559065850735,56,871.2765159606934
