model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
L-Concrete,concrete,0.15,0.0018,0.1,0,1,0.6265011204444157
L-Concrete,concrete,0.15,0.0018,0.1,0,2,0.4780065471766498
L-Concrete,concrete,0.15,0.0018,0.1,1,2,0.6293107567033802
L-Concrete,concrete,0.15,0.0014,0.1,0,1,0.5944132321521115
L-Concrete,concrete,0.15,0.0014,0.1,0,2,0.7034253572873463
L-Concrete,concrete,0.15,0.0014,0.1,1,2,0.4512245201971046
L-Concrete,concrete,0.15,0.0012,0.1,0,1,0.787762383174086
L-Concrete,concrete,0.15,0.0012,0.1,0,2,0.4518583183356688
L-Concrete,concrete,0.15,0.0012,0.1,1,2,0.4875260568653087
L-Concrete,concrete,0.12,0.003,0.1,0,1,0.465487561321472
L-Concrete,concrete,0.12,0.003,0.1,0,2,0.4936491524099516
L-Concrete,concrete,0.12,0.003,0.1,1,2,0.7040315099729717
L-Concrete,concrete,0.12,0.0023,0.1,0,1,0.6153522492082084
L-Concrete,concrete,0.12,0.0023,0.1,0,2,0.6204126626906333
L-Concrete,concrete,0.12,0.0023,0.1,1,2,0.566196907436783
L-Concrete,concrete,0.12,0.0018,0.1,0,1,0.6446817851522346
L-Concrete,concrete,0.12,0.0018,0.1,0,2,0.4501272039886058
L-Concrete,concrete,0.12,0.0018,0.1,1,2,0.393064489760735
L-Concrete,concrete,0.12,0.0014,0.1,0,1,0.7630818686819386
L-Concrete,concrete,0.12,0.0014,0.1,0,2,0.6812506909417552
L-Concrete,concrete,0.12,0.0014,0.1,1,2,0.7693034777838216
L-Concrete,concrete,0.12,0.0012,0.1,0,1,0.7279989157369837
L-Concrete,concrete,0.12,0.0012,0.1,0,2,0.6631360293765095
L-Concrete,concrete,0.12,0.0012,0.1,1,2,0.707104750669118
LSPIN,lspin_tf,0.2,0.0012,0.0,0,1,0.4605644057999049
LSPIN,lspin_tf,0.2,0.0012,0.0,0,2,0.5810740345188152
LSPIN,lspin_tf,0.2,0.0012,0.0,1,2,0.7935429962129789
LSPIN,lspin_tf,0.2,0.0009,0.0,0,1,0.6747394786928057
LSPIN,lspin_tf,0.2,0.0009,0.0,0,2,0.6714644896535863
LSPIN,lspin_tf,0.2,0.0009,0.0,1,2,0.7535781709205469
LSPIN,lspin_tf,0.2,0.0007,0.0,0,1,0.7050898014617759
LSPIN,lspin_tf,0.2,0.0007,0.0,0,2,0.6904345002339186
LSPIN,lspin_tf,0.2,0.0007,0.0,1,2,0.8393654517788635
LSPIN,lspin_tf,0.2,0.0006,0.0,0,1,0.6459206378711395
LSPIN,lspin_tf,0.2,0.0006,0.0,0,2,0.5160076591274012
LSPIN,lspin_tf,0.2,0.0006,0.0,1,2,0.7679382064753052
LSPIN,lspin_tf,0.2,0.0005,0.0,0,1,0.7175864973036914
LSPIN,lspin_tf,0.2,0.0005,0.0,0,2,0.719648523922995
LSPIN,lspin_tf,0.2,0.0005,0.0,1,2,0.8651389642008439
LSPIN,lspin_tf,0.17,0.0012,0.0,0,1,0.7957476006890911
LSPIN,lspin_tf,0.17,0.0012,0.0,0,2,0.726619125795177
LSPIN,lspin_tf,0.17,0.0012,0.0,1,2,0.7210477217307955
LSPIN,lspin_tf,0.17,0.0009,0.0,0,1,0.6952089585472636
LSPIN,lspin_tf,0.17,0.0009,0.0,0,2,0.7489055002356363
LSPIN,lspin_tf,0.17,0.0009,0.0,1,2,0.7559306776419429
LSPIN,lspin_tf,0.17,0.0007,0.0,0,1,0.6107849062285691
LSPIN,lspin_tf,0.17,0.0007,0.0,0,2,0.8301092116409969
LSPIN,lspin_tf,0.17,0.0007,0.0,1,2,0.70073984670818
LSPIN,lspin_tf,0.17,0.0006,0.0,0,1,0.7089075958950095
