histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
HNSC,150,0.5759451321512211,LSPIN,0.2,0.0009,0.15,70124
KICH,19,0.9310344827586208,LSPIN,0.2,0.0009,0.15,70124
KIRC,158,0.58697783879192,LSPIN,0.2,0.0009,0.15,70124
KIRP,85,0.8851963746223565,LSPIN,0.2,0.0009,0.15,70124
LGG,152,0.7470962907455976,LSPIN,0.2,0.0009,0.15,70124
LIHC,110,0.6680358476474981,LSPIN,0.2,0.0009,0.15,70124
LUAD,150,0.667070952092177,LSPIN,0.2,0.0009,0.15,70124
LUSC,148,0.5736111111111111,LSPIN,0.2,0.0009,0.15,70124
MESO,25,0.7854671280276817,LSPIN,0.2,0.0009,0.15,70124
OV,112,0.5812917594654788,LSPIN,0.2,0.0009,0.15,70124
PAAD,53,0.7046894803548795,LSPIN,0.2,0.0009,0.15,70124
PCPG,53,0.5333333333333333,LSPIN,0.2,0.0009,0.15,70124
PRAD,149,0.125,LSPIN,0.2,0.0009,0.15,70124
READ,47,0.4976525821596244,LSPIN,0.2,0.0009,0.15,70124
SARC,77,0.7001795332136446,LSPIN,0.2,0.0009,0.15,70124
SKCM,29,0.4112903225806452,LSPIN,0.2,0.0009,0.15,70124
STAD,105,0.5117302052785924,LSPIN,0.2,0.0009,0.15,70124
TGCT,40,0.8333333333333334,LSPIN,0.2,0.0009,0.15,70124
THCA,150,0.7609375,LSPIN,0.2,0.0009,0.15,70124
THYM,35,0.8,LSPIN,0.2,0.0009,0.15,70124
UCEC,162,0.6719632768361582,LSPIN,0.2,0.0009,0.15,70124
UCS,16,0.5061728395061729,LSPIN,0.2,0.0009,0.15,70124
UVM,24,0.6181818181818182,LSPIN,0.2,0.0009,0.15,70124
ACC,24,0.7969924812030075,LSPIN,0.2,0.0009,0.15,70125
BLCA,121,0.5938984746186546,LSPIN,0.2,0.0009,0.15,70125
BRCA,321,0.6360569715142429,LSPIN,0.2,0.0009,0.15,70125
CESC,87,0.6485623003194888,LSPIN,0.2,0.0009,0.15,70125
CHOL,11,0.5151515151515151,LSPIN,0.2,0.0009,0.15,70125
COAD,130,0.5806851011143211,LSPIN,0.2,0.0009,0.15,70125
DLBC,14,0.3111111111111111,LSPIN,0.2,0.0009,0.15,70125
ESCA,48,0.550531914893617,LSPIN,0.2,0.0009,0.15,70125
GBM,46,0.625,LSPIN,0.2,0.0009,0.15,70125
HNSC,150,0.5434928069588492,LSPIN,0.2,0.0009,0.15,70125
KICH,19,0.9655172413793104,LSPIN,0.2,0.0009,0.15,70125
KIRC,158,0.6866052167091586,LSPIN,0.2,0.0009,0.15,70125
KIRP,85,0.8413897280966768,LSPIN,0.2,0.0009,0.15,70125
LGG,152,0.7306107156238292,LSPIN,0.2,0.0009,0.15,70125
LIHC,110,0.6657953696788649,LSPIN,0.2,0.0009,0.15,70125
LUAD,150,0.6436223974125733,LSPIN,0.2,0.0009,0.15,70125
LUSC,148,0.5192460317460318,LSPIN,0.2,0.0009,0.15,70125
MESO,25,0.7820069204152249,LSPIN,0.2,0.0009,0.15,70125
OV,112,0.545935412026726,LSPIN,0.2,0.0009,0.15,70125
PAAD,53,0.6818757921419518,LSPIN,0.2,0.0009,0.15,70125
PCPG,53,0.6666666666666666,LSPIN,0.2,0.0009,0.15,70125
