model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
L-Concrete,concrete,0.15,0.0023,0.0,4,11,0.5079970994137756,0.5329111444225563
L-Concrete,concrete,0.15,0.0023,0.0,5,6,0.4148119803021153,0.5087100911485624
L-Concrete,concrete,0.15,0.0023,0.0,5,7,0.3600122446567438,0.4786864617766256
L-Concrete,concrete,0.15,0.0023,0.0,5,8,0.2398716170583908,0.348905509145267
L-Concrete,concrete,0.15,0.0023,0.0,5,9,0.7185898857463101,0.7250195951293157
L-Concrete,concrete,0.15,0.0023,0.0,5,10,0.2261050335792115,0.3309737023018657
L-Concrete,concrete,0.15,0.0023,0.0,5,11,0.450317830385454,0.564587784281184
L-Concrete,concrete,0.15,0.0023,0.0,6,7,0.2702793360589685,0.3641136194701095
L-Concrete,concrete,0.15,0.0023,0.0,6,8,0.2001231485650413,0.2969167702428947
L-Concrete,concrete,0.15,0.0023,0.0,6,9,0.390482129929309,0.4791339835232964
L-Concrete,concrete,0.15,0.0023,0.0,6,10,0.2648437546578051,0.3587933464334434
L-Concrete,concrete,0.15,0.0023,0.0,6,11,0.3891549681806572,0.5058525982837253
L-Concrete,concrete,0.15,0.0023,0.0,7,8,0.2958057495776694,0.3794898874427991
L-Concrete,concrete,0.15,0.0023,0.0,7,9,0.3488908864293697,0.4629848039390353
L-Concrete,concrete,0.15,0.0023,0.0,7,10,0.2416583185827091,0.3411619821226337
L-Concrete,concrete,0.15,0.0023,0.0,7,11,0.2766395400350221,0.4179878859461725
L-Concrete,concrete,0.15,0.0023,0.0,8,9,0.2289819153544993,0.3653713866881981
L-Concrete,concrete,0.15,0.0023,0.0,8,10,0.1869366803052412,0.2514244466384644
L-Concrete,concrete,0.15,0.0023,0.0,8,11,0.1849635075007865,0.2912389627153455
L-Concrete,concrete,0.15,0.0023,0.0,9,10,0.2020737438920992,0.3067369523125988
L-Concrete,concrete,0.15,0.0023,0.0,9,11,0.4080398754609406,0.5163942187123505
L-Concrete,concrete,0.15,0.0023,0.0,10,11,0.2901521557283945,0.4121372670380215
L-LSPIN,lspin_tf,0.17,0.0025,0.15,3,4,0.3763800761572875,0.443352351098109
L-LSPIN,lspin_tf,0.17,0.0025,0.15,3,5,0.4147815363519507,0.5173166245299475
L-LSPIN,lspin_tf,0.17,0.0025,0.15,3,6,0.2795303464678931,0.4279919482139112
L-LSPIN,lspin_tf,0.17,0.0025,0.15,3,7,0.3836314484435067,0.4534944422890814
L-LSPIN,lspin_tf,0.17,0.0025,0.15,3,8,0.3994558206083015,0.5046910012713743
L-LSPIN,lspin_tf,0.17,0.0025,0.15,3,9,0.5695139788834823,0.6241232089540265
L-LSPIN,lspin_tf,0.17,0.0025,0.15,3,10,0.4283811139484487,0.5199284845675503
L-LSPIN,lspin_tf,0.17,0.0025,0.15,3,11,0.3850190056418314,0.4874693002519368
L-LSPIN,lspin_tf,0.17,0.0025,0.15,4,5,0.4232277110851899,0.4836499194506324
L-LSPIN,lspin_tf,0.17,0.0025,0.15,4,6,0.2333939301136711,0.3615113796091482
L-LSPIN,lspin_tf,0.17,0.0025,0.15,4,7,0.2412915673138986,0.3602844439648947
L-LSPIN,lspin_tf,0.17,0.0025,0.15,4,8,0.3616881526827567,0.4638560340589271
L-LSPIN,lspin_tf,0.17,0.0025,0.15,4,9,0.5777819143328233,0.5901280252311346
L-LSPIN,lspin_tf,0.17,0.0025,0.15,4,10,0.2625641019644973,0.3772964269453943
L-LSPIN,lspin_tf,0.17,0.0025,0.15,4,11,0.3393293584554883,0.4481321688145451
L-LSPIN,lspin_tf,0.17,0.0025,0.15,5,6,0.2667193934624631,0.4429632504203596
L-LSPIN,lspin_tf,0.17,0.0025,0.15,5,7,0.3375596760167734,0.4758607874368915
L-LSPIN,lspin_tf,0.17,0.0025,0.15,5,8,0.3648685899012135,0.4923873461175313
L-LSPIN,lspin_tf,0.17,0.0025,0.15,5,9,0.6536906015169236,0.6704599939826639
L-LSPIN,lspin_tf,0.17,0.0025,0.15,5,10,0.3267750087886898,0.5097080504092127
L-LSPIN,lspin_tf,0.17,0.0025,0.15,5,11,0.4603508907135309,0.5829642354259739
L-LSPIN,lspin_tf,0.17,0.0025,0.15,6,7,0.3686374359727985,0.5032680878807385
L-LSPIN,lspin_tf,0.17,0.0025,0.15,6,8,0.4101524234393403,0.5045112665607824
L-LSPIN,lspin_tf,0.17,0.0025,0.15,6,9,0.3102414450409591,0.4631600213597742
L-LSPIN,lspin_tf,0.17,0.0025,0.15,6,10,0.414456872612099,0.5370290767519785
L-LSPIN,lspin_tf,0.17,0.0025,0.15,6,11,0.2201266874941154,0.3685022635767057
L-LSPIN,lspin_tf,0.17,0.0025,0.15,7,8,0.3723961169196216,0.4986789027029981
L-LSPIN,lspin_tf,0.17,0.0025,0.15,7,9,0.2827417773496428,0.4338473687295087
L-LSPIN,lspin_tf,0.17,0.0025,0.15,7,10,0.3956153220894609,0.5248104445485254
L-LSPIN,lspin_tf,0.17,0.0025,0.15,7,11,0.2506093896582163,0.3923708495783385
L-LSPIN,lspin_tf,0.17,0.0025,0.15,8,9,0.3720848711657208,0.4890669270695514
L-LSPIN,lspin_tf,0.17,0.0025,0.15,8,10,0.552233068462617,0.6259001639425666
L-LSPIN,lspin_tf,0.17,0.0025,0.15,8,11,0.3613060792258907,0.4932283806700376
L-LSPIN,lspin_tf,0.17,0.0025,0.15,9,10,0.3314716302682404,0.4753963466566064
L-LSPIN,lspin_tf,0.17,0.0025,0.15,9,11,0.4495531819765486,0.5509840017920029
