model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft
L-Concrete,0.12,0.0018,0.1,0.7278350973584061,0.0091824330788875,432.853495279948,16.968914829926184,0.9742860566050844,0.0056615481480582,593.3333333333334,546.6666666666666,3,432.85756429036456,16.96818788185128
L-Concrete,0.12,0.0018,0.15,0.7198001204310351,0.0096570068265216,418.0199890136719,20.215569851476705,0.9745990186765736,0.0044677745391121,650.3333333333334,595.6666666666666,3,418.0202331542969,20.20864003413829
L-Concrete,0.12,0.0023,0.0,0.7234969338018761,0.0005138015484758,265.2032063802083,9.159877303606638,0.9660658014503416,0.0058887376513729,450.3333333333333,400.3333333333333,3,265.2034098307292,9.161946987908529
L-Concrete,0.12,0.0023,0.05,0.7126541462328353,0.0077591455668711,269.6168568929036,16.305838305871035,0.9613605393083192,0.0106086944671178,444.3333333333333,379.6666666666667,3,269.6181233723958,16.308326124243475
L-Concrete,0.12,0.0023,0.1,0.7231843099131918,0.0087373346652817,274.4499282836914,35.44027218440439,0.9614036906647552,0.0097085629856884,411.3333333333333,364.9166666666667,12,274.45154571533203,35.44190305577495
L-Concrete,0.12,0.0023,0.15,0.7202752038889438,0.0080455935280884,253.49210611979169,12.695798324398003,0.9556680524040054,0.0079403159569361,383.6666666666667,344.3333333333333,3,253.49362182617188,12.6922369687499
L-Concrete,0.12,0.003,0.0,0.7259645966708708,0.0059231779575234,173.94890848795572,14.903096392030973,0.9486103407101192,0.0063759176978694,286.6666666666667,256.3333333333333,3,173.94938151041666,14.903552460377275
L-Concrete,0.12,0.003,0.05,0.7352304716482775,0.0036983357134469,163.10323588053384,12.19445603262892,0.9413962954022354,0.009014224488678,269.6666666666667,241.66666666666663,3,163.10199991861978,12.193620633406614
L-Concrete,0.12,0.003,0.1,0.7264105959339048,0.0098374932576092,156.57909647623697,11.408398664655966,0.9402311163858434,0.0011817723323981,242.66666666666663,211.33333333333331,3,156.57992045084634,11.4069547710763
L-Concrete,0.12,0.003,0.15,0.7339285482468098,0.0077731902808971,152.27300516764322,12.053645997162356,0.9342207273592154,0.0111600301085884,236.33333333333331,212.33333333333331,3,152.2723846435547,12.053838481898936
L-Concrete,0.15,0.0012,0.0,0.6948164225591494,0.0098462006385051,725.5757039388021,74.8538939786665,0.9878755213827868,0.003510479471233,1219.0,1080.0,3,725.5797932942709,74.8605556152672
L-Concrete,0.15,0.0012,0.05,0.7101856095897455,0.0062061334052183,746.8720906575521,62.08439996884702,0.987675172396432,0.0046500320899642,1285.3333333333333,1137.0,3,746.8839314778646,62.1011826637093
L-Concrete,0.15,0.0012,0.1,0.6982031709511555,0.0145678575915458,749.6305541992188,26.51291560244824,0.9882291279564998,0.0030011043077982,1161.3333333333333,1055.6666666666667,3,749.6371256510416,26.521620625018265
L-Concrete,0.15,0.0012,0.15,0.7128061829253558,0.0052955123861876,766.107666015625,31.99574991893021,0.9885677030724696,0.0011862529802382,1157.3333333333333,1079.6666666666667,3,766.1043701171875,31.989395141015653
L-Concrete,0.15,0.0014,0.0,0.7072537230265937,0.0044343150888964,625.3563842773438,31.9280606906154,0.9862078975986454,0.0013684900880385,1032.6666666666667,913.3333333333334,3,625.3592732747396,31.929440777196973
L-Concrete,0.15,0.0014,0.05,0.7219518515522722,0.0040425063565188,548.2022501627604,26.408659993349595,0.981586515780692,0.0047197985544128,896.0,783.0,3,548.2107747395834,26.416984439954145
L-Concrete,0.15,0.0014,0.1,0.7101162069616329,0.0091013529105777,648.4860229492188,53.90448724977845,0.9858457336177194,0.0022908204844629,1085.3333333333333,992.6666666666666,3,648.4963175455729,53.90174261703576
L-Concrete,0.15,0.0014,0.15,0.6941434916811713,0.0016900531843776,640.8873901367188,35.98975195690511,0.9852597312900604,0.0025172910087135,1098.0,990.0,3,640.9011637369791,35.99701708243999
L-Concrete,0.15,0.0018,0.0,0.7220582023421139,0.0057331575880572,399.81960042317706,4.985104064452043,0.9757398623549066,0.0005743112333131,614.3333333333334,557.3333333333334,3,399.8192138671875,4.987148877147493
L-Concrete,0.15,0.0018,0.05,0.7079472500082384,0.0117715994431934,423.8270772298177,56.4426731277613,0.9764897969114092,0.0076841058001355,670.3333333333334,590.0,3,423.82729085286456,56.44553462136871
L-Concrete,0.15,0.0018,0.1,0.7070835867278209,0.0108600201753003,442.6685384114583,16.725197934647365,0.9754251482368088,0.0033153270000763,679.6666666666666,600.0,3,442.6687622070313,16.721167208831865
L-Concrete,0.15,0.0018,0.15,0.7066508189010818,0.0104959489449146,419.6500651041667,22.76661003966481,0.971679019446543,0.0041176524888882,551.6666666666666,522.0,3,419.6503194173177,22.76594208624513
L-Concrete,0.15,0.0023,0.0,0.7206566686938226,0.0072805513208203,270.7440694173177,29.7449163198099,0.9657336761822618,0.008951274141548,465.0833333333333,408.9166666666667,12,270.7433967590332,29.743968886583023
L-Concrete,0.15,0.0023,0.05,0.7242935661267241,0.0130193610817065,279.3858286539714,31.484975774634837,0.96285612506897,0.0056856368928359,460.6666666666667,411.6666666666667,3,279.38111368815106,31.47890774069587
L-Concrete,0.15,0.0023,0.1,0.7253730516085931,0.0038189855099398,271.1494140625,10.67966279761779,0.9623128243311728,0.003970738738308,417.0,374.3333333333333,3,271.1466573079427,10.6774670201412
L-Concrete,0.15,0.0023,0.15,0.7213134971634796,0.0020730720163582,276.5440266927083,15.058432814815886,0.9563637964529952,0.0087171930849055,437.6666666666667,388.3333333333333,3,276.54115804036456,15.05575665851483
L-Concrete,0.15,0.003,0.0,0.7251263976640773,0.001707793812199,160.94025675455728,4.387316480101749,0.9395527663633304,0.0036741277934125,271.3333333333333,225.66666666666663,3,160.93772888183594,4.386339988777594
L-Concrete,0.15,0.003,0.05,0.7243419981765582,0.0057791669162389,158.75634256998697,12.755278417633102,0.9337826272888804,0.0133912685066231,248.66666666666663,226.0,3,158.75733947753906,12.755371347729715
L-Concrete,0.15,0.003,0.1,0.726724655308602,0.0104004810155426,151.65743001302084,20.80255813957758,0.9307036072475338,0.0214874459727664,230.33333333333331,208.0,3,151.65760294596353,20.80218380537077
L-Concrete,0.15,0.003,0.15,0.7208985792932516,0.0057770746070364,160.5757039388021,10.313619803328162,0.9444798698772524,0.0027533951810761,272.0,236.33333333333331,3,160.57605997721353,10.31210963747327
L-LSPIN,0.17,0.0009,0.0,0.7004245543502465,0.0167944350719267,1226.8577473958333,68.83332238046185,0.9932298746614432,0.0032343409623219,2100.0,1883.0,3,1226.8627522786458,68.83545848283765
L-LSPIN,0.17,0.0009,0.05,0.6872650171808953,0.0209329028757363,1266.5453287760415,81.88136438323009,0.9933905632131496,0.0022947098871392,2129.333333333333,1931.3333333333333,3,1266.5470377604167,81.88132506259052
L-LSPIN,0.17,0.0009,0.1,0.68210076263003,0.0113460834719306,1242.3694254557292,42.10206944967454,0.9943379048827222,0.0005146905600459,2024.6666666666667,1848.3333333333333,3,1242.3676350911458,42.1015251078333
L-LSPIN,0.17,0.0009,0.15,0.6853419652227924,0.0316366082950181,1303.3486735026042,67.70072780135138,0.9951591249673244,0.0002968260765078,2118.0,1988.3333333333333,3,1303.3494059244792,67.6984614785396
