model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.17,0.0005,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,390125,2,39,1,0.7445835992103079,0.7727823375298509,4,760.079345703125,760.0813598632812,0.986479542973494,1285.0,1181.0,1022.9042655515976
L-LSPIN,lspin_tf,linear,0.2,0.0025,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,430123,0,43,1,0.7228768038442066,0.7493855927291275,31,462.7115478515625,462.7102661132813,0.9797427622657168,644.0,588.0,528.8427460073943
L-LSPIN,lspin_tf,linear,0.2,0.0025,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,430124,1,43,1,0.7158254468980021,0.7671628295193712,18,451.98236083984375,451.9835205078125,0.9784922937446392,678.0,624.0,548.7135356245053
L-LSPIN,lspin_tf,linear,0.2,0.0025,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,430125,2,43,1,0.7133599060518093,0.7730460689527254,12,472.9259338378906,472.9263305664063,0.9806389813286592,761.0,694.0,593.575452019802
L-LSPIN,lspin_tf,linear,0.2,0.0018,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,470123,0,47,1,0.6982610896911633,0.7523301105933088,35,709.0169067382812,709.019287109375,0.9853083003846328,867.0,804.0,767.9454279857243
L-LSPIN,lspin_tf,linear,0.2,0.0018,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,470124,1,47,1,0.6885674398818458,0.7575409798057082,7,684.0623168945312,684.0662841796875,0.9877366261610118,1110.0,944.0,842.5205242287726
L-LSPIN,lspin_tf,linear,0.2,0.0018,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,470125,2,47,1,0.6972267908124901,0.7406215946766826,10,673.1560668945312,673.157470703125,0.9865530719436032,1013.0,937.0,830.9090942029898
L-LSPIN,lspin_tf,linear,0.2,0.0014,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,510123,0,51,1,0.7030146704174044,0.746707704435325,8,946.7911987304688,946.7885131835938,0.9899855240187992,1374.0,1258.0,1132.0644679659945
L-LSPIN,lspin_tf,linear,0.2,0.0014,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,510124,1,51,1,0.7127307887034491,0.7617259048016508,13,819.4929809570312,819.4896240234375,0.9900299407738696,1142.0,1056.0,951.144893307702
L-LSPIN,lspin_tf,linear,0.2,0.0014,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,510125,2,51,1,0.6931540049310817,0.7474322413113538,6,930.2974243164062,930.2939453125,0.9924245596613408,1527.0,1446.0,1209.2496551109489
L-LSPIN,lspin_tf,linear,0.2,0.0011,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,550123,0,55,1,0.6745538509471212,0.7498145185597366,5,1046.2027587890625,1046.20166015625,0.9934333515236504,1590.0,1494.0,1318.6020607471196
L-LSPIN,lspin_tf,linear,0.2,0.0011,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,550124,1,55,1,0.7140227261152603,0.7452702232732837,4,1162.28857421875,1162.3048095703125,0.9932914718970152,1846.0,1758.0,1518.6116665016075
L-LSPIN,lspin_tf,linear,0.2,0.0011,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,550125,2,55,1,0.6916808218070047,0.7287102084347685,14,1009.3283081054688,1009.3314819335938,0.990820911391424,1391.0,1308.0,1183.6687132274772
L-LSPIN,lspin_tf,linear,0.2,0.0009,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,590123,0,59,1,0.688765911426269,0.7492986483040041,6,1196.7745361328125,1196.787109375,0.9925656515455114,1719.0,1626.0,1449.6839454698763
L-LSPIN,lspin_tf,linear,0.2,0.0009,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,590124,1,59,1,0.6857738592754365,0.7308664301778304,2,1255.4556884765625,1255.457763671875,0.9941301314169892,2049.0,1924.0,1659.834278925949
L-LSPIN,lspin_tf,linear,0.2,0.0009,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,590125,2,59,1,0.6793141722163805,0.7563585356240291,1,1275.3011474609375,1275.3079833984375,0.9955100265426076,2274.0,2078.0,1799.272431852645
L-LSPIN,lspin_tf,linear,0.17,0.0025,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,630123,0,63,1,0.706736199112645,0.7562194245438316,38,486.4606323242188,486.4612426757813,0.9738190408732464,652.0,607.0,557.8308744060706
L-LSPIN,lspin_tf,linear,0.17,0.0025,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,630124,1,63,1,0.7100495504806756,0.7650645707263917,33,424.6081237792969,424.6057434082031,0.975922438777974,592.0,545.0,491.0982984931287
L-LSPIN,lspin_tf,linear,0.17,0.0025,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,630125,2,63,1,0.7140227261152603,0.7580394611764161,69,452.8670654296875,452.8684692382813,0.9737037210076552,573.0,543.0,501.3631467763533
L-LSPIN,lspin_tf,linear,0.17,0.0018,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,670123,0,67,1,0.7360320969679539,0.7468989821705966,9,773.0787353515625,773.0820922851562,0.9867293845585278,1213.0,1107.0,980.4864635628318
L-LSPIN,lspin_tf,linear,0.17,0.0018,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,670124,1,67,1,0.7215474189711835,0.7545616841714776,17,712.0438232421875,712.0424194335938,0.9861395785547042,1004.0,930.0,840.3661817624052
L-LSPIN,lspin_tf,linear,0.17,0.0018,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,670125,2,67,1,0.7169541133789293,0.7442152975817857,10,748.787109375,748.7916259765625,0.9888302970822368,1144.0,1073.0,931.912079944307
L-LSPIN,lspin_tf,linear,0.17,0.0014,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,710123,0,71,1,0.7120732112845678,0.7407838909369131,20,838.6000366210938,838.5969848632812,0.9891381459956315,1197.0,1136.0,1002.2097299920248
L-LSPIN,lspin_tf,linear,0.17,0.0014,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,710124,1,71,1,0.6826245277875141,0.737213373211843,1,1056.0667724609375,1056.0526123046875,0.9946626418094576,1956.0,1812.0,1534.791719118742
L-LSPIN,lspin_tf,linear,0.17,0.0014,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,710125,2,71,1,0.7283598611148558,0.7400709466509008,7,975.6597900390624,975.6640014648438,0.9916488636620272,1475.0,1381.0,1211.4640975945445
L-LSPIN,lspin_tf,linear,0.17,0.0011,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,750123,0,75,1,0.7252929140415997,0.7554543136027452,2,1185.381103515625,1185.3988037109375,0.9949279008358468,2021.0,1903.0,1593.054093947787
L-LSPIN,lspin_tf,linear,0.17,0.0011,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,750124,1,75,1,0.6917205161158894,0.7366221511210035,2,1146.652099609375,1146.6478271484375,0.9943630404399736,1994.0,1863.0,1559.9197910785704
L-LSPIN,lspin_tf,linear,0.17,0.0011,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,750125,2,75,1,0.6735869574986294,0.7401231133059748,1,1217.193359375,1217.196044921875,0.9957062964131276,2139.0,2022.0,1708.0230484044562
L-LSPIN,lspin_tf,linear,0.17,0.0009,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,790123,0,79,1,0.7141200895144113,0.747762630126823,4,1299.62353515625,1299.6240234375,0.9949966503278156,2103.0,1958.0,1695.2012433248422
L-LSPIN,lspin_tf,linear,0.17,0.0009,0.15,0.5,20,64,0.0,(),0.0,0.0,0.0,790124,1,79,1,0.6514659932115242,0.7347209663583038,3,1372.8338623046875,1372.8348388671875,0.9955017187741464,2136.0,2014.0,1762.413377075048
