gene,probe_id
ENSG00000134258,ENSG00000134258.15
ENSG00000123560,ENSG00000123560.12
ENSG00000211976,ENSG00000211976.2
ENSG00000108244,ENSG00000108244.15
ENSG00000167600,ENSG00000167600.12
ENSG00000211973,ENSG00000211973.2
ENSG00000167757,ENSG00000167757.12
ENSG00000163207,ENSG00000163207.6
ENSG00000176532,ENSG00000176532.3
ENSG00000188508,ENSG00000188508.9
ENSG00000153446,ENSG00000153446.14
ENSG00000106278,ENSG00000106278.10
ENSG00000169245,ENSG00000169245.5
ENSG00000115457,ENSG00000115457.8
ENSG00000241294,ENSG00000241294.1
ENSG00000166741,ENSG00000166741.6
ENSG00000133392,ENSG00000133392.15
ENSG00000099953,ENSG00000099953.8
ENSG00000213058,ENSG00000213058.3
ENSG00000109321,ENSG00000109321.9
ENSG00000170439,ENSG00000170439.6
ENSG00000188488,ENSG00000188488.12
ENSG00000169035,ENSG00000169035.10
ENSG00000135373,ENSG00000135373.11
ENSG00000115009,ENSG00000115009.10
ENSG00000099834,ENSG00000099834.17
ENSG00000087250,ENSG00000087250.7
ENSG00000211964,ENSG00000211964.3
ENSG00000118271,ENSG00000118271.8
ENSG00000178934,ENSG00000178934.4
ENSG00000104413,ENSG00000104413.14
ENSG00000115648,ENSG00000115648.12
ENSG00000100985,ENSG00000100985.7
ENSG00000069535,ENSG00000069535.13
ENSG00000142273,ENSG00000142273.9
ENSG00000159182,ENSG00000159182.4
ENSG00000228278,ENSG00000228278.3
ENSG00000010438,ENSG00000010438.15
ENSG00000131094,ENSG00000131094.3
ENSG00000019102,ENSG00000019102.10
ENSG00000166920,ENSG00000166920.9
ENSG00000143217,ENSG00000143217.8
ENSG00000149418,ENSG00000149418.9
ENSG00000166165,ENSG00000166165.11
ENSG00000145321,ENSG00000145321.11
ENSG00000151632,ENSG00000151632.15
ENSG00000230937,ENSG00000230937.8
ENSG00000175315,ENSG00000175315.2
ENSG00000079112,ENSG00000079112.8
ENSG00000274173,ENSG00000274173.1
ENSG00000171951,ENSG00000171951.4
ENSG00000202198,ENSG00000202198.1
ENSG00000167749,ENSG00000167749.10
ENSG00000170323,ENSG00000170323.7
ENSG00000161055,ENSG00000161055.3
ENSG00000164687,ENSG00000164687.9
ENSG00000057149,ENSG00000057149.13
ENSG00000113924,ENSG00000113924.10
ENSG00000196260,ENSG00000196260.3
ENSG00000277105,ENSG00000277105.1
ENSG00000115468,ENSG00000115468.10
ENSG00000211649,ENSG00000211649.3
ENSG00000104140,ENSG00000104140.6
ENSG00000211951,ENSG00000211951.2
ENSG00000171885,ENSG00000171885.12
ENSG00000137285,ENSG00000137285.9
ENSG00000183036,ENSG00000183036.9
ENSG00000169429,ENSG00000169429.9
ENSG00000101057,ENSG00000101057.14
ENSG00000137648,ENSG00000137648.15
ENSG00000104833,ENSG00000104833.9
ENSG00000104112,ENSG00000104112.7
ENSG00000157613,ENSG00000157613.9
ENSG00000149021,ENSG00000149021.5
ENSG00000105048,ENSG00000105048.15
ENSG00000170099,ENSG00000170099.5
ENSG00000173267,ENSG00000173267.12
ENSG00000147588,ENSG00000147588.6
ENSG00000188910,ENSG00000188910.7
ENSG00000002933,ENSG00000002933.6
ENSG00000167711,ENSG00000167711.12
ENSG00000106483,ENSG00000106483.10
ENSG00000172201,ENSG00000172201.9
ENSG00000167608,ENSG00000167608.10
ENSG00000155066,ENSG00000155066.14
ENSG00000168309,ENSG00000168309.15
ENSG00000211670,ENSG00000211670.2
ENSG00000153822,ENSG00000153822.12
ENSG00000185559,ENSG00000185559.12
ENSG00000142484,ENSG00000142484.6
ENSG00000275896,ENSG00000275896.3
ENSG00000156234,ENSG00000156234.7
ENSG00000069011,ENSG00000069011.14
ENSG00000274576,ENSG00000274576.2
ENSG00000105427,ENSG00000105427.8
ENSG00000207834,ENSG00000207834.1
ENSG00000167754,ENSG00000167754.11
ENSG00000123500,ENSG00000123500.8
ENSG00000163359,ENSG00000163359.14
ENSG00000196139,ENSG00000196139.10
ENSG00000147257,ENSG00000147257.12
ENSG00000242265,ENSG00000242265.4
ENSG00000169583,ENSG00000169583.12
ENSG00000262655,ENSG00000262655.3
ENSG00000165949,ENSG00000165949.11
ENSG00000175063,ENSG00000175063.15
ENSG00000105825,ENSG00000105825.10
ENSG00000006611,ENSG00000006611.14
ENSG00000182795,ENSG00000182795.12
ENSG00000075461,ENSG00000075461.5
ENSG00000115461,ENSG00000115461.4
ENSG00000046653,ENSG00000046653.13
ENSG00000180745,ENSG00000180745.4
ENSG00000106565,ENSG00000106565.16
ENSG00000248144,ENSG00000248144.4
ENSG00000132470,ENSG00000132470.12
ENSG00000167642,ENSG00000167642.11
ENSG00000162078,ENSG00000162078.10
ENSG00000256618,ENSG00000256618.2
ENSG00000101076,ENSG00000101076.15
ENSG00000166482,ENSG00000166482.10
ENSG00000169903,ENSG00000169903.6
ENSG00000244734,ENSG00000244734.2
ENSG00000166426,ENSG00000166426.7
ENSG00000129244,ENSG00000129244.7
ENSG00000164932,ENSG00000164932.11
ENSG00000197635,ENSG00000197635.8
ENSG00000167772,ENSG00000167772.10
ENSG00000138271,ENSG00000138271.5
ENSG00000136235,ENSG00000136235.14
ENSG00000164379,ENSG00000164379.5
ENSG00000152583,ENSG00000152583.11
ENSG00000077942,ENSG00000077942.16
ENSG00000198732,ENSG00000198732.9
ENSG00000135046,ENSG00000135046.12
ENSG00000106538,ENSG00000106538.8
ENSG00000105290,ENSG00000105290.10
ENSG00000106366,ENSG00000106366.8
ENSG00000108602,ENSG00000108602.16
ENSG00000132437,ENSG00000132437.16
ENSG00000211652,ENSG00000211652.2
ENSG00000130176,ENSG00000130176.6
ENSG00000184221,ENSG00000184221.11
ENSG00000134193,ENSG00000134193.13
ENSG00000136352,ENSG00000136352.16
ENSG00000088992,ENSG00000088992.16
ENSG00000133636,ENSG00000133636.9
ENSG00000133135,ENSG00000133135.12
ENSG00000275530,ENSG00000275530.1
ENSG00000148053,ENSG00000148053.14
ENSG00000187134,ENSG00000187134.11
ENSG00000112936,ENSG00000112936.17
ENSG00000129009,ENSG00000129009.11
ENSG00000145284,ENSG00000145284.10
ENSG00000230076,ENSG00000230076.1
ENSG00000108551,ENSG00000108551.4
ENSG00000134184,ENSG00000134184.11
ENSG00000152137,ENSG00000152137.5
ENSG00000104267,ENSG00000104267.8
ENSG00000004799,ENSG00000004799.7
ENSG00000213886,ENSG00000213886.3
ENSG00000187957,ENSG00000187957.7
ENSG00000130635,ENSG00000130635.14
ENSG00000117601,ENSG00000117601.12
ENSG00000211904,ENSG00000211904.2
ENSG00000125740,ENSG00000125740.12
ENSG00000136689,ENSG00000136689.17
ENSG00000147689,ENSG00000147689.15
ENSG00000129654,ENSG00000129654.7
ENSG00000022267,ENSG00000022267.15
ENSG00000165140,ENSG00000165140.8
ENSG00000109107,ENSG00000109107.12
ENSG00000167779,ENSG00000167779.6
ENSG00000159184,ENSG00000159184.7
ENSG00000117525,ENSG00000117525.12
ENSG00000166670,ENSG00000166670.8
ENSG00000103257,ENSG00000103257.7
ENSG00000178531,ENSG00000178531.5
ENSG00000101311,ENSG00000101311.14
ENSG00000132821,ENSG00000132821.10
ENSG00000198729,ENSG00000198729.4
ENSG00000041982,ENSG00000041982.13
ENSG00000166589,ENSG00000166589.11
ENSG00000178919,ENSG00000178919.8
ENSG00000276967,ENSG00000276967.1
ENSG00000189280,ENSG00000189280.3
ENSG00000143248,ENSG00000143248.11
ENSG00000130707,ENSG00000130707.16
ENSG00000132703,ENSG00000132703.3
ENSG00000080493,ENSG00000080493.12
ENSG00000004776,ENSG00000004776.10
ENSG00000164434,ENSG00000164434.10
ENSG00000145192,ENSG00000145192.11
ENSG00000171236,ENSG00000171236.9
ENSG00000130294,ENSG00000130294.13
ENSG00000163331,ENSG00000163331.9
ENSG00000103534,ENSG00000103534.15
ENSG00000134827,ENSG00000134827.6
ENSG00000211967,ENSG00000211967.3
ENSG00000243264,ENSG00000243264.2
ENSG00000011465,ENSG00000011465.15
ENSG00000187908,ENSG00000187908.14
ENSG00000101144,ENSG00000101144.11
ENSG00000094755,ENSG00000094755.15
ENSG00000211658,ENSG00000211658.2
ENSG00000122861,ENSG00000122861.14
