model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.012,0.0,1,7,0.28231219397476837,0.3564935450792118
LSPIN,lspin_tf,0.012,0.0,1,8,0.31122926299047593,0.3679125834043386
LSPIN,lspin_tf,0.012,0.0,1,9,0.31781352674170055,0.3368248503421717
LSPIN,lspin_tf,0.012,0.0,2,3,0.26860763699451173,0.3690424188548431
LSPIN,lspin_tf,0.012,0.0,2,4,0.12678844753467639,0.14921865491115988
LSPIN,lspin_tf,0.012,0.0,2,5,0.19213044165718973,0.25351666365069253
LSPIN,lspin_tf,0.012,0.0,2,6,0.4534062883812421,0.4118364888559566
LSPIN,lspin_tf,0.012,0.0,2,7,0.5315311524849529,0.4654608064094551
LSPIN,lspin_tf,0.012,0.0,2,8,0.22179798791794772,0.2903588915040127
LSPIN,lspin_tf,0.012,0.0,2,9,0.4056900280725089,0.40080258142285397
LSPIN,lspin_tf,0.012,0.0,3,4,0.32211793439862113,0.31595862560517535
LSPIN,lspin_tf,0.012,0.0,3,5,0.1546041751232904,0.20850381689036346
LSPIN,lspin_tf,0.012,0.0,3,6,0.22837448065345134,0.2925019830340771
LSPIN,lspin_tf,0.012,0.0,3,7,0.2754395030578715,0.3443595411695928
LSPIN,lspin_tf,0.012,0.0,3,8,0.21047312768178625,0.23364396346790928
LSPIN,lspin_tf,0.012,0.0,3,9,0.34762503409766327,0.3644909935202316
LSPIN,lspin_tf,0.012,0.0,4,5,0.08904979081648595,0.1334111673944578
LSPIN,lspin_tf,0.012,0.0,4,6,0.0588405564424645,0.10853767468964128
LSPIN,lspin_tf,0.012,0.0,4,7,0.13366895328873854,0.18342120976174928
LSPIN,lspin_tf,0.012,0.0,4,8,0.15559421022934544,0.19074011901520999
LSPIN,lspin_tf,0.012,0.0,4,9,0.27660842012461584,0.3145496406129092
LSPIN,lspin_tf,0.012,0.0,5,6,0.23690160290618092,0.269759285525204
LSPIN,lspin_tf,0.012,0.0,5,7,0.25761451809377756,0.32528224694956204
LSPIN,lspin_tf,0.012,0.0,5,8,0.3475517055206817,0.3247955279322633
LSPIN,lspin_tf,0.012,0.0,5,9,0.16361087054174955,0.22360517231721697
LSPIN,lspin_tf,0.012,0.0,6,7,0.6393279358848015,0.6013840132134142
LSPIN,lspin_tf,0.012,0.0,6,8,0.18350941399725884,0.23527662475494152
LSPIN,lspin_tf,0.012,0.0,6,9,0.3142556502411737,0.29767685267040395
LSPIN,lspin_tf,0.012,0.0,7,8,0.15002243775322213,0.2028361224168923
LSPIN,lspin_tf,0.012,0.0,7,9,0.4374091204295408,0.4337435475915431
LSPIN,lspin_tf,0.012,0.0,8,9,0.2341359844026886,0.25271321699808996
LSPIN,lspin_tf,0.01,0.0,0,1,0.4983502236768828,0.43587010146646155
LSPIN,lspin_tf,0.01,0.0,0,2,0.4834558464916332,0.47579085364106843
LSPIN,lspin_tf,0.01,0.0,0,3,0.15069557424742125,0.2329982818111358
LSPIN,lspin_tf,0.01,0.0,0,4,0.48110888865915463,0.4342122495209114
LSPIN,lspin_tf,0.01,0.0,0,5,0.13301842370512726,0.186704104480929
LSPIN,lspin_tf,0.01,0.0,0,6,0.1961524179689134,0.23067281084756242
LSPIN,lspin_tf,0.01,0.0,0,7,0.08830167961787504,0.1360574962845042
LSPIN,lspin_tf,0.01,0.0,0,8,0.3453683823296487,0.32640687847758126
LSPIN,lspin_tf,0.01,0.0,0,9,0.23978959034586572,0.25410427105285677
LSPIN,lspin_tf,0.01,0.0,1,2,0.23837137306453487,0.24043156073435093
LSPIN,lspin_tf,0.01,0.0,1,3,0.1496198252955839,0.1770420566193182
LSPIN,lspin_tf,0.01,0.0,1,4,0.7710733049107815,0.6879309215097432
LSPIN,lspin_tf,0.01,0.0,1,5,0.13017631453622255,0.18241314212120827
LSPIN,lspin_tf,0.01,0.0,1,6,0.2826494516494932,0.29327765322248
LSPIN,lspin_tf,0.01,0.0,1,7,0.33913901251011025,0.347503745809089
LSPIN,lspin_tf,0.01,0.0,1,8,0.308372588191271,0.3538533832930806
LSPIN,lspin_tf,0.01,0.0,1,9,0.26250847616897305,0.29120242468525365
LSPIN,lspin_tf,0.01,0.0,2,3,0.15097241168095324,0.24309744241475628
LSPIN,lspin_tf,0.01,0.0,2,4,0.23298554195630997,0.2372517471881126
LSPIN,lspin_tf,0.01,0.0,2,5,0.2057948831935975,0.24123028606176328
LSPIN,lspin_tf,0.01,0.0,2,6,0.2436337550902928,0.2682831763779788
LSPIN,lspin_tf,0.01,0.0,2,7,0.080544134760954,0.12628961828181662
LSPIN,lspin_tf,0.01,0.0,2,8,0.5597209539959793,0.4886743296294443
LSPIN,lspin_tf,0.01,0.0,2,9,0.27963620127245886,0.30460705855117676
LSPIN,lspin_tf,0.01,0.0,3,4,0.14015986134661568,0.17706942799570202
LSPIN,lspin_tf,0.01,0.0,3,5,0.3436172612301654,0.3636402247433894
LSPIN,lspin_tf,0.01,0.0,3,6,0.2754831096946221,0.2952545902683913
LSPIN,lspin_tf,0.01,0.0,3,7,0.19739925093405933,0.23363212037854125
LSPIN,lspin_tf,0.01,0.0,3,8,0.1512380747528099,0.22861105354907332
LSPIN,lspin_tf,0.01,0.0,3,9,0.19356887957386715,0.24571334242892162
LSPIN,lspin_tf,0.01,0.0,4,5,0.11665625781393722,0.17152408231366179
LSPIN,lspin_tf,0.01,0.0,4,6,0.28929813679310273,0.2991437821241102
LSPIN,lspin_tf,0.01,0.0,4,7,0.3268075349814091,0.33755015289732193
LSPIN,lspin_tf,0.01,0.0,4,8,0.3052753681406447,0.32850990311907896
LSPIN,lspin_tf,0.01,0.0,4,9,0.28811589803917514,0.3194533783933246
LSPIN,lspin_tf,0.01,0.0,5,6,0.15463531731331112,0.18293925238055442
