histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
infiltratinglobularcarcinoma,60,0.5608465608465608,LSPIN,0.01,0.0,40125
other,23,0.40540540540540543,LSPIN,0.01,0.0,40125
infiltratingductalcarcinoma,220,0.4823240589198036,LSPIN,0.01,0.0,40126
infiltratinglobularcarcinoma,60,0.5502645502645502,LSPIN,0.01,0.0,40126
other,23,0.5945945945945946,LSPIN,0.01,0.0,40126
infiltratingductalcarcinoma,220,0.5993453355155482,LSPIN,0.01,0.0,40127
infiltratinglobularcarcinoma,60,0.4973544973544973,LSPIN,0.01,0.0,40127
other,23,0.6216216216216216,LSPIN,0.01,0.0,40127
infiltratingductalcarcinoma,220,0.5459901800327333,LSPIN,0.01,0.0,40128
infiltratinglobularcarcinoma,60,0.5502645502645502,LSPIN,0.01,0.0,40128
other,23,0.5135135135135135,LSPIN,0.01,0.0,40128
infiltratingductalcarcinoma,220,0.6294599018003273,LSPIN,0.01,0.0,40129
infiltratinglobularcarcinoma,60,0.6666666666666666,LSPIN,0.01,0.0,40129
other,23,0.5945945945945946,LSPIN,0.01,0.0,40129
infiltratingductalcarcinoma,220,0.6091653027823241,LSPIN,0.01,0.0,40130
infiltratinglobularcarcinoma,60,0.3915343915343915,LSPIN,0.01,0.0,40130
other,23,0.5135135135135135,LSPIN,0.01,0.0,40130
infiltratingductalcarcinoma,220,0.6193126022913257,LSPIN,0.01,0.0,40131
infiltratinglobularcarcinoma,60,0.5873015873015873,LSPIN,0.01,0.0,40131
other,23,0.4864864864864865,LSPIN,0.01,0.0,40131
infiltratingductalcarcinoma,220,0.6729950900163666,LSPIN,0.01,0.0,40132
infiltratinglobularcarcinoma,60,0.6666666666666666,LSPIN,0.01,0.0,40132
other,23,0.7027027027027027,LSPIN,0.01,0.0,40132
infiltratingductalcarcinoma,220,0.5364975450081833,LSPIN,0.008,0.0,50123
infiltratinglobularcarcinoma,60,0.656084656084656,LSPIN,0.008,0.0,50123
other,23,0.40540540540540543,LSPIN,0.008,0.0,50123
infiltratingductalcarcinoma,220,0.623240589198036,LSPIN,0.008,0.0,50124
infiltratinglobularcarcinoma,60,0.455026455026455,LSPIN,0.008,0.0,50124
other,23,0.43243243243243246,LSPIN,0.008,0.0,50124
infiltratingductalcarcinoma,220,0.5862520458265139,LSPIN,0.008,0.0,50125
infiltratinglobularcarcinoma,60,0.5555555555555556,LSPIN,0.008,0.0,50125
other,23,0.5675675675675675,LSPIN,0.008,0.0,50125
infiltratingductalcarcinoma,220,0.6458265139116203,LSPIN,0.008,0.0,50126
infiltratinglobularcarcinoma,60,0.7619047619047619,LSPIN,0.008,0.0,50126
other,23,0.8918918918918919,LSPIN,0.008,0.0,50126
infiltratingductalcarcinoma,220,0.5378068739770867,LSPIN,0.008,0.0,50127
infiltratinglobularcarcinoma,60,0.5079365079365079,LSPIN,0.008,0.0,50127
other,23,0.6486486486486487,LSPIN,0.008,0.0,50127
infiltratingductalcarcinoma,220,0.43960720130932895,LSPIN,0.008,0.0,50128
infiltratinglobularcarcinoma,60,0.6243386243386243,LSPIN,0.008,0.0,50128
other,23,0.7297297297297297,LSPIN,0.008,0.0,50128
infiltratingductalcarcinoma,220,0.6726677577741408,LSPIN,0.008,0.0,50129
infiltratinglobularcarcinoma,60,0.4656084656084656,LSPIN,0.008,0.0,50129
other,23,0.4594594594594595,LSPIN,0.008,0.0,50129
infiltratingductalcarcinoma,220,0.5440261865793781,LSPIN,0.008,0.0,50130
infiltratinglobularcarcinoma,60,0.6031746031746031,LSPIN,0.008,0.0,50130
