model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.012,0.0,1,9,0.4357271298777065,1.958931720836483,0.24752475247524752,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.012,0.0,2,3,0.5376385740817617,2.5857898715041574,0.3548387096774194,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.012,0.0,2,4,0.3789369123861466,1.4104308390022677,0.16666666666666666,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.012,0.0,2,5,0.4905679940006603,1.8805744520030236,0.23529411764705882,2.3507180650037793,0.3125
LSPIN,lspin_tf,0.012,0.0,2,6,0.41796516433977066,1.8805744520030236,0.23529411764705882,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.012,0.0,2,7,0.6085852092961831,2.5857898715041574,0.3548387096774194,2.742504409171076,0.38461538461538464
LSPIN,lspin_tf,0.012,0.0,2,8,0.4402252494857021,1.8805744520030236,0.23529411764705882,2.037288989669942,0.26
LSPIN,lspin_tf,0.012,0.0,2,9,0.45193615708464985,1.5671453766691863,0.18867924528301888,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,0.012,0.0,3,4,0.34236165486539516,1.8805744520030236,0.23529411764705882,1.7238599143361049,0.21153846153846154
LSPIN,lspin_tf,0.012,0.0,3,5,0.46116211321955874,2.2723607961703203,0.29896907216494845,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.012,0.0,3,6,0.4859870361952597,2.5857898715041574,0.3548387096774194,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.012,0.0,3,7,0.6054156543537664,2.429075333837239,0.3263157894736842,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.012,0.0,3,8,0.4788048269416179,2.1940035273368608,0.2857142857142857,2.3507180650037793,0.3125
LSPIN,lspin_tf,0.012,0.0,3,9,0.5183279097442234,1.958931720836483,0.24752475247524752,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.012,0.0,4,5,0.3613844595809803,1.958931720836483,0.24752475247524752,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.012,0.0,4,6,0.33005913629291633,1.7238599143361049,0.21153846153846154,1.488788107835727,0.17757009345794392
LSPIN,lspin_tf,0.012,0.0,4,7,0.3824589420227258,1.6455026455026456,0.2,2.3507180650037793,0.3125
LSPIN,lspin_tf,0.012,0.0,4,8,0.3081508880510746,1.5671453766691863,0.18867924528301888,1.6455026455026456,0.2
LSPIN,lspin_tf,0.012,0.0,4,9,0.3396051848239663,1.6455026455026456,0.2,2.2723607961703203,0.29896907216494845
LSPIN,lspin_tf,0.012,0.0,5,6,0.3643590453837604,2.1156462585034013,0.2727272727272727,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.012,0.0,5,7,0.5375320408897796,2.1940035273368608,0.2857142857142857,2.3507180650037793,0.3125
LSPIN,lspin_tf,0.012,0.0,5,8,0.4460506070455081,1.958931720836483,0.24752475247524752,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.012,0.0,5,9,0.494159137559046,1.5671453766691863,0.18867924528301888,2.2723607961703203,0.29896907216494845
LSPIN,lspin_tf,0.012,0.0,6,7,0.509335430851804,2.6641471403376165,0.3695652173913043,2.742504409171076,0.38461538461538464
LSPIN,lspin_tf,0.012,0.0,6,8,0.4136167493883716,2.2723607961703203,0.29896907216494845,2.037288989669942,0.26
LSPIN,lspin_tf,0.012,0.0,6,9,0.4242055284102799,2.037288989669942,0.26,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.012,0.0,7,8,0.4796266827409285,2.3507180650037793,0.3125,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.012,0.0,7,9,0.5590131366070187,2.2723607961703203,0.29896907216494845,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,0.012,0.0,8,9,0.5113995299350993,2.1156462585034013,0.2727272727272727,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.01,0.0,0,1,0.413783453218445,2.1156462585034013,0.2727272727272727,1.6455026455026456,0.2
LSPIN,lspin_tf,0.01,0.0,0,2,0.3892731695384863,2.1156462585034013,0.2727272727272727,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.01,0.0,0,3,0.35475576329319597,1.8022171831695641,0.22330097087378642,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.01,0.0,0,4,0.5004157503771709,2.2723607961703203,0.29896907216494845,2.2723607961703203,0.29896907216494845
LSPIN,lspin_tf,0.01,0.0,0,5,0.4952868108021742,1.7238599143361049,0.21153846153846154,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.01,0.0,0,6,0.5331708676070526,1.8805744520030236,0.23529411764705882,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.01,0.0,0,7,0.33113246337718594,1.8022171831695641,0.22330097087378642,1.7238599143361049,0.21153846153846154
LSPIN,lspin_tf,0.01,0.0,0,8,0.5501029109643593,2.507432602670698,0.3404255319148936,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.01,0.0,0,9,0.43569244397081475,2.1940035273368608,0.2857142857142857,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.01,0.0,1,2,0.47181828627882444,2.1156462585034013,0.2727272727272727,2.2723607961703203,0.29896907216494845
LSPIN,lspin_tf,0.01,0.0,1,3,0.1848803135413284,1.488788107835727,0.17757009345794392,1.7238599143361049,0.21153846153846154
LSPIN,lspin_tf,0.01,0.0,1,4,0.37850565197540936,1.6455026455026456,0.2,1.8022171831695641,0.22330097087378642
LSPIN,lspin_tf,0.01,0.0,1,5,0.38996738496214745,1.253716301335349,0.14545454545454545,1.7238599143361049,0.21153846153846154
LSPIN,lspin_tf,0.01,0.0,1,6,0.460986760359221,1.7238599143361049,0.21153846153846154,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.01,0.0,1,7,0.3647731963834727,1.8805744520030236,0.23529411764705882,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.01,0.0,1,8,0.4731653785031337,2.037288989669942,0.26,1.7238599143361049,0.21153846153846154
LSPIN,lspin_tf,0.01,0.0,1,9,0.4560239860236529,2.037288989669942,0.26,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.01,0.0,2,3,0.3007740206152316,1.8022171831695641,0.22330097087378642,1.7238599143361049,0.21153846153846154
LSPIN,lspin_tf,0.01,0.0,2,4,0.5879154734634517,2.1156462585034013,0.2727272727272727,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.01,0.0,2,5,0.35111118081997167,1.4104308390022677,0.16666666666666666,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.01,0.0,2,6,0.5296269738924693,2.507432602670698,0.3404255319148936,2.037288989669942,0.26
LSPIN,lspin_tf,0.01,0.0,2,7,0.4485372977446894,2.1156462585034013,0.2727272727272727,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.01,0.0,2,8,0.4294616199822813,2.037288989669942,0.26,2.037288989669942,0.26
LSPIN,lspin_tf,0.01,0.0,2,9,0.4411462446820613,1.8805744520030236,0.23529411764705882,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.01,0.0,3,4,0.2884925235079857,1.8022171831695641,0.22330097087378642,1.4104308390022677,0.16666666666666666
LSPIN,lspin_tf,0.01,0.0,3,5,0.3251742115237094,1.3320735701688082,0.1559633027522936,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.01,0.0,3,6,0.33642846285643396,1.488788107835727,0.17757009345794392,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.01,0.0,3,7,0.15576000806630375,1.5671453766691863,0.18867924528301888,1.4104308390022677,0.16666666666666666
LSPIN,lspin_tf,0.01,0.0,3,8,0.296760331854263,1.5671453766691863,0.18867924528301888,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.01,0.0,3,9,0.28740787227682585,1.5671453766691863,0.18867924528301888,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.01,0.0,4,5,0.4047892651307995,1.6455026455026456,0.2,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.01,0.0,4,6,0.5244624838978932,2.2723607961703203,0.29896907216494845,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.01,0.0,4,7,0.3484438176438035,1.6455026455026456,0.2,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.01,0.0,4,8,0.4096020523503854,2.1156462585034013,0.2727272727272727,1.4104308390022677,0.16666666666666666
LSPIN,lspin_tf,0.01,0.0,4,9,0.41594947429276247,1.958931720836483,0.24752475247524752,2.037288989669942,0.26
LSPIN,lspin_tf,0.01,0.0,5,6,0.3935921696589928,1.7238599143361049,0.21153846153846154,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.01,0.0,5,7,0.2692958324036492,1.5671453766691863,0.18867924528301888,2.037288989669942,0.26
LSPIN,lspin_tf,0.01,0.0,5,8,0.4018141944384163,1.488788107835727,0.17757009345794392,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.01,0.0,5,9,0.42201484496897074,1.7238599143361049,0.21153846153846154,2.6641471403376165,0.3695652173913043
