model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.012,0.0,6,8,0.6499934145394642
LSPIN,lspin_tf,0.012,0.0,6,9,0.5756466109026971
LSPIN,lspin_tf,0.012,0.0,7,8,0.6853792199483717
LSPIN,lspin_tf,0.012,0.0,7,9,0.744538699533373
LSPIN,lspin_tf,0.012,0.0,8,9,0.6589447359612266
LSPIN,lspin_tf,0.01,0.0,0,1,0.7407959861245055
LSPIN,lspin_tf,0.01,0.0,0,2,0.7769908119250322
LSPIN,lspin_tf,0.01,0.0,0,3,0.4611932939925196
LSPIN,lspin_tf,0.01,0.0,0,4,0.767661159013399
LSPIN,lspin_tf,0.01,0.0,0,5,0.6451769866530872
LSPIN,lspin_tf,0.01,0.0,0,6,0.7376133193698833
LSPIN,lspin_tf,0.01,0.0,0,7,0.552972343736743
LSPIN,lspin_tf,0.01,0.0,0,8,0.7450803169372201
LSPIN,lspin_tf,0.01,0.0,0,9,0.7126837063463671
LSPIN,lspin_tf,0.01,0.0,1,2,0.748414426753107
LSPIN,lspin_tf,0.01,0.0,1,3,0.4852389417955952
LSPIN,lspin_tf,0.01,0.0,1,4,0.832781576205091
LSPIN,lspin_tf,0.01,0.0,1,5,0.604161597981828
LSPIN,lspin_tf,0.01,0.0,1,6,0.7893844533149933
LSPIN,lspin_tf,0.01,0.0,1,7,0.7337526874824667
LSPIN,lspin_tf,0.01,0.0,1,8,0.7896627908747204
LSPIN,lspin_tf,0.01,0.0,1,9,0.7201356528214439
LSPIN,lspin_tf,0.01,0.0,2,3,0.4210265812374285
LSPIN,lspin_tf,0.01,0.0,2,4,0.7169709229260164
LSPIN,lspin_tf,0.01,0.0,2,5,0.5751138083139432
LSPIN,lspin_tf,0.01,0.0,2,6,0.7844478091143703
LSPIN,lspin_tf,0.01,0.0,2,7,0.6097221417752352
LSPIN,lspin_tf,0.01,0.0,2,8,0.8587639139441945
LSPIN,lspin_tf,0.01,0.0,2,9,0.7355515841084662
LSPIN,lspin_tf,0.01,0.0,3,4,0.4158308497343488
LSPIN,lspin_tf,0.01,0.0,3,5,0.5629538156412212
LSPIN,lspin_tf,0.01,0.0,3,6,0.34866347788237295
LSPIN,lspin_tf,0.01,0.0,3,7,0.36694300524292106
LSPIN,lspin_tf,0.01,0.0,3,8,0.38360405543419945
LSPIN,lspin_tf,0.01,0.0,3,9,0.41501961932009385
LSPIN,lspin_tf,0.01,0.0,4,5,0.6173488238360105
LSPIN,lspin_tf,0.01,0.0,4,6,0.7882392454760266
LSPIN,lspin_tf,0.01,0.0,4,7,0.7759955608788419
LSPIN,lspin_tf,0.01,0.0,4,8,0.8132372023053968
LSPIN,lspin_tf,0.01,0.0,4,9,0.7880680821100843
LSPIN,lspin_tf,0.01,0.0,5,6,0.5571432309394699
LSPIN,lspin_tf,0.01,0.0,5,7,0.5266940222665408
LSPIN,lspin_tf,0.01,0.0,5,8,0.5633507538213531
LSPIN,lspin_tf,0.01,0.0,5,9,0.6018282700598012
LSPIN,lspin_tf,0.01,0.0,6,7,0.7573448530776237
LSPIN,lspin_tf,0.01,0.0,6,8,0.8094435612633804
LSPIN,lspin_tf,0.01,0.0,6,9,0.7871410082400002
LSPIN,lspin_tf,0.01,0.0,7,8,0.6880049049993094
LSPIN,lspin_tf,0.01,0.0,7,9,0.7172116578334925
LSPIN,lspin_tf,0.01,0.0,8,9,0.7778776783642959
LSPIN,lspin_tf,0.008,0.0,0,1,0.6407732100067172
LSPIN,lspin_tf,0.008,0.0,0,2,0.5430068386781665
LSPIN,lspin_tf,0.008,0.0,0,3,0.7114420496400391
