model_family,lambda_sample_smooth,lambda_sparse,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,n_pairs,mean_Khard
LSPIN,0.1,0.0033,0.5326945073087703,2.2027098905405786,0.29083653559765743,2.416886425352034,0.33085379119577024,45,1396.931201171875
LSPIN,0.1,0.0022,0.5966406552612727,2.220122616948014,0.2965260857291891,2.8818062204305592,0.41787691603106153,45,1903.2935791015625
LSPIN,0.2,0.011,0.5150801789859654,2.0773382604070436,0.2679248085123565,2.3663895187704713,0.31690283436953465,45,414.66591491699216
LSPIN,0.2,0.0075,0.5925584712444265,2.418627697992777,0.3261143968116823,2.6937487752302567,0.37732636079039555,45,619.9662414550781
LSPIN,0.2,0.005,0.5107042344344589,2.0773382604070436,0.2716036237729306,2.4708658772150836,0.33741395015342673,45,929.5546630859375
LSPIN,0.2,0.0033,0.6235004482868491,2.294997340499986,0.30528970262751204,2.8051902242378435,0.4006213817736745,45,1428.9791015625
LSPIN,0.2,0.0022,0.6201726865397829,2.3611657008482405,0.3169667171153938,2.7860362251896644,0.39630207621154023,45,2048.3974365234376
LSPIN,0.4,0.011,0.5410953101323334,2.1313177122700933,0.27633141884899587,2.4847960583410322,0.337639593846209,45,384.50450744628904
LSPIN,0.4,0.0075,0.49399470101729837,2.1313177122700933,0.2779289687439133,2.1504717113182723,0.28454094635334626,45,615.4366516113281
LSPIN,0.4,0.005,0.5526802976932573,2.2357940707147055,0.29563413437073605,2.434299151759469,0.3315479279073498,45,980.2691162109375
LSPIN,0.4,0.0033,0.6243548801717043,2.343752974440805,0.3142571757968241,2.7633996808599983,0.3915681140876426,45,1444.6791137695313
LSPIN,0.4,0.0022,0.5231982778857398,2.2671369782480895,0.3060630260041316,2.458676968729879,0.33966021734205487,45,1861.4601196289063
LSPIN,0.7,0.011,0.5273361563083824,2.0616668066403516,0.2653192156284441,2.4760896951373144,0.3362864724403585,45,397.55787963867186
LSPIN,0.7,0.0075,0.5803008981021103,2.1922622546961175,0.2872023064080422,2.624097869600515,0.3638369415816043,45,678.1141540527344
LSPIN,0.7,0.005,0.4482689682547019,2.113904985862658,0.27777565698473267,2.288032249937012,0.306968809213352,45,901.7032348632813
LSPIN,0.7,0.0033,0.48809936932037423,1.9937571736513537,0.25901765095630636,2.444746787603931,0.3354462243686812,45,1301.3061157226562
LSPIN,0.7,0.0022,0.5175539365202605,1.9641555387587135,0.25403109358829945,2.5056913300299546,0.3473691854009043,45,1906.0633422851563
