model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,0.1,0.0075,0.7,370132,9,0.5264537264537265,0.7730263157894737,2,569.6559448242188,0.97796774876276,1393.0,1027.0,848.6013194416607
LSPIN,lspin_tf,0.1,0.005,0.7,380123,0,0.5108927108927109,0.8256578947368421,2,819.5595092773438,0.9863660482986287,1974.0,1578.0,1301.6055479531426
LSPIN,lspin_tf,0.1,0.005,0.7,380124,1,0.5275184275184275,0.7689144736842105,23,807.1607666015625,0.9743350160922597,953.0,901.0,858.602831969932
LSPIN,lspin_tf,0.1,0.005,0.7,380125,2,0.5934479934479935,0.8108552631578947,11,949.6109619140625,0.9847110817245571,1451.0,1340.0,1167.4788757273407
LSPIN,lspin_tf,0.1,0.005,0.7,380126,3,0.5193284193284193,0.821546052631579,4,858.9871215820312,0.9842620555296415,1625.0,1377.0,1170.1759288433109
LSPIN,lspin_tf,0.1,0.005,0.7,380127,4,0.5942669942669943,0.7861842105263158,13,1109.6463623046875,0.9840029510163051,1538.0,1467.0,1310.7129965212657
LSPIN,lspin_tf,0.1,0.005,0.7,380128,5,0.5562653562653562,0.8412828947368421,2,1207.109375,0.9889132219558058,2440.0,2034.0,1694.4378849738107
LSPIN,lspin_tf,0.1,0.005,0.7,380129,6,0.5886977886977887,0.7450657894736842,4,895.4115600585938,0.9849468930962395,1577.0,1390.0,1180.7671299043973
LSPIN,lspin_tf,0.1,0.005,0.7,380130,7,0.553071253071253,0.8199013157894737,16,967.2154541015625,0.9821255748841485,1289.0,1194.0,1094.5506177861505
LSPIN,lspin_tf,0.1,0.005,0.7,380131,8,0.5927927927927928,0.8207236842105263,12,659.1865234375,0.9755211844187939,1004.0,930.0,807.633973211976
LSPIN,lspin_tf,0.1,0.005,0.7,380132,9,0.5796887796887797,0.8174342105263158,16,743.1447143554688,0.9794285347826279,1092.0,995.0,886.7404330895772
LSPIN,lspin_tf,0.1,0.0033,0.7,390123,0,0.5536445536445537,0.8026315789473685,3,1170.9195556640625,0.9888104631413384,2255.0,1916.0,1608.9826579707617
LSPIN,lspin_tf,0.1,0.0033,0.7,390124,1,0.5561015561015561,0.8486842105263158,2,1375.5338134765625,0.9908624464073228,2732.0,2302.0,1940.5845012808275
