model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
Concrete,0.7,0.0012,0.8752984740725621,0.8806723884235834,45,1271.5952026367188
LSPIN,0.0,0.02,0.7234578386856216,0.729082593742883,45,104.58810195922851
LSPIN,0.0,0.015,0.6780575483610415,0.6953994262058836,45,149.0279754638672
LSPIN,0.0,0.012,0.6553803636085634,0.6414626462562386,45,187.80514373779297
LSPIN,0.0,0.01,0.6579386775883209,0.7172116578334925,45,235.0816680908203
LSPIN,0.0,0.008,0.6581939507049696,0.6476576306399658,45,255.03376159667968
LSPIN,0.0,0.0065,0.6909309400315593,0.6926795476334969,45,369.05176849365233
LSPIN,0.0,0.005,0.6924574645084965,0.6931725234959789,45,417.53279266357424
LSPIN,0.0,0.004,0.7204162046863244,0.7397056889058137,45,537.4382629394531
LSPIN,0.0,0.0033,0.6887169536612973,0.6895351010093881,45,605.9443756103516
LSPIN,0.0,0.0027,0.7238435030365522,0.7276888043078141,45,777.1987182617188
LSPIN,0.0,0.0022,0.6381001279933392,0.6387513797565881,45,841.6749084472656
LSPIN,0.0,0.0018,0.69136691863981,0.6827511513318758,45,1175.465594482422
LSPIN,0.0,0.0015,0.7011316116957427,0.7050854362610982,45,1345.6980773925782
LSPIN,0.0,0.0012,0.712426989934442,0.705651615313197,45,1756.5222106933593
LSPIN,0.0,0.001,0.7399185530807789,0.764016840754945,45,2133.6022521972654
LSPIN,0.0,0.0008,0.66636738145766,0.6774344362931776,45,2306.076513671875
LSPIN,0.0,0.0005,0.6438025802648496,0.6453115438740662,45,2352.810302734375
LSPIN,0.0,0.00065,0.6471058870957924,0.6823621702577792,45,2572.973669433594
LSPIN,0.0,0.0004,0.7390451298766089,0.7445729054379604,45,3553.6228637695312
LSPIN,0.0,0.0003,0.6801141664930487,0.6944942739808032,45,4052.134423828125
LSPIN,0.1,0.011,0.7861077721441445,0.802903496823008,45,422.2295852661133
LSPIN,0.1,0.0075,0.791177002263513,0.790849025243546,45,677.0225036621093
LSPIN,0.1,0.005,0.8279387042956005,0.8268164753623327,45,937.8524108886719
LSPIN,0.1,0.0033,0.754723900016583,0.7893727704533477,45,1396.931201171875
LSPIN,0.1,0.0022,0.8529656653221526,0.849466165076047,45,1903.2935791015625
LSPIN,0.2,0.011,0.8158666351808522,0.8317013727542781,45,414.66591491699216
LSPIN,0.2,0.0075,0.7957227497721555,0.8035813979688802,45,619.9662414550781
LSPIN,0.2,0.005,0.8340785403221849,0.8414816151102968,45,929.5546630859375
LSPIN,0.2,0.0033,0.8457913050522905,0.8711893146387294,45,1428.9791015625
LSPIN,0.2,0.0022,0.8567775612052384,0.8704754496068989,45,2048.3974365234376
LSPIN,0.4,0.011,0.7836272848248709,0.7964698417745693,45,384.50450744628904
LSPIN,0.4,0.0075,0.831041252366818,0.8404045980188264,45,615.4366516113281
LSPIN,0.4,0.005,0.8240390840524277,0.8329952846264463,45,980.2691162109375
LSPIN,0.4,0.0033,0.8889108191468136,0.8892130008987864,45,1444.6791137695313
LSPIN,0.4,0.0022,0.8492994071647847,0.865892427454229,45,1861.4601196289063
LSPIN,0.7,0.011,0.7915780736067652,0.8048277686134512,45,397.55787963867186
LSPIN,0.7,0.0075,0.8337305289632271,0.8341720328437123,45,678.1141540527344
LSPIN,0.7,0.005,0.8440121504842041,0.8648291223401934,45,901.7032348632813
LSPIN,0.7,0.0033,0.835855795698354,0.8277309784449208,45,1301.3061157226562
LSPIN,0.7,0.0022,0.8694116979159248,0.8732010091111444,45,1906.0633422851563
