dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,seed_i,seed_j,affinity_corr
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100125,102124,0.9106672247276252
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100125,102125,0.8269488154772277
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100125,103123,0.8612640803392153
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100125,103124,0.944721703889515
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100125,103125,0.8700630792099783
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101123,101124,0.8690508215935402
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101123,101125,0.9029807475597988
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101123,102123,0.8749023634294866
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101123,102124,0.8211144960309458
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101123,102125,0.8400573894485343
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101123,103123,0.903765140050927
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101123,103124,0.8431178633693577
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101123,103125,0.8910149706584845
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101124,101125,0.9228161679473595
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101124,102123,0.8373021083648632
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101124,102124,0.8288714854015625
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101124,102125,0.804898296190944
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101124,103123,0.8363509176688845
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101124,103124,0.8080079207253236
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101124,103125,0.8189703759877552
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101125,102123,0.9234127356393785
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101125,102124,0.879428442248544
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101125,102125,0.8980306608749854
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101125,103123,0.9061077767052726
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101125,103124,0.8557083721788448
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,101125,103125,0.8924696483221126
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102123,102124,0.8624946094332395
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102123,102125,0.9225399612851106
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102123,103123,0.8924593050301856
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102123,103124,0.8141649921619069
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102123,103125,0.9042393437920826
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102124,102125,0.9172132276799154
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102124,103123,0.8645837427305966
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102124,103124,0.9236491987558721
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102124,103125,0.8954914191375141
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102125,103123,0.8477453593982501
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102125,103124,0.8460824818522722
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,102125,103125,0.9134200520548609
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,103123,103124,0.8752999564616847
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,103123,103125,0.9077087832000579
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,103124,103125,0.888740218368144
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100123,100124,0.914632792190235
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100123,100125,0.8733890179883356
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100123,101123,0.8476129102363171
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100123,101124,0.8366596800721254
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100123,101125,0.8942993736757396
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100123,102123,0.8698784686381378
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100123,102124,0.8674257017092974
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,100123,102125,0.8065193531581749
