dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,mean_affinity_corr,std_affinity_corr,n_pairs
kipan,goal1,screen,goal1_smooth_concrete_lamx2p0,Concrete smooth x2,Concrete,concrete,0.9938013665814589,0.00330187063338685,10
kipan,goal1,screen,goal1_smooth_concrete_lamx2p5,Concrete smooth x2.5,Concrete,concrete,0.9948394527938215,0.001679947863018909,10
kipan,goal1,screen,goal1_smooth_concrete_lamx3p0,Concrete smooth x3,Concrete,concrete,0.9900052308328859,0.005215990991723047,10
kipan,goal1,screen,goal1_smooth_lconcrete,L-Concrete smooth,L-Concrete,concrete,0.9917751761090244,0.0027513495520499853,10
kipan,goal1,screen,goal1_smooth_lconcrete_lamx0p75,L-Concrete smooth x0.75,L-Concrete,concrete,0.9884650208291124,0.004096519985739748,10
kipan,goal1,screen,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,concrete,0.989918959217103,0.003271834324848319,10
kipan,goal1,screen,goal1_smooth_lconcrete_lamx1p5,L-Concrete smooth x1.5,L-Concrete,concrete,0.9876459238719016,0.004504646018098408,10
kipan,goal1,screen,goal1_smooth_lconcrete_lamx2p0,L-Concrete smooth x2,L-Concrete,concrete,0.987077421177261,0.0035914337630247755,10
kipan,goal1,screen,goal1_smooth_lconcrete_lamx3p0,L-Concrete smooth x3,L-Concrete,concrete,0.9756251360388136,0.008359335993891565,10
kipan,goal1,screen,goal1_smooth_llspin,L-LSPIN smooth,L-LSPIN,lspin_tf,0.9901381568428651,0.004620748689010873,10
kipan,goal1,screen,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.9892806354617057,0.007572871914401109,10
kipan,goal1,screen,goal1_smooth_llspin_lamx1p25,L-LSPIN smooth x1.2,L-LSPIN,lspin_tf,0.9895348086283702,0.004888052868020523,10
kipan,goal1,screen,goal1_smooth_llspin_lamx1p5,L-LSPIN smooth x1.5,L-LSPIN,lspin_tf,0.9876517033716177,0.008917978694274332,10
kipan,goal1,screen,goal1_smooth_llspin_lamx2p0,L-LSPIN smooth x2,L-LSPIN,lspin_tf,0.9918815359702451,0.003113762980709785,10
kipan,goal1,screen,goal1_smooth_llspin_lamx3p0,L-LSPIN smooth x3,L-LSPIN,lspin_tf,0.9905427847116854,0.0032606212550409905,10
kipan,goal1,screen,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,lspin_tf,0.9931714250266305,0.004400178751733338,10
kipan,goal1,screen,goal1_smooth_lspin_lamx1p25,LSPIN smooth x1.2,LSPIN,lspin_tf,0.9943410006838521,0.00359105170411904,10
kipan,goal1,screen,goal1_smooth_lspin_lamx1p5,LSPIN smooth x1.5,LSPIN,lspin_tf,0.9944163123260417,0.0034872944522229025,10
kipan,goal1,screen,goal1_smooth_lspin_lamx2p0,LSPIN smooth x2,LSPIN,lspin_tf,0.9958993630516009,0.0022618966323794372,10
kipan,goal1,screen,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,lspin_tf,0.9962819355175249,0.001966120316250313,10
kipan,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,lspin_tf,0.9967537844484313,0.0007094741229536188,10
