dataset,experiment,task_stage,variant_key,variant_label,model_family,goal1_group,split_seed,n_reps,split_mean_test_cindex,split_sd_test_cindex,split_mean_Ksoft,split_sd_Ksoft,split_mean_Khard,split_sd_Khard
brca,goal1,screen,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,smooth,124,1,0.6335790335790336,,188.69955444335935,,188.6913146972656,
brca,goal1,screen,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,smooth,125,1,0.6303030303030303,,252.56878662109372,,252.4469451904297,
brca,goal1,screen,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,smooth,126,1,0.5854217854217855,,233.41639709472656,,233.36656188964844,
brca,goal1,screen,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,smooth,127,1,0.6201474201474202,,227.7283935546875,,227.7395477294922,
brca,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,smooth,123,1,0.56003276003276,,164.88092041015625,,164.91961669921875,
brca,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,smooth,124,1,0.5760851760851761,,205.85009765625,,205.8263702392578,
brca,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,smooth,125,1,0.6227682227682227,,203.55364990234372,,203.5691375732422,
brca,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,smooth,126,1,0.5426699426699426,,206.146484375,,206.18006896972656,
brca,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,smooth,127,1,0.6366912366912367,,198.49847412109372,,198.48231506347656,
brca,goal1,screen,mlp,MLP,MLP,dense,123,1,0.6742014742014742,,,,,
brca,goal1,screen,mlp,MLP,MLP,dense,124,1,0.6645372645372646,,,,,
brca,goal1,screen,mlp,MLP,MLP,dense,125,1,0.6514332514332515,,,,,
brca,goal1,screen,mlp,MLP,MLP,dense,126,1,0.6255528255528255,,,,,
brca,goal1,screen,mlp,MLP,MLP,dense,127,1,0.647010647010647,,,,,
kipan,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,123,3,0.7076986544808327,0.005640524188168062,,,,
kipan,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,125,3,0.7033828382838284,0.005617983468509657,,,,
kipan,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,126,3,0.7357831937039858,0.004727931472980147,,,,
kipan,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,127,3,0.7412414318354913,0.004916508504826815,,,,
kipan,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,123,3,0.7337839553186088,0.014853417538535932,232.36030069986978,4.449151202964031,232.35650126139322,4.500570261530617
kipan,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,125,3,0.7192498095963442,0.0024027855034508814,237.5857899983724,28.649100721252765,237.61389668782553,28.65626510232424
kipan,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,126,3,0.7037636455953288,0.011083689931527963,218.8966827392578,3.058661612218233,218.8468475341797,3.0881077816659177
kipan,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,127,3,0.7315625793348565,0.009894274872347847,276.53163655598956,10.994109089886857,276.4697570800781,10.97201906226003
kipan,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,124,3,0.7168062960142167,0.010556819613669574,241.45069376627603,18.039369456516173,224.09266662597656,13.936692349006245
kipan,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,125,3,0.729055597867479,0.009416322270659527,314.0454508463542,37.537757883096674,287.29601033528644,31.96045113341754
kipan,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,126,3,0.7266120842853517,0.0033311571681613663,240.70258076985678,26.558861118470485,225.82367960611978,24.18225904181459
kipan,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,127,3,0.7146801218583397,0.009050184397788338,236.79136657714844,10.039431709393547,220.11711629231772,9.739514686930669
kipan,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,123,3,0.7337839553186088,0.014853417538535932,232.36030069986978,4.449151202964031,232.35650126139322,4.500570261530617
kipan,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,125,3,0.7192498095963442,0.0024027855034508814,237.5857899983724,28.649100721252765,237.61389668782553,28.65626510232424
kipan,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,126,3,0.7037636455953288,0.011083689931527963,218.8966827392578,3.058661612218233,218.8468475341797,3.0881077816659177
kipan,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,127,3,0.7315625793348565,0.009894274872347847,276.53163655598956,10.994109089886857,276.4697570800781,10.97201906226003
kipan,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,nosmooth,124,3,0.7183612592028433,0.010305277225079873,270.4112548828125,52.517018015643366,73.66666666666667,5.507570547286104
kipan,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,nosmooth,125,3,0.714045443005839,0.006759553253906704,252.04907735188803,35.91541478297886,71.33333333333333,20.502032419575706
kipan,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,nosmooth,126,3,0.7224549378014725,0.01140847374765991,252.9558868408203,12.525485696241075,96.33333333333333,31.94265695482036
kipan,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,nosmooth,127,3,0.7227088093424726,0.024794974451122262,205.59686787923178,21.8557302977728,112.0,19.313207915827967
kipan,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,smooth,124,3,0.7252475247524752,0.003241059506959104,201.9239959716797,36.39813983572315,183.84813435872397,27.465369320961702
kipan,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,smooth,125,3,0.7260726072607261,0.0017039088294819747,218.95652770996094,33.284783364817585,194.81724548339844,27.022747331296642
kipan,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,smooth,126,3,0.7228040111703478,0.007473394019779913,195.96887715657553,15.079140429313066,182.17374674479166,12.319474295780903
kipan,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,smooth,127,3,0.7226136075145977,0.0010443312180695176,187.30575052897134,14.425085742071756,171.07078552246094,12.747444177112918
kipan,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,linear_gated,123,3,0.7242320385884743,0.0017819110359693707,312.24713134765625,55.90370716343789,283.0965169270833,48.40045603987446
kipan,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,linear_gated,124,3,0.7151561309977152,0.005492081150744794,209.49879455566406,17.04778332583115,190.85199483235678,16.657518868272184
kipan,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,linear_gated,125,3,0.7267707539984768,0.008853769992383905,198.87369283040366,7.256832947342398,181.6821085611979,5.497934461911637
kipan,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,linear_gated,126,3,0.7143945163747144,0.004825333548162281,150.71346537272134,7.900621644721348,133.98712921142578,7.144789005803774
kipan,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,linear_gated,123,3,0.7288334602691039,0.0069283998253741935,1851.0963948567708,57.27356953961914,1851.3835042317708,57.39384778842397
kipan,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,linear_gated,124,3,0.7272150291952272,0.01057097593226733,1799.5733235677083,72.42466737311632,1799.8236897786458,72.47639086991086
kipan,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,linear_gated,125,3,0.7208047727849708,0.006191291392869871,1865.2085367838542,45.82288998760728,1865.4246826171875,45.73046174281083
kipan,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,linear_gated,127,3,0.7251840568672252,0.011191918678869857,1850.2930094401042,62.50465967407562,1850.4156901041667,62.412223849755954
kipan,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,smooth,123,3,0.7346725057121096,0.004394778708143053,1040.470947265625,6.318458595263304,1040.8738606770833,6.417267009721526
kipan,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,smooth,124,3,0.7183295252602183,0.00163883616827556,945.7381795247396,36.456419319087,945.8906046549479,36.56306306557917
kipan,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,smooth,125,3,0.7105229753744604,0.008864682473502732,1041.0417887369792,8.856126637442008,1041.2496744791667,8.912706645899037
kipan,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,smooth,126,3,0.7174409748667174,0.005936961853643938,1068.9568277994792,32.60693372178438,1069.0489095052083,32.66720280480501
kipan,goal1,fixed_init_eval,mlp,MLP,MLP,dense,123,3,0.7276275704493527,0.0035836881615991046,,,,
kipan,goal1,fixed_init_eval,mlp,MLP,MLP,dense,124,3,0.7321972581873571,0.0009376292652128597,,,,
kipan,goal1,fixed_init_eval,mlp,MLP,MLP,dense,126,3,0.7365765422696117,0.007021094465914776,,,,
kipan,goal1,fixed_init_eval,mlp,MLP,MLP,dense,127,3,0.7445734958111196,0.0004362695825358221,,,,
kipan,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,floor,123,1,0.7071591774562072,,3014.976318359375,,3030.0,
kipan,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,floor,124,1,0.705064737242955,,2997.549560546875,,3000.899658203125,
kipan,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,floor,125,1,0.7094440213252095,,2986.5439453125,,2986.53271484375,
kipan,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,floor,126,1,0.7138233054074639,,2996.434814453125,,2995.9072265625,
kipan,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,floor,127,1,0.7283891850723534,,3094.82958984375,,3117.9189453125,
