dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,lambda_sparse,lambda_base,lambda_multiplier,gate_sigma,goal1_group,n_runs,mean_test_cindex,std_test_cindex,mean_best_val_cindex,mean_best_epoch,std_best_epoch,mean_Ksoft,std_Ksoft,mean_Khard,std_Khard,mean_gene_union_count,std_gene_union_count,mean_effective_gene_count,std_effective_gene_count,ci95_test_cindex,ci95_Ksoft,ci95_Khard,ci95_gene_union_count,ci95_effective_gene_count
brca,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,concrete,0.0055,0.0022,2.5,0.1,nosmooth,5,0.624963144963145,0.0527427116473592,0.6911772109444497,10.2,2.16794833886788,122.65757751464844,19.58043676530152,110.97491760253907,17.240579613001564,6315.2,1082.2054795647637,1894.554319372018,475.2331121188689,0.04623102511597671,17.163009553449317,15.112034330578055,948.5949270283918,416.5601891917754
brca,goal1,screen,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,concrete,0.0066,0.0022,3.0,0.1,nosmooth,5,0.6056019656019656,0.035266597507451126,0.7018729018669145,12.8,4.919349550499538,94.47925262451172,9.022929747662683,85.30868225097656,7.374500327261959,5417.6,608.858193670743,1557.3652934999595,257.0523570340567,0.030912535669819857,7.908946634615682,6.464034540486057,533.6877374045613,225.3163252890412
brca,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.1,nosmooth,5,0.5955773955773955,0.024816400549774652,0.6835477808005929,12.6,6.841052550594828,284.4273742675781,60.269896834914434,284.4308685302734,60.243752835648564,4235.6,480.67379791288806,981.1592701868906,187.62300588349052,0.021752534165774433,52.82889383734909,52.80597761160071,421.32916055739594,164.4588157569445
brca,goal1,screen,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,lspin_tf,0.00875,0.007,1.25,0.1,nosmooth,5,0.6063554463554464,0.032568316996699154,0.6838486710708902,10.6,3.130495168499706,251.6068908691406,40.84185625898861,251.53118896484375,40.84195398197218,4014.2,265.0022641412711,823.0449683827421,107.97658085067172,0.02854738852121339,35.79946543357052,35.79955109154234,232.28472611000495,94.64564610596078
brca,goal1,screen,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,lspin_tf,0.0105,0.007,1.5,0.1,nosmooth,5,0.5996723996723997,0.03424402949341593,0.6844453995373774,10.4,1.6733200530681511,220.3511749267578,22.604531834814544,220.34855041503906,22.57144911424076,3556.0,397.2272649252566,684.3676993979293,83.77132131686012,0.030016215286147993,19.81374575462372,19.78474747148694,348.1850494205631,73.42880065955475
brca,goal1,screen,goal1_nosmooth_lspin_lamx2p0,LSPIN nosmooth x2,LSPIN,lspin_tf,0.014,0.007,2.0,0.1,nosmooth,5,0.6070761670761671,0.021594428585313966,0.7062114055286608,14.0,3.24037034920393,163.21136169433595,15.179663476837389,163.1813507080078,15.163457009919357,2991.2,266.5317992285348,476.89125352208913,34.49953051701874,0.018928351218794444,13.305561688633448,13.291356094045549,233.62542272620928,30.240171807729887
brca,goal1,screen,goal1_nosmooth_lspin_lamx2p5,LSPIN nosmooth x2.5,LSPIN,lspin_tf,0.0175,0.007,2.5,0.1,nosmooth,5,0.6114660114660115,0.0806430976960329,0.6773351284170284,12.0,3.24037034920393,161.61283264160156,21.097538498539777,161.59485473632813,21.092067636811947,3047.2,203.28231600412263,463.7434774941668,73.92593469711952,0.0706867917588786,18.492807854336284,18.488012432598463,178.18480626585415,64.79893879092407
brca,goal1,screen,goal1_nosmooth_lspin_lamx3p0,LSPIN nosmooth x3,LSPIN,lspin_tf,0.021,0.007,3.0,0.1,nosmooth,5,0.6008517608517608,0.02830957809208083,0.6990753159809795,13.2,4.43846820423443,137.07331390380858,18.68548470427215,137.0398727416992,18.705580405893215,2763.8,505.9651173747059,381.1883701766193,39.955799131312105,0.02481443928306676,16.378549484583747,16.39616414369681,443.49797950385295,35.022802117552835
brca,goal1,screen,goal1_nosmooth_stg_lamx0p5,MLP+STG nosmooth x0.5,MLP+STG,global_stg,0.0005,0.001,0.5,0.1,nosmooth,5,0.5656511056511057,0.08543528255689048,0.7432770629179519,73.4,35.80921669067895,185.88272352218627,109.61218486385792,92.2,67.36987457313543,92.2,67.36987457313543,92.19999999999996,67.36987457313549,0.07488732699385078,96.07931623500104,59.052298719016854,59.052298719016854,59.0522987190169
brca,goal1,screen,goal1_nosmooth_stg_lamx0p75,MLP+STG nosmooth x0.75,MLP+STG,global_stg,0.00075,0.001,0.75,0.1,nosmooth,5,0.60004914004914,0.02303530619740346,0.7598793117935256,79.0,50.80846386184097,99.41745929718017,54.380753586301985,50.6,50.69319480955999,50.6,50.69319480955999,50.599999999999966,50.69319480955995,0.0201913361316472,47.66683218116159,44.43454439959973,44.43454439959973,44.434544399599694
