dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,lambda_sparse,lambda_base,lambda_multiplier,gate_sigma,goal1_group,n_runs,mean_test_cindex,std_test_cindex,mean_best_val_cindex,mean_best_epoch,std_best_epoch,mean_Ksoft,std_Ksoft,mean_Khard,std_Khard,mean_gene_union_count,std_gene_union_count,mean_effective_gene_count,std_effective_gene_count,ci95_test_cindex,ci95_Ksoft,ci95_Khard,ci95_gene_union_count,ci95_effective_gene_count,target_mean_Khard,khard_delta,goal1_reference_variant_key,mean_affinity_corr,std_affinity_corr,n_pairs
kipan,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,lspin_tf,0.007,0.007,1.0,0.22,alt_sigma,5,0.7206968773800456,0.015047220366832483,0.783102233320305,8.6,1.6733200530681511,228.64908142089843,43.036218041139506,228.63089294433593,43.017334932065,733.6,165.57415257219347,438.48885916600966,90.6872244949447,0.013189470184161447,37.72290834152038,37.70635656663766,145.1321437035917,79.49085707530031,,,,0.9933759350207165,0.003510305289566822,10.0
kipan,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,,,,,,dense,5,0.7284082254379284,0.016307103283541305,0.788983107365365,28.8,39.13693907295255,,,,,,,,,0.014293806251578485,,,,,,,,,,
kipan,goal1,screen,mlp,MLP,MLP,,,,,,dense,5,0.7259139375476009,0.01041818618389772,0.8001648515175338,15.4,9.154233993076646,,,,,,,,,0.009131942823702215,,,,,,,,,,
kipan,goal1,screen,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,concrete,0.0025,0.002,1.25,0.15,linear_gated,5,0.7276846915460776,0.013356378773149123,0.7853398677647431,14.6,4.393176527297759,209.80971984863282,25.57702653234169,190.79150390625,25.20306823489325,905.8,82.12916656097273,464.3947629072762,52.8886313396152,0.011707382181038698,22.41925223554364,22.091463335396483,71.98938855136916,46.358929365623695,,,,0.989918959217103,0.003271834324848319,10.0
kipan,goal1,screen,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.00525,0.007,0.75,0.22,linear_gated,5,0.7283891850723534,0.010621085590693885,0.7917093151711204,8.2,3.5637059362410923,1860.163525390625,40.54865209599055,1860.3830078125,40.54307508326963,3578.8,176.24897162820554,3044.981203056438,92.02317724324449,0.009309791995248933,35.542460653188684,35.53757218600298,154.48903515783894,80.6618712899913,,,,0.9892806354617057,0.007572871914401109,10.0
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,concrete,0.002,0.002,1.0,0.15,nosmooth,5,0.7286557501904036,0.005927183537299075,0.7825038363753436,7.6,1.6733200530681511,266.20111694335935,48.089965454779986,245.0393859863281,42.256858748656576,2047.8,330.3629821877748,824.0283727074269,179.26954870055891,0.005195405439371209,42.15271326266181,37.039769801620295,289.57592148519524,157.13668769854226,228.63089294433593,16.408493041992188,goal1_nosmooth_lspin_lamx1p0,0.9877796530475461,0.00576894211274745,10.0
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.22,nosmooth,5,0.7206968773800456,0.015047220366832455,0.783102233320305,8.6,1.6733200530681513,228.64908142089843,43.03621804113951,228.63089294433593,43.017334932065,733.6,165.57415257219347,438.48885916600966,90.68722449494472,0.013189470184161422,37.72290834152039,37.70635656663766,145.1321437035917,79.49085707530033,228.63089294433593,0.0,goal1_nosmooth_lspin_lamx1p0,0.9933759350207165,0.003510305289566822,10.0
kipan,goal1,screen,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,global_stg,0.00125,0.001,1.25,0.22,nosmooth,5,0.7205635948210205,0.010813142465001388,0.7896297689295426,39.6,15.372052563011877,291.34779052734376,171.30337347730935,79.2,31.491268631161876,79.2,31.491268631161876,79.20000000000007,31.4912686311619,0.009478137268036035,150.1540272451569,27.603314003938003,27.603314003938003,27.603314003938028,,,,,,10.0
kipan,goal1,screen,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,concrete,0.002,0.002,1.0,0.15,smooth,5,0.7265803503427266,0.011023080859468187,0.7847425312401116,8.0,2.23606797749979,206.93933715820313,64.70755633892372,186.5861022949219,53.79436678636837,997.0,243.1501593665939,472.3473844604065,118.49974957372365,0.009662156384313086,56.718673895638496,47.15284148882362,213.13051175277556,103.86961018251074,985.94208984375,799.3559875488281,goal1_smooth_lspin_lamx1p0,0.9890320174095846,0.007850207546052411,10.0
kipan,goal1,screen,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.22,smooth,5,0.7118050266565118,0.010499730138901,0.783955512144139,10.0,6.041522986797286,985.8385986328125,46.02959488381617,985.94208984375,46.06482458382152,1916.2,167.15621436249384,1673.8884528812273,92.82287980932941,0.00920341925170649,40.34671882969988,40.377599023283125,146.51888200501665,81.36284149541368,985.94208984375,0.0,goal1_smooth_lspin_lamx1p0,0.9931714250266305,0.004400178751733338,10.0
