dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,lambda_sparse,lambda_base,lambda_multiplier,gate_sigma,goal1_group,n_runs,mean_test_cindex,std_test_cindex,mean_best_val_cindex,mean_best_epoch,std_best_epoch,mean_Ksoft,std_Ksoft,mean_Khard,std_Khard,mean_gene_union_count,std_gene_union_count,mean_effective_gene_count,std_effective_gene_count,ci95_test_cindex,ci95_Ksoft,ci95_Khard,ci95_gene_union_count,ci95_effective_gene_count,mean_affinity_corr,std_affinity_corr,n_pairs
kipan,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,,,,,,dense,12,0.7220265295760345,0.017974238651367783,0.793705292573318,11.833333333333334,13.703571752936487,,,,,,,,,0.01016988289336885,,,,,,,
kipan,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,lspin_tf,0.007,0.007,1.0,0.22,alt_sigma,12,0.7220899974612847,0.015390331645151103,0.7844247972393408,8.916666666666666,2.5746432527221863,241.3436024983724,26.02836209826836,241.32175064086914,26.01852322615919,794.8333333333334,141.63964091590984,463.4072685101196,54.111707034334415,0.008707899875880694,14.726932226720285,14.721365360768747,80.14017111450802,30.61658045013148,0.9920536694136424,0.004657890905236947,66.0
kipan,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,concrete,0.002,0.002,1.0,0.15,nosmooth,12,0.7217885250063468,0.009725875710710047,0.7854077081534433,8.166666666666666,1.3371158468430435,258.2475229899089,39.96877466693357,239.33236821492514,34.43583412537964,2004.5,308.8540402549692,794.7042310802876,123.3993921006165,0.0055029322204896225,22.61446315687092,19.483907340016092,174.75062401587982,69.81977880218457,0.9876036021515318,0.00501375414032319,66.0
kipan,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.22,nosmooth,12,0.7220899974612847,0.015390331645151103,0.7844247972393408,8.916666666666666,2.5746432527221863,241.3436024983724,26.02836209826836,241.32175064086914,26.01852322615919,794.8333333333334,141.63964091590984,463.4072685101196,54.111707034334415,0.008707899875880694,14.726932226720285,14.721365360768747,80.14017111450802,30.61658045013148,0.9920536694136424,0.004657890905236947,66.0
kipan,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,global_stg,0.00125,0.001,1.25,0.22,nosmooth,12,0.719392612338157,0.01329306513405568,0.7943646812335544,42.0,13.184012356569674,245.25327173868814,38.49230511885594,88.33333333333333,25.35684714174254,88.33333333333333,25.35684714174254,88.33333333333331,25.356847141742538,0.00752125963883223,21.779071867658676,14.346986872623544,14.346986872623544,14.346986872623543,,,66.0
kipan,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,concrete,0.002,0.002,1.0,0.15,smooth,12,0.7241844376745367,0.003906932132045459,0.792436522029154,8.166666666666666,1.2673044646258473,201.03878784179688,25.839923013214676,182.97747802734375,20.10821783433898,949.0,140.2880154280018,473.7691232713093,62.25705729879233,0.002210554951779203,14.620312777368326,11.37729527998766,79.37541700200653,35.22524621460347,0.9918982627232299,0.008672438863262246,66.0
kipan,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,concrete,0.0025,0.002,1.25,0.15,linear_gated,12,0.7201383599898451,0.007542040345774459,0.7965578533502654,17.666666666666668,9.02857416844717,217.83327102661133,66.47336375705757,197.40443738301596,60.57883334498489,977.8333333333334,221.97822716053332,494.56997794427497,121.83158206132683,0.004267311043394464,37.61084616989556,34.2757016241421,125.59600542126242,68.93270676492692,0.9880957459763909,0.007099584091351058,66.0
kipan,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.00525,0.007,0.75,0.22,linear_gated,12,0.7255093297791317,0.008286201658761263,0.7756078666153657,7.083333333333333,3.3967453227875044,1841.5428161621094,57.629184563327684,1841.7618916829426,57.62377662349436,3562.4166666666665,221.74451241886186,3024.2198966960573,112.98355215075013,0.004688359943080432,32.60678071639955,32.603720886391386,125.46376885762517,63.926462563270995,0.9876588734277171,0.00972672167161984,66.0
kipan,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.22,smooth,12,0.7202414953033766,0.010506563559546248,0.7876419641582831,6.25,2.220769727328383,1024.0519358317058,53.21010791872986,1024.2657623291016,53.24614898001659,2078.0,179.06575734781188,1774.0515293843328,99.22306598039361,0.005944647953374701,30.10645272787797,30.12684487798503,101.31598994325535,56.140734576528246,0.9961009227032409,0.002621113208213212,66.0
kipan,goal1,fixed_init_eval,mlp,MLP,MLP,,,,,,dense,12,0.7352437166793603,0.007353042181662697,0.8076717290766284,15.583333333333334,16.05931241216495,,,,,,,,,0.004160375265286719,,,,,,,
