dataset,experiment,task_stage,variant_key,variant_label,model_family,goal1_group,n_splits,mean_of_split_means_test_cindex,between_split_sd_test_cindex,mean_within_split_sd_test_cindex,mean_of_split_means_Ksoft,between_split_sd_Ksoft,mean_within_split_sd_Ksoft,mean_of_split_means_Khard,between_split_sd_Khard,mean_within_split_sd_Khard
brca,goal1,screen,goal1_smooth_lconcrete,L-Concrete smooth,L-Concrete,linear_gated,5,0.6551351351351352,0.02274363947211956,,1508.210595703125,171.6544779035168,,1452.366552734375,176.43569827522535,
brca,goal1,screen,goal1_smooth_lconcrete_lamx0p75,L-Concrete smooth x0.75,L-Concrete,linear_gated,5,0.6712530712530713,0.008001097291937669,,2168.5373779296874,115.79731079444727,,2118.5762451171877,112.80556483573193,
brca,goal1,screen,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,linear_gated,5,0.6528091728091728,0.020887122254521235,,1092.4084228515626,150.72071423270955,,1051.1163940429688,146.04344693952046,
brca,goal1,screen,goal1_smooth_lconcrete_lamx1p5,L-Concrete smooth x1.5,L-Concrete,linear_gated,5,0.642031122031122,0.03127738285919044,,840.1412353515625,89.9838869420694,,805.8958129882812,88.17916050878782,
brca,goal1,screen,goal1_smooth_lconcrete_lamx2p0,L-Concrete smooth x2,L-Concrete,linear_gated,5,0.6528091728091728,0.027730308283018174,,532.4997314453125,54.06863753190619,,506.65338134765625,50.14461061102599,
brca,goal1,screen,goal1_smooth_lconcrete_lamx3p0,L-Concrete smooth x3,L-Concrete,linear_gated,5,0.6246355446355446,0.019457639372521093,,253.65740356445312,58.317658676014005,,235.85273132324218,48.875683649957416,
brca,goal1,screen,goal1_smooth_llspin,L-LSPIN smooth,L-LSPIN,linear_gated,5,0.6535298935298935,0.03405141061547922,,904.4046508789063,138.00422069822065,,904.3890625,137.9798494215435,
brca,goal1,screen,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,linear_gated,5,0.6674856674856675,0.030028863551662947,,1712.687451171875,325.33878489698543,,1712.641796875,325.32389322124686,
brca,goal1,screen,goal1_smooth_llspin_lamx1p25,L-LSPIN smooth x1.2,L-LSPIN,linear_gated,5,0.6424570024570024,0.01583169045404171,,613.0049621582032,75.09135010112097,,613.0045043945313,75.08804982919742,
brca,goal1,screen,goal1_smooth_llspin_lamx1p5,L-LSPIN smooth x1.5,L-LSPIN,linear_gated,5,0.6339066339066339,0.012740662724081945,,475.34763793945314,68.99990884783475,,475.34856567382815,69.00582150781311,
brca,goal1,screen,goal1_smooth_llspin_lamx2p0,L-LSPIN smooth x2,L-LSPIN,linear_gated,5,0.6350204750204751,0.03497495986906078,,335.0782043457031,47.092317059607105,,335.07073974609375,47.07051548123123,
brca,goal1,screen,goal1_smooth_llspin_lamx3p0,L-LSPIN smooth x3,L-LSPIN,linear_gated,5,0.6019000819000819,0.05382942929108591,,234.53362426757812,25.87406712071541,,234.52476196289064,25.873220294412647,
brca,goal1,screen,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,smooth,5,0.6216216216216217,0.03676720811557269,,448.9921447753906,49.08267536311641,,448.96913452148436,49.07446882586936,
brca,goal1,screen,goal1_smooth_lspin_lamx1p25,LSPIN smooth x1.2,LSPIN,smooth,5,0.6498607698607699,0.024032783254146078,,360.58982543945314,59.67641807669835,,360.5594848632812,59.66932967495805,
brca,goal1,screen,goal1_smooth_lspin_lamx1p5,LSPIN smooth x1.5,LSPIN,smooth,5,0.622997542997543,0.02606986514784954,,311.18024291992185,36.42267037763717,,311.16656494140625,36.44063659496393,
brca,goal1,screen,goal1_smooth_lspin_lamx2p0,LSPIN smooth x2,LSPIN,smooth,5,0.6172972972972973,0.044714534619843864,,247.47992553710938,28.764182330813696,,247.4829559326172,28.763642065824246,
brca,goal1,screen,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,smooth,5,0.6061588861588861,0.031499840483261314,,223.7736846923828,23.566570644442116,,223.7318328857422,23.530960538192943,
brca,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,smooth,5,0.5876494676494677,0.04049072461129735,,195.78592529296876,17.545964945029457,,195.79550170898438,17.53158732369042,
brca,goal1,screen,mlp,MLP,MLP,dense,5,0.6525470925470926,0.018528760016189777,,,,,,,
kipan,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,4,0.7220265295760345,0.01924693487729519,0.00522573690862117,,,,,,
kipan,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,4,0.7220899974612845,0.013788888008627043,0.009558541961465656,241.34360249837238,24.744580642370238,11.787755656580472,241.32175064086914,24.729385379065732,11.804240551945202
kipan,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,4,0.7217885250063468,0.007104671541356844,0.008088620862569701,258.2475229899089,37.254681453274074,23.043855041869218,239.3323682149251,32.06488237074549,19.95472930279226
kipan,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,4,0.7220899974612845,0.013788888008627043,0.009558541961465656,241.34360249837238,24.744580642370238,11.787755656580472,241.32175064086914,24.729385379065732,11.804240551945202
kipan,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,nosmooth,4,0.7193926123381569,0.00408374456322076,0.013317069669442187,245.25327173868817,27.755286200940454,30.703412198159025,88.33333333333333,19.392629374947433,19.316366959377532
kipan,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,smooth,4,0.7241844376745367,0.0017386223709527108,0.0033656733935726276,201.03878784179688,13.368237276070797,24.79678734298139,182.97747802734375,9.718598085478684,19.88875878128804
kipan,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,linear_gated,4,0.7201383599898452,0.006286525271290057,0.005238273931815088,217.83327102661133,67.94108829262949,22.027236270333198,197.40443738301593,62.32980453276549,19.425174593965515
kipan,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,linear_gated,4,0.7255093297791317,0.0034736106570809663,0.008720646457345313,1841.5428161621094,28.805910212173057,59.50644664360459,1841.7618916829426,28.787752655821617,59.503231062725405
kipan,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,smooth,4,0.7202414953033764,0.010233966894412338,0.005208814800891321,1024.0519358317058,53.875575133060956,21.059484568394172,1024.2657623291016,53.890252099684496,21.140059881501188
kipan,goal1,fixed_init_eval,mlp,MLP,MLP,dense,4,0.7352437166793603,0.007213593543715452,0.002994670368815641,,,,,,
kipan,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,floor,5,0.7127760853008378,0.00931373645978867,,3018.066845703125,44.11538071490097,,3026.251708984375,53.75417306912947,
kipan,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,floor,5,0.7273229246001524,0.006518162630050744,,2976.775244140625,23.24993989062482,,2968.92666015625,29.945168234131575,
kipan,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,floor,5,0.7051599390708302,0.019704823646298917,,2920.5470703125,43.84259265145664,,2920.084228515625,43.55170603413603,
kipan,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,floor,5,0.7081302361005332,0.012945943474632956,,2960.568701171875,35.346263115930306,,2960.528955078125,35.73353693129047,
kipan,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,dense,5,0.7284082254379284,0.016307103283541256,,,,,,,
kipan,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,5,0.7206968773800456,0.015047220366832505,,228.64908142089843,43.036218041139506,,228.63089294433593,43.01733493206499,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,5,0.7286557501904036,0.005927183537299052,,266.20111694335935,48.089965454779986,,245.0393859863281,42.256858748656576,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,5,0.7277227722772277,0.00655027319564722,,192.9052001953125,26.941071406584314,,179.26177368164062,23.342293669870436,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,nosmooth,5,0.7237623762376237,0.00993014849320264,,160.81009521484376,29.314323813011,,149.76679382324218,26.045408385832644,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,nosmooth,5,0.7294935262757045,0.005541613272741197,,128.7845443725586,26.35594608093818,,120.72200775146484,24.16304392353017,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,nosmooth,5,0.7241051028179741,0.009498022571259828,,91.82533645629883,21.134219128891672,,86.35984420776367,20.07223753716872,
kipan,goal1,screen,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,nosmooth,5,0.7236671744097487,0.01355190579526303,,75.51508255004883,17.470399441529914,,71.1544403076172,16.66460769078679,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,5,0.7206968773800456,0.015047220366832505,,228.64908142089843,43.036218041139506,,228.63089294433593,43.01733493206499,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,nosmooth,5,0.715974866717441,0.022714924708778783,,200.7706329345703,48.37191793447524,,200.74749450683595,48.350699768205715,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,nosmooth,5,0.7187928408225438,0.018740788730935484,,167.50010528564454,34.57525175471766,,167.4872589111328,34.561853304095344,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx2p0,LSPIN nosmooth x2,LSPIN,nosmooth,5,0.7127951256664128,0.015148971229441505,,123.954296875,30.65727079181185,,123.95057983398438,30.6484601599661,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx2p5,LSPIN nosmooth x2.5,LSPIN,nosmooth,5,0.7134805788271135,0.014763590554947092,,98.60507354736328,16.695429156260083,,98.61775970458984,16.70913935484289,
kipan,goal1,screen,goal1_nosmooth_lspin_lamx3p0,LSPIN nosmooth x3,LSPIN,nosmooth,5,0.7093869002284844,0.010213385915670536,,81.749853515625,12.285674701988507,,81.74748992919922,12.289252952734342,
kipan,goal1,screen,goal1_nosmooth_stg_lamx0p5,MLP+STG nosmooth x0.5,MLP+STG,nosmooth,5,0.6872048743335872,0.06616118136257888,,2505.42939453125,141.3363252337243,,192.6,76.79387996448675,
kipan,goal1,screen,goal1_nosmooth_stg_lamx0p75,MLP+STG nosmooth x0.75,MLP+STG,nosmooth,5,0.7154798172124905,0.015684714225490632,,2310.1616455078124,227.79845284114322,,56.6,21.337759957408835,
kipan,goal1,screen,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,nosmooth,5,0.7197829398324448,0.013462662792609126,,1131.2542114257812,813.1376915341308,,65.6,47.241930527868995,
kipan,goal1,screen,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,nosmooth,5,0.7205635948210205,0.01081314246500136,,291.34779052734376,171.30337347730938,,79.2,31.491268631161876,
kipan,goal1,screen,goal1_nosmooth_stg_lamx1p5,MLP+STG nosmooth x1.5,MLP+STG,nosmooth,5,0.7165270373191166,0.020727407904763646,,181.85247802734375,27.193391795339576,,45.6,12.837445228704972,
kipan,goal1,screen,goal1_nosmooth_stg_lamx2p0,MLP+STG nosmooth x2,MLP+STG,nosmooth,5,0.7072162985529322,0.021869664768660462,,96.16261749267578,7.653721452969852,,35.0,16.1245154965971,
kipan,goal1,screen,goal1_nosmooth_stg_lamx3p0,MLP+STG nosmooth x3,MLP+STG,nosmooth,5,0.6886519421172886,0.01950146180369777,,48.384490203857425,10.513792055316369,,29.0,12.083045973594572,
kipan,goal1,screen,goal1_rsf,RSF,RSF,dense,5,0.7270753998476771,0.001792981799826865,,,,,,,
kipan,goal1,screen,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,smooth,5,0.7265803503427266,0.011023080859468185,,206.93933715820313,64.70755633892372,,186.5861022949219,53.79436678636837,
kipan,goal1,screen,goal1_smooth_concrete_lamx1p25,Concrete smooth x1.2,Concrete,smooth,5,0.7314737242955065,0.013297040750500089,,148.96752166748047,25.285890180545625,,137.987646484375,24.22785509911688,
kipan,goal1,screen,goal1_smooth_concrete_lamx1p5,Concrete smooth x1.5,Concrete,smooth,5,0.7233815689261234,0.0105415552916794,,135.61570739746094,35.079821878807586,,124.1544403076172,31.171611442240767,
kipan,goal1,screen,goal1_smooth_concrete_lamx2p0,Concrete smooth x2,Concrete,smooth,5,0.7184120335110433,0.00969409879640877,,106.95804138183594,17.982627191493677,,99.4895751953125,17.974853131496314,
kipan,goal1,screen,goal1_smooth_concrete_lamx2p5,Concrete smooth x2.5,Concrete,smooth,5,0.7164699162223915,0.01114845517295594,,87.62636871337891,18.208114909678578,,81.4478775024414,17.404631087169985,
kipan,goal1,screen,goal1_smooth_concrete_lamx3p0,Concrete smooth x3,Concrete,smooth,5,0.7202399086062452,0.01003049639109914,,77.24526824951172,17.650774291134688,,72.53281707763672,17.578644955431685,
kipan,goal1,screen,goal1_smooth_lconcrete,L-Concrete smooth,L-Concrete,linear_gated,5,0.7232292460015233,0.007183291775830801,,269.4477874755859,43.44687777248576,,242.99150695800782,40.815531690328655,
kipan,goal1,screen,goal1_smooth_lconcrete_lamx0p75,L-Concrete smooth x0.75,L-Concrete,linear_gated,5,0.7273419649657273,0.00620055578367623,,383.8806640625,21.063091800628186,,346.6332092285156,16.776538018739647,
kipan,goal1,screen,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,linear_gated,5,0.7276846915460776,0.013356378773149104,,209.80971984863282,25.577026532341705,,190.79150390625,25.203068234893255,
kipan,goal1,screen,goal1_smooth_lconcrete_lamx1p5,L-Concrete smooth x1.5,L-Concrete,linear_gated,5,0.7222962680883473,0.00907044127092048,,152.61292419433593,21.056364964409024,,136.3606170654297,21.669385553528524,
kipan,goal1,screen,goal1_smooth_lconcrete_lamx2p0,L-Concrete smooth x2,L-Concrete,linear_gated,5,0.7156892612338156,0.013220308699404701,,110.27852935791016,17.97109994535519,,99.56216278076172,17.47752312378576,
kipan,goal1,screen,goal1_smooth_lconcrete_lamx3p0,L-Concrete smooth x3,L-Concrete,linear_gated,5,0.7093107387661843,0.013803050344434737,,56.92373504638672,8.305278109574575,,50.86718215942383,7.5914784955215096,
kipan,goal1,screen,goal1_smooth_llspin,L-LSPIN smooth,L-LSPIN,linear_gated,5,0.7269992383853771,0.010216491353621971,,1598.687939453125,61.451259504315836,,1598.8648681640625,61.48971456350345,
kipan,goal1,screen,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,linear_gated,5,0.7283891850723534,0.010621085590693883,,1860.163525390625,40.54865209599058,,1860.3830078125,40.543075083269635,
kipan,goal1,screen,goal1_smooth_llspin_lamx1p25,L-LSPIN smooth x1.2,L-LSPIN,linear_gated,5,0.7226961157654227,0.0130938685025268,,1280.92353515625,81.16863624536585,,1281.004638671875,81.18156697542834,
kipan,goal1,screen,goal1_smooth_llspin_lamx1p5,L-LSPIN smooth x1.5,L-LSPIN,linear_gated,5,0.7146039603960397,0.018340428911646955,,1027.6207153320313,77.79826773509494,,1027.6494262695312,77.77523213193619,
kipan,goal1,screen,goal1_smooth_llspin_lamx2p0,L-LSPIN smooth x2,L-LSPIN,linear_gated,5,0.7176313785224677,0.015499196745485644,,642.0049926757813,104.34574555651345,,642.003857421875,104.33662648220225,
kipan,goal1,screen,goal1_smooth_llspin_lamx3p0,L-LSPIN smooth x3,L-LSPIN,linear_gated,5,0.7171934501142422,0.02377517697790641,,314.6198028564453,78.71589773155601,,314.6138946533203,78.70842240698366,
kipan,goal1,screen,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,smooth,5,0.7118050266565118,0.010499730138901016,,985.8385986328125,46.029594883816195,,985.94208984375,46.06482458382148,
kipan,goal1,screen,goal1_smooth_lspin_lamx1p25,LSPIN smooth x1.2,LSPIN,smooth,5,0.7151370906321401,0.013056436973927533,,800.9828369140625,44.65896584840254,,801.0887939453125,44.706288621629106,
kipan,goal1,screen,goal1_smooth_lspin_lamx1p5,LSPIN smooth x1.5,LSPIN,smooth,5,0.7137090632140137,0.01057134745890366,,662.8044799804687,54.44293343644418,,662.9220092773437,54.43488379058485,
kipan,goal1,screen,goal1_smooth_lspin_lamx2p0,LSPIN smooth x2,LSPIN,smooth,5,0.7107768469154607,0.021116035831927546,,482.06666259765626,74.64983036719683,,482.07798461914064,74.64572953672561,
kipan,goal1,screen,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,smooth,5,0.701028179741051,0.021556393289681355,,380.6978332519531,56.61652123052671,,380.704248046875,56.579646445579975,
kipan,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,smooth,5,0.7033130236100533,0.026340609925381498,,321.8614013671875,62.6088819466505,,321.9027099609375,62.61665406650602,
kipan,goal1,screen,mlp,MLP,MLP,dense,5,0.7259139375476009,0.010418186183897707,,,,,,,
