family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000108846,1,PRAD,1,1.0,0.1458333283662796,462.0,15.259933884055222,1.1532160063245736,14.106717877730649,1.0,ENSG00000108846,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000234287,1,UCEC,1,1.0,0.1992421895265579,631.0,14.900233452449724,0.8141058191344689,14.086127633315256,1.0,ENSG00000234287,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000161800,1,BRCA,1,1.0,1.0,3167.0,16.307516066057378,2.2279676222652105,14.079548443792168,1.0,ENSG00000161800,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000204262,1,KIRC,1,1.0,0.2657828330993652,842.0,15.62284635177412,1.553384320248074,14.069462031526044,1.0,ENSG00000204262,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000092929,1,BRCA,1,1.0,0.6078307628631592,1925.0,16.631196436656456,2.5767828913399957,14.05441354531646,1.0,ENSG00000092929,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000147689,1,BRCA,1,1.0,0.5929902195930481,1878.0,15.804530892802546,1.8081921141373063,13.99633877866524,1.0,ENSG00000147689,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000154229,1,BRCA,1,1.0,0.5213135480880737,1651.0,15.007268741648211,1.0398768709680806,13.967391870680132,1.0,ENSG00000154229,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000275234,1,THCA,1,1.0,0.126302495598793,400.0,15.448782234058244,1.486475895122757,13.962306338935486,1.0,ENSG00000275234,,,False
L-LSPIN,smooth_lamx3_smooth0p15,L-LSPIN smooth,ENSG00000198826,1,LGG,1,1.0,0.0877802371978759,278.0,16.026198507148802,2.0806020694737093,13.945596437675093,1.0,ENSG00000198826,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000275234,1,BRCA,1,1.0,1.0,3167.0,16.396981554680973,2.456599022173472,13.940382532507504,1.0,ENSG00000275234,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000118785,1,UCEC,1,1.0,0.5457702279090881,1729.0,15.887158892974137,1.9653187170388968,13.92184017593524,1.0,ENSG00000118785,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000114270,1,BRCA,1,1.0,0.9996843338012696,3167.0,16.73196643124672,2.839720561040961,13.892245870205755,1.0,ENSG00000114270,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000112984,1,LGG,1,1.0,0.1426767706871032,452.0,15.19449744464776,1.3216313911400062,13.872866053507751,1.0,ENSG00000112984,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000124102,1,KIRC,1,1.0,0.1966540366411209,623.0,16.242522483860558,2.3843756262329103,13.858146857627649,1.0,ENSG00000124102,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000003436,1,BRCA,1,1.0,0.5686770081520081,1801.0,15.062996575688864,1.2153845118541264,13.847612063834738,1.0,ENSG00000003436,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000150551,1,BRCA,1,1.0,0.7458162307739258,2362.0,16.195384203739938,2.3492731540633205,13.846111049676615,1.0,ENSG00000150551,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000074370,1,BRCA,1,1.0,0.6011998653411865,1904.0,16.647066503801273,2.862820487987276,13.784246015814,1.0,ENSG00000074370,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000138623,1,KIRC,1,1.0,0.5026839375495911,1592.0,17.00289372016607,3.2501645886823773,13.752729131483694,1.0,ENSG00000138623,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000257989,1,PRAD,1,1.0,0.4103535413742065,1300.0,16.522155390596016,2.7840990334485403,13.738056357147476,1.0,ENSG00000257989,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000158710,1,BRCA,1,1.0,1.0,3167.0,15.98940529748032,2.273817686659329,13.715587610820991,1.0,ENSG00000158710,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000100504,1,LGG,1,1.0,0.1607199311256408,509.0,16.54662261824772,2.85773023482824,13.68889238341948,1.0,ENSG00000100504,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000243836,1,LGG,1,1.0,0.1928661614656448,611.0,16.5662570663525,2.892188108363599,13.6740689579889,1.0,ENSG00000243836,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000158710,1,BRCA,1,1.0,1.0,3167.0,15.98940529748032,2.3794047585420577,13.610000538938262,1.0,ENSG00000158710,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000242299,1,LGG,1,1.0,0.0697600990533828,221.0,15.12556889841668,1.535919545783873,13.589649352632806,1.0,ENSG00000242299,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000134222,1,LIHC,1,1.0,0.1022727265954017,324.0,14.466222027969453,0.8792789466547032,13.58694308131475,1.0,ENSG00000134222,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000115380,1,KIRC,1,1.0,0.1407828330993652,446.0,16.81452803864247,3.229828396721517,13.584699641920954,1.0,ENSG00000115380,,,False
L-LSPIN,smooth_lamx3_smooth0p15,L-LSPIN smooth,ENSG00000134531,1,HNSC,1,1.0,0.406062513589859,1286.0,15.050431365577184,1.4801275642812102,13.570303801295974,1.0,ENSG00000134531,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000240376,1,LGG,1,1.0,0.108304388821125,343.0,14.491939207021346,0.9375659655368084,13.554373241484535,1.0,ENSG00000240376,,,False
L-LSPIN,smooth_lamx3_smooth0p15,L-LSPIN smooth,ENSG00000175592,1,KIRC,1,1.0,0.2339753657579422,741.0,14.998449350879593,1.4511600505600406,13.547289300319552,1.0,ENSG00000175592,,,False
