family,selection,fold,rep,gene_idx,gene,gate_rate_holdout,selected_patient_n,selected_patient_events,top_selected_histology,top_selected_histology_n,target_abs_neglog10_p,target_signed_neglog10_p,random_median_abs_neglog10_p,random_p90_abs_neglog10_p,target_minus_random_median,target_gt_random_median,target_gt_random_p90
LSPIN,nosmooth_lamx3,2,0,10,ENSG00000106541,0.017050836235284805,54,18,BLCA,17,0.2509658313217329,0.2509658313217329,0.30208549005027163,1.1266713825229366,-0.05111965872853874,False,False
LSPIN,nosmooth_lamx3,2,0,3619,ENSG00000067445,0.017050836235284805,54,28,OV,42,0.0006297812524846539,-0.0006297812524846539,0.3807013499245504,0.9985913804260396,-0.38007156867206576,False,False
LSPIN,nosmooth_lamx3,2,0,4656,ENSG00000128917,0.017050836235284805,54,22,UVM,22,0.3321953282741333,0.3321953282741333,0.5715434523686476,1.538160513348756,-0.23934812409451428,False,False
LSPIN,nosmooth_lamx3,2,0,2377,ENSG00000131781,0.015156298875808716,48,28,SARC,23,0.25731800204026783,-0.25731800204026783,0.2716256076353776,1.2792838236752633,-0.01430760559510974,False,False
LSPIN,nosmooth_lamx3,2,0,3378,ENSG00000089486,0.014840543270111084,47,28,SARC,18,0.1811340645452276,0.1811340645452276,0.4531151848110154,1.37438185215533,-0.2719811202657878,False,False
LSPIN,nosmooth_lamx3,2,0,1480,ENSG00000157214,0.014524786733090878,46,13,LIHC,40,0.34582281837134926,0.34582281837134926,0.349247161534343,0.9913110679248988,-0.003424343162993726,False,False
LSPIN,nosmooth_lamx3,2,0,1463,ENSG00000240800,0.014524786733090878,46,16,LUAD,18,0.18320204003678472,0.18320204003678472,0.4570848159020593,1.3626746791557967,-0.27388277586527454,False,False
LSPIN,nosmooth_lamx3,2,0,3883,ENSG00000006756,0.014524786733090878,46,16,LUAD,27,0.21532518823931834,0.21532518823931834,0.41304740004621887,1.2816707423418774,-0.19772221180690053,False,False
LSPIN,nosmooth_lamx3,2,0,804,ENSG00000138696,0.014209030196070671,45,17,LIHC,32,0.2211372924116546,0.2211372924116546,0.2730274928871298,0.853551012554084,-0.051890200475475184,False,False
LSPIN,nosmooth_lamx3,2,0,2065,ENSG00000159388,0.01389327459037304,44,5,PRAD,23,0.32743516102609715,0.32743516102609715,0.38906375376256497,1.3556869876614186,-0.06162859273646781,False,False
LSPIN,nosmooth_lamx3,2,0,585,ENSG00000127831,0.01389327459037304,44,7,BRCA,43,0.9770070971310248,0.9770070971310248,0.3512086278504363,1.162199507055551,0.6257984692805886,True,False
LSPIN,nosmooth_lamx3,2,0,2875,ENSG00000087303,0.01389327459037304,44,12,BRCA,27,0.10618340127851662,-0.10618340127851662,0.6084697137975646,2.099343111609404,-0.502286312519048,False,False
LSPIN,nosmooth_lamx3,2,0,4017,ENSG00000072110,0.013577518053352833,43,11,LIHC,10,0.2860785589701218,0.2860785589701218,0.45660374001931936,1.4138998498992057,-0.17052518104919756,False,False
LSPIN,nosmooth_lamx3,2,0,2432,ENSG00000109654,0.013577518053352833,43,12,BLCA,29,0.043687696295886494,-0.043687696295886494,0.32546857435322807,1.3534277378185215,-0.2817808780573416,False,False
LSPIN,nosmooth_lamx3,2,0,2211,ENSG00000087586,0.013577518053352833,43,12,LUSC,11,0.7009559054322589,0.7009559054322589,0.3238002367985376,1.0691717169134403,0.37715566863372135,True,False
LSPIN,nosmooth_lamx3,2,0,3689,ENSG00000119711,0.013261761516332626,42,10,UVM,12,0.41575044126732985,-0.41575044126732985,0.3603276118412363,1.0680743215635304,0.055422829426093556,True,False
LSPIN,nosmooth_lamx3,2,0,2337,ENSG00000105173,0.013261761516332626,42,15,HNSC,18,0.5488369449270663,0.5488369449270663,0.32349182282554,1.3227726907607642,0.22534512210152624,True,False
LSPIN,nosmooth_lamx3,2,0,3974,ENSG00000018408,0.013261761516332626,42,11,KIRC,28,0.09244890981718294,0.09244890981718294,0.45937055167804464,1.699645148591997,-0.3669216418608617,False,False
LSPIN,nosmooth_lamx3,2,0,1416,ENSG00000182636,0.012946005910634995,41,14,SARC,11,2.6787010760164924,-2.6787010760164924,0.3563141779712681,1.3501919856948195,2.3223868980452242,True,True
LSPIN,nosmooth_lamx3,2,0,4861,ENSG00000228288,0.012630249373614788,40,17,COAD,13,0.09238081920155641,0.09238081920155641,0.2230632552845271,0.6445337824073062,-0.1306824360829707,False,False
LSPIN,nosmooth_lamx3,2,0,3650,ENSG00000183615,0.012630249373614788,40,12,UVM,24,0.26428188182794166,-0.26428188182794166,0.7196633816802869,2.196700158705412,-0.4553814998523452,False,False
LSPIN,nosmooth_lamx3,2,0,3115,ENSG00000099377,0.012630249373614788,40,12,TGCT,9,0.5279308604304138,0.5279308604304138,0.519037709640749,1.616372192533963,0.008893150789664794,True,False
LSPIN,nosmooth_lamx3,2,0,2974,ENSG00000173894,0.012314492836594582,39,13,STAD,10,0.09334047960755405,-0.09334047960755405,0.5757102045309045,2.260065283885743,-0.48236972492335045,False,False
LSPIN,nosmooth_lamx3,2,0,2056,ENSG00000214530,0.01199873723089695,38,16,SKCM,13,0.5592380006634701,0.5592380006634701,0.5378679945008017,1.3730598329006864,0.021370006162668376,True,False
LSPIN,nosmooth_lamx3,2,0,1673,ENSG00000127824,0.011367224156856537,36,7,TGCT,11,0.839551460520024,0.839551460520024,0.45138893717027206,1.3423887197236706,0.388162523349752,True,False
LSPIN,nosmooth_lamx3,2,0,403,ENSG00000175063,0.011367224156856537,36,9,BRCA,16,4.096395582819238,4.096395582819238,0.5545151306807152,1.832695642220965,3.541880452138523,True,True
LSPIN,nosmooth_lamx3,2,0,2070,ENSG00000148848,0.011051468551158905,35,15,UCS,13,0.8241498836663503,0.8241498836663503,0.33603560123835174,0.8683425907754331,0.4881142824279986,True,False
LSPIN,nosmooth_lamx3,2,0,1250,ENSG00000157227,0.011051468551158905,35,20,LGG,8,0.14218245355367382,0.14218245355367382,0.21827454607969676,1.1022371335125682,-0.07609209252602295,False,False
LSPIN,nosmooth_lamx3,2,0,2794,ENSG00000113790,0.011051468551158905,35,13,LUAD,12,0.3804313961530213,-0.3804313961530213,0.21434409639086313,0.7095750981009283,0.16608729976215816,True,False
LSPIN,nosmooth_lamx3,2,0,4300,ENSG00000068366,0.010735712014138699,34,5,TGCT,18,0.6546884571486848,-0.6546884571486848,0.40052957990499916,1.9680728682296271,0.2541588772436857,True,False
LSPIN,nosmooth_lamx3,2,0,2736,ENSG00000173376,0.01010419987142086,32,18,OV,10,0.07296494487320775,0.07296494487320775,0.5832750696926865,1.7793001173322534,-0.5103101248194788,False,False
LSPIN,nosmooth_lamx3,2,0,2883,ENSG00000175505,0.01010419987142086,32,8,OV,10,0.06890321242111469,-0.06890321242111469,0.22493174435423874,0.6929158260281311,-0.15602853193312405,False,False
LSPIN,nosmooth_lamx3,2,0,3888,ENSG00000214313,0.01010419987142086,32,12,LIHC,19,1.6735530341683158,-1.6735530341683158,0.32313933614045,0.990467510206659,1.3504136980278658,True,True
LSPIN,nosmooth_lamx3,2,0,1860,ENSG00000089472,0.01010419987142086,32,15,OV,15,0.5361962438916738,-0.5361962438916738,0.28307953057961477,0.8207476935341828,0.253116713312059,True,False
LSPIN,nosmooth_lamx3,2,0,3277,ENSG00000256235,0.009788443334400654,31,8,THCA,14,2.497510189169594,2.497510189169594,0.5191224034240527,1.522060798225569,1.9783877857455412,True,True
LSPIN,nosmooth_lamx3,2,0,922,ENSG00000138061,0.009788443334400654,31,10,THCA,9,0.18787191145806154,0.18787191145806154,0.48561730565186434,1.2966426636647417,-0.2977453941938028,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,4795,ENSG00000100100,1.0,3167,930,BRCA,352,10.539303469879542,-10.539303469879542,2.0283478548989144,10.372791852967776,8.510955614980627,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,2531,ENSG00000213553,1.0,3167,930,BRCA,352,15.087380533867089,15.087380533867089,2.5079855720386317,14.47368622216994,12.579394961828458,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,561,ENSG00000087245,1.0,3167,930,BRCA,352,4.5853645427714955,4.5853645427714955,2.897035275662341,8.870818898030548,1.6883292671091543,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,2945,ENSG00000173110,1.0,3167,930,BRCA,352,13.253601389731086,13.253601389731086,3.0421547611211963,11.063542150127358,10.21144662860989,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,2143,ENSG00000136193,1.0,3167,930,BRCA,352,2.869651702528044,2.869651702528044,2.0821836594164234,10.600849465198676,0.7874680431116206,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,3391,ENSG00000153707,1.0,3167,930,BRCA,352,0.564591683316287,-0.564591683316287,3.0487877088785265,10.222153908164735,-2.4841960255622393,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,3352,ENSG00000189159,1.0,3167,930,BRCA,352,11.505318579711435,11.505318579711435,2.315431314340481,9.823684777873362,9.189887265370954,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,2176,ENSG00000153071,1.0,3167,930,BRCA,352,0.6711148659157686,0.6711148659157686,2.073111625173439,9.999315659317512,-1.4019967592576705,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,3667,ENSG00000134222,1.0,3167,930,BRCA,352,19.102018770510156,19.102018770510156,2.1678342709458946,10.85463934167211,16.93418449956426,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,2138,ENSG00000170075,1.0,3167,930,BRCA,352,6.821495767478972,6.821495767478972,1.6056798497433635,11.295144605176189,5.215815917735608,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,800,ENSG00000101335,1.0,3167,930,BRCA,352,1.261215634257811,-1.261215634257811,2.961068102667911,16.17963515096527,-1.6998524684101002,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,3835,ENSG00000198932,1.0,3167,930,BRCA,352,8.299159860977559,-8.299159860977559,2.5304545312236955,12.194108443669167,5.768705329753864,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,345,ENSG00000175315,1.0,3167,930,BRCA,352,0.03140913768664377,0.03140913768664377,2.3082897008305787,11.50222976801344,-2.276880563143935,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,308,ENSG00000153446,1.0,3167,930,BRCA,352,4.456222228849137,-4.456222228849137,1.9700797927034146,9.944000437453216,2.4861424361457227,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,1965,ENSG00000166840,1.0,3167,930,BRCA,352,11.18562216443237,-11.18562216443237,2.0250511566671623,8.689619830769734,9.160571007765208,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,4487,ENSG00000110324,1.0,3167,930,BRCA,352,1.1434098398154076,1.1434098398154076,1.8798529360198133,6.5124335376379126,-0.7364430962044057,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,4133,ENSG00000150201,1.0,3167,930,BRCA,352,0.021142280825622105,-0.021142280825622105,2.80344183038866,9.708638367837167,-2.782299549563038,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,3892,ENSG00000227191,1.0,3167,930,BRCA,352,15.590296176376688,-15.590296176376688,2.3711623289738197,7.992469040322987,13.219133847402869,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,4164,ENSG00000156802,1.0,3167,930,BRCA,352,6.496376445518886,6.496376445518886,2.4976526359247537,10.486594311965897,3.9987238095941326,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,1626,ENSG00000138119,1.0,3167,930,BRCA,352,2.0748707582792916,2.0748707582792916,3.065981658870685,11.840583484317305,-0.9911109005913934,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,1023,ENSG00000142627,1.0,3167,930,BRCA,352,12.123310733555188,12.123310733555188,2.4815668825041164,10.566826650741078,9.641743851051071,True,True
