family,selection,fold,rep,gene_idx,gene,gate_rate_holdout,selected_patient_n,selected_patient_events,top_selected_histology,top_selected_histology_n,target_abs_neglog10_p,target_signed_neglog10_p,random_median_abs_neglog10_p,random_p90_abs_neglog10_p,target_minus_random_median,target_gt_random_median,target_gt_random_p90
LSPIN,nosmooth_lamx3,1,0,1877,ENSG00000136999,0.1480896770954132,469,191,LUAD,67,0.8948890456158323,0.8948890456158323,0.4467092251129513,1.5978439651462404,0.44817982050288097,True,False
LSPIN,nosmooth_lamx3,1,0,759,ENSG00000148926,0.14651089906692505,464,180,HNSC,167,0.8681340016185171,0.8681340016185171,0.5538829785194106,1.528181951432241,0.31425102309910646,True,False
LSPIN,nosmooth_lamx3,1,0,2911,ENSG00000143228,0.14524786174297333,460,111,LGG,168,14.588915717757695,14.588915717757695,1.7419559120604051,5.592407422721455,12.84695980569729,True,True
LSPIN,nosmooth_lamx3,1,0,3899,ENSG00000162373,0.14430059492588043,457,110,KIRC,150,1.990380978862009,-1.990380978862009,0.9309755470871999,3.826764622215485,1.0594054317748092,True,False
LSPIN,nosmooth_lamx3,1,0,3574,ENSG00000152939,0.14335332810878754,454,133,KIRC,160,0.7417945390489123,-0.7417945390489123,0.4803261483090519,1.2991942574814848,0.26146839073986045,True,False
LSPIN,nosmooth_lamx3,1,0,1048,ENSG00000198125,0.1430375725030899,453,156,LUAD,88,3.5519911283989396,-3.5519911283989396,0.9669181397099181,3.1946156458473425,2.5850729886890216,True,True
LSPIN,nosmooth_lamx3,1,0,3096,ENSG00000060138,0.14272181689739227,452,157,KIRC,181,0.23631704752196028,-0.23631704752196028,0.6582522463965472,3.1690516601520997,-0.42193519887458697,False,False
LSPIN,nosmooth_lamx3,1,0,3295,ENSG00000223722,0.14177455008029938,449,134,LGG,169,3.2392382843921332,3.2392382843921332,1.2821193159562898,5.070859579861512,1.9571189684358434,True,False
LSPIN,nosmooth_lamx3,1,0,3401,ENSG00000168065,0.1360909342765808,431,132,KIRC,175,2.000033781380947,-2.000033781380947,0.8894633228793136,2.976911202959353,1.1105704585016332,True,False
LSPIN,nosmooth_lamx3,1,0,3776,ENSG00000269113,0.13419640064239502,425,137,BRCA,95,0.9897437411368581,0.9897437411368581,0.99009931879826,3.1388669042138706,-0.000355577661401818,False,False
