model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.2,0.0035,0.0,330130,7,0.7175361766945926,0.7618025751072961,7,486.1853332519531,0.990470890348226,1438.0,1010.0,943.2726994695488
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,370123,0,0.7505712109672505,0.7761087267525035,9,181.04632568359372,0.9816659170327248,530.0,360.0,336.3765802404986
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,370124,1,0.7294364051789795,0.7668097281831188,9,181.08880615234372,0.96689917287363,565.0,360.0,333.12101159134465
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,370125,2,0.7218202589489718,0.759656652360515,11,152.8185272216797,0.9680378104719032,470.0,314.0,291.6280376010432
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,370126,3,0.7192498095963442,0.7796852646638054,10,205.3397674560547,0.9792550507138472,597.0,411.0,370.15117439350826
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,370127,4,0.7215346534653465,0.7839771101573677,10,153.7142791748047,0.9667011741662246,466.0,318.0,288.34993853011434
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,370128,5,0.7115384615384616,0.790414878397711,10,193.3783721923828,0.973556959760676,572.0,359.0,338.53283190500497
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,370129,6,0.7246763137852247,0.790414878397711,8,200.1776123046875,0.9743698381179848,571.0,386.0,363.5535626365615
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,370130,7,0.7322924600152323,0.7746781115879828,7,199.6525115966797,0.980163428310518,601.0,416.0,378.83559952211937
LSPIN,lspin_tf,mlp,0.2,0.0035,0.025,410123,0,0.7435262757044935,0.8075822603719599,3,1562.7451171875,0.998704683654808,3453.0,3139.0,2729.215534300464
LSPIN,lspin_tf,mlp,0.2,0.0035,0.025,410124,1,0.7358149276466108,0.7925608011444921,4,1584.7529296875,0.9989790810223677,3401.0,3233.0,2770.3210386715045
LSPIN,lspin_tf,mlp,0.2,0.0035,0.025,410125,2,0.740003808073115,0.8004291845493562,4,1486.691162109375,0.9986825291687462,3192.0,2952.0,2575.357957299313
LSPIN,lspin_tf,mlp,0.2,0.0035,0.025,410126,3,0.7359101294744859,0.7925608011444921,4,1451.8648681640625,0.998640127129644,2991.0,2772.0,2478.783081273009
LSPIN,lspin_tf,mlp,0.2,0.0035,0.025,410127,4,0.726009139375476,0.7875536480686696,5,1435.733642578125,0.9985170721598504,2914.0,2762.0,2439.2610906103487
LSPIN,lspin_tf,mlp,0.2,0.0035,0.025,410128,5,0.7273419649657273,0.8032904148783977,6,1477.9266357421875,0.998588070469272,3042.0,2905.0,2546.0175516710965
LSPIN,lspin_tf,mlp,0.2,0.0035,0.025,410129,6,0.7197258187357197,0.7861230329041488,4,1473.37451171875,0.9985651120415084,3086.0,2749.0,2487.207639791881
LSPIN,lspin_tf,mlp,0.2,0.0035,0.025,410130,7,0.7336252856054837,0.7796852646638054,4,1479.9227294921875,0.9988761094800684,3161.0,2914.0,2561.5002547978884
