model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi,rank_cindex,rank_affinity,rank_risk,rank_cluster,rank_parsimony,joint_score
LSPIN,0.05,0.007,1038.5526123046875,69.65724733271037,0.7230995335110434,0.010229418684953678,0.9974754768960049,0.0003306549020327288,2147.9375,1967.3125,1783.196524050881,16,0.9958914073424531,0.9399006518320743,4.093056582840236,0.9829361949909813,0.9664023185024139,0.6875,0.9375,1.0,0.96875,0.21875,0.7625
LSPIN,0.025,0.0035,1460.311294555664,76.03269868090517,0.7312749904798173,0.008741285001699456,0.9986158780295719,0.0001885367103965173,3107.25,2839.5,2509.8447360211185,16,0.9938524623423391,0.9349005292176927,4.1717363165680466,0.9839148068399657,0.968506479128271,1.0,0.46875,0.9375,1.0,0.09375,0.7
LSPIN,0.0,0.00525,345.7688236236572,47.83485380516702,0.7283356340441737,0.011081643731594317,0.9856543237105757,0.004603794551526076,1122.3125,730.5,676.6786749682088,16,0.9952339841512317,0.8978442429020209,3.7817585059171597,0.9735412750661138,0.9385756084640201,0.9375,0.75,0.59375,0.71875,0.46875,0.69375
LSPIN,0.05,0.00525,1260.114372253418,61.4253901107694,0.7252296744097486,0.009149961787804589,0.9981204630868995,0.0002998187216178949,2575.8125,2416.1875,2161.311670870393,16,0.9944839413158124,0.935438801965524,4.164894600591716,0.9805851066733501,0.9600436294550123,0.8125,0.625,0.96875,0.9375,0.125,0.69375
LSPIN,0.1,0.00875,832.2425270080566,61.88361784907744,0.7242479055597867,0.011715834675547838,0.9962492415482204,0.0007750507306124475,1654.5625,1543.6875,1408.9422272556387,16,0.9952930098612226,0.9192208013584245,3.9356971153846154,0.978781851066539,0.9537786917178613,0.75,0.78125,0.71875,0.90625,0.28125,0.6875
LSPIN,0.1,0.00525,1243.4922790527344,60.52027156238909,0.7268957063975628,0.005031332539072341,0.9980696123166268,0.00031969423591162257,2574.5625,2379.875,2131.0318658510287,16,0.9938422498026128,0.9344975700307395,4.081083579881656,0.9744269913556771,0.9521370080732797,0.875,0.4375,0.90625,0.78125,0.15625,0.63125
LSPIN,0.05,0.0035,1521.324562072754,67.5320848188182,0.7290436976389947,0.00557516242652063,0.9986604663756746,0.0002208056291567244,3267.5,2973.125,2625.6049957274454,16,0.9935542567251584,0.9320474690560266,4.113581730769231,0.9762725330256012,0.9552026790651658,0.96875,0.375,0.875,0.875,0.03125,0.625
LSPIN,0.1,0.0105,680.4959030151367,45.68779961174147,0.7137102532368621,0.012922514311771955,0.9952103973563086,0.000579553035733723,1341.1875,1256.0625,1153.462670710636,16,0.9954210606340215,0.9026896751055679,3.7629437869822486,0.9746225581316631,0.9445673038218231,0.3125,0.84375,0.6875,0.8125,0.40625,0.6125
LSPIN,0.1,0.007,1013.3404922485352,49.11356383082293,0.7239742003046459,0.010672113581351427,0.9972557911123638,0.0004058611647594665,2076.9375,1923.75,1739.588933770394,16,0.9938991540059946,0.9249564817611845,4.0297707100591715,0.9743201554724795,0.9481392117725401,0.71875,0.53125,0.78125,0.75,0.25,0.60625
LSPIN,0.0,0.007,253.13175582885742,26.6250888219598,0.7181728389185073,0.01361524690167878,0.9812840437661008,0.0021232046381489955,807.625,525.5625,485.9441164515874,16,0.9948332112341038,0.8883780292007246,3.70992048816568,0.9598471677271124,0.9310742552751753,0.53125,0.6875,0.53125,0.59375,0.625,0.59375
LSPIN,0.025,0.00525,1067.0287055969238,113.02533654372097,0.7214751523229246,0.011772422350539357,0.9972509081875092,0.0006600705270252621,2152.0625,1976.4375,1796.1883162180306,16,0.9940820416417695,0.9253144423369267,3.9647744082840233,0.970771683236719,0.9430516033053762,0.625,0.5625,0.8125,0.6875,0.1875,0.575
LSPIN,0.05,0.014,448.58446311950684,41.659109914713916,0.7172951970677837,0.018129900001155205,0.9914470293998762,0.0016434419741282091,885.4375,813.375,743.972862020156,16,0.995398975487819,0.8669662632109489,3.50466900887574,0.9361352902482444,0.8958156755388914,0.46875,0.8125,0.4375,0.53125,0.59375,0.56875
