model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
LSPIN,0.0,0.007,0.9948332112341038,0.9953426281578999,56,253.13175582885742
LSPIN,0.0,0.00525,0.9952339841512317,0.995816557985992,56,345.7688236236572
LSPIN,0.0,0.0035,0.9921752437751323,0.994042375775286,56,461.0284767150879
LSPIN,0.025,0.028,0.9922022434254495,0.9937865653912914,56,174.97514724731445
LSPIN,0.025,0.021,0.9954684235732157,0.9965161240221989,56,221.3120174407959
LSPIN,0.025,0.014,0.9963511109895614,0.9968053917929429,56,319.38079166412354
LSPIN,0.025,0.0105,0.9962541594391892,0.997015558808583,56,449.3515911102295
LSPIN,0.025,0.00875,0.9944746802622569,0.9951669431142431,56,558.6928119659424
LSPIN,0.025,0.007,0.9933906622985758,0.9952287929860855,56,742.7596549987793
LSPIN,0.025,0.00525,0.9940820416417695,0.9953941083991436,56,1067.0287055969238
LSPIN,0.025,0.0035,0.9938524623423391,0.9955381726630879,56,1460.311294555664
LSPIN,0.05,0.028,0.995136383001018,0.9963091867774345,56,215.4809341430664
LSPIN,0.05,0.021,0.9938889361337128,0.9951174015708935,56,300.1242742538452
LSPIN,0.05,0.014,0.995398975487819,0.9965747967915772,56,448.58446311950684
LSPIN,0.05,0.0105,0.9937942523932365,0.9943546087183468,56,643.5735969543457
LSPIN,0.05,0.00875,0.9934841393666026,0.9949299090778152,56,808.0260696411133
LSPIN,0.05,0.007,0.9958914073424531,0.9967088948501852,56,1038.5526123046875
LSPIN,0.05,0.00525,0.9944839413158124,0.9956275952196997,56,1260.114372253418
LSPIN,0.05,0.0035,0.9935542567251584,0.9948316424193081,56,1521.324562072754
LSPIN,0.1,0.028,0.994819706831934,0.9953329645070061,56,271.9582576751709
LSPIN,0.1,0.021,0.9958264108043043,0.9970675411576508,56,333.492036819458
LSPIN,0.1,0.014,0.9928150537292542,0.9939989126073284,56,509.0094108581543
LSPIN,0.1,0.0105,0.9954210606340215,0.996680471791181,56,680.4959030151367
LSPIN,0.1,0.00875,0.9952930098612226,0.995951620527409,56,832.2425270080566
LSPIN,0.1,0.007,0.9938991540059946,0.9954524530780853,56,1013.3404922485352
LSPIN,0.1,0.00525,0.9938422498026128,0.9948829899696323,56,1243.4922790527344
LSPIN,0.1,0.0035,0.9913846949042447,0.9938700792980382,56,1539.445930480957
