model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.0035,0.05,2,3,0.9900340120378694
LSPIN,lspin_tf,mlp,0.0035,0.05,2,4,0.9976264878412476
LSPIN,lspin_tf,mlp,0.0035,0.05,2,5,0.992007171334186
LSPIN,lspin_tf,mlp,0.0035,0.05,2,6,0.9923401034303736
LSPIN,lspin_tf,mlp,0.0035,0.05,2,7,0.98731630789049
LSPIN,lspin_tf,mlp,0.0035,0.05,3,4,0.9956068919837237
LSPIN,lspin_tf,mlp,0.0035,0.05,3,5,0.9954955914090904
LSPIN,lspin_tf,mlp,0.0035,0.05,3,6,0.9937559746784952
LSPIN,lspin_tf,mlp,0.0035,0.05,3,7,0.9984094896159152
LSPIN,lspin_tf,mlp,0.0035,0.05,4,5,0.9963936962236208
LSPIN,lspin_tf,mlp,0.0035,0.05,4,6,0.9953059775878133
LSPIN,lspin_tf,mlp,0.0035,0.05,4,7,0.9936021588199538
LSPIN,lspin_tf,mlp,0.0035,0.05,5,6,0.9872470007626736
LSPIN,lspin_tf,mlp,0.0035,0.05,5,7,0.9956514691548224
LSPIN,lspin_tf,mlp,0.0035,0.05,6,7,0.9908379122064674
LSPIN,lspin_tf,mlp,0.0105,0.05,0,1,0.9862603495577176
LSPIN,lspin_tf,mlp,0.0105,0.05,0,2,0.9928268840685808
LSPIN,lspin_tf,mlp,0.0105,0.05,0,3,0.9977343889012464
LSPIN,lspin_tf,mlp,0.0105,0.05,0,4,0.9967320971453658
LSPIN,lspin_tf,mlp,0.0105,0.05,0,5,0.9944423302502589
LSPIN,lspin_tf,mlp,0.0105,0.05,0,6,0.9926655986995836
LSPIN,lspin_tf,mlp,0.0105,0.05,0,7,0.9895914691649932
LSPIN,lspin_tf,mlp,0.0105,0.05,1,2,0.9800258141398784
LSPIN,lspin_tf,mlp,0.0105,0.05,1,3,0.9911613523221244
LSPIN,lspin_tf,mlp,0.0105,0.05,1,4,0.9888224560885726
LSPIN,lspin_tf,mlp,0.0105,0.05,1,5,0.994587781744292
LSPIN,lspin_tf,mlp,0.0105,0.05,1,6,0.99841407221643
LSPIN,lspin_tf,mlp,0.0105,0.05,1,7,0.9977351525166424
LSPIN,lspin_tf,mlp,0.0105,0.05,2,3,0.9918410746538536
LSPIN,lspin_tf,mlp,0.0105,0.05,2,4,0.9976932727000116
LSPIN,lspin_tf,mlp,0.0105,0.05,2,5,0.9868693005506828
LSPIN,lspin_tf,mlp,0.0105,0.05,2,6,0.9865516371916274
LSPIN,lspin_tf,mlp,0.0105,0.05,2,7,0.9831073656777726
LSPIN,lspin_tf,mlp,0.0105,0.05,3,4,0.9966012794013128
LSPIN,lspin_tf,mlp,0.0105,0.05,3,5,0.9985349072247982
LSPIN,lspin_tf,mlp,0.0105,0.05,3,6,0.9961993920061276
LSPIN,lspin_tf,mlp,0.0105,0.05,3,7,0.9942535286877514
LSPIN,lspin_tf,mlp,0.0105,0.05,4,5,0.993675926107509
LSPIN,lspin_tf,mlp,0.0105,0.05,4,6,0.993835787973998
LSPIN,lspin_tf,mlp,0.0105,0.05,4,7,0.9917701663974384
LSPIN,lspin_tf,mlp,0.0105,0.05,5,6,0.997522789424514
LSPIN,lspin_tf,mlp,0.0105,0.05,5,7,0.9970299453339426
LSPIN,lspin_tf,mlp,0.0105,0.05,6,7,0.9981352769483912
LSPIN,lspin_tf,mlp,0.0035,0.1,0,1,0.9872157385009092
LSPIN,lspin_tf,mlp,0.0035,0.1,0,2,0.9944039922278558
LSPIN,lspin_tf,mlp,0.0035,0.1,0,3,0.9883643127074128
LSPIN,lspin_tf,mlp,0.0035,0.1,0,4,0.9984360543028642
LSPIN,lspin_tf,mlp,0.0035,0.1,0,5,0.9981377730341324
LSPIN,lspin_tf,mlp,0.0035,0.1,0,6,0.99829856489211
LSPIN,lspin_tf,mlp,0.0035,0.1,0,7,0.9935839629765688
LSPIN,lspin_tf,mlp,0.0035,0.1,1,2,0.9734585238080355
LSPIN,lspin_tf,mlp,0.0035,0.1,1,3,0.9824256916738188
LSPIN,lspin_tf,mlp,0.0035,0.1,1,4,0.98512120234348
LSPIN,lspin_tf,mlp,0.0035,0.1,1,5,0.9931627088981332
LSPIN,lspin_tf,mlp,0.0035,0.1,1,6,0.993651865048683
LSPIN,lspin_tf,mlp,0.0035,0.1,1,7,0.9952587353023632
LSPIN,lspin_tf,mlp,0.0035,0.1,2,3,0.9906798505111618
LSPIN,lspin_tf,mlp,0.0035,0.1,2,4,0.997105168277157
LSPIN,lspin_tf,mlp,0.0035,0.1,2,5,0.9888292110635114
LSPIN,lspin_tf,mlp,0.0035,0.1,2,6,0.9891530351378224
LSPIN,lspin_tf,mlp,0.0035,0.1,2,7,0.987084397623353
LSPIN,lspin_tf,mlp,0.0035,0.1,3,4,0.9931971087329312
LSPIN,lspin_tf,mlp,0.0035,0.1,3,5,0.9880505823385214
LSPIN,lspin_tf,mlp,0.0035,0.1,3,6,0.9867434094524924
LSPIN,lspin_tf,mlp,0.0035,0.1,3,7,0.9949597339302356
LSPIN,lspin_tf,mlp,0.0035,0.1,4,5,0.9958223770868456
LSPIN,lspin_tf,mlp,0.0035,0.1,4,6,0.9957543802146998
LSPIN,lspin_tf,mlp,0.0035,0.1,4,7,0.9948089297425078
LSPIN,lspin_tf,mlp,0.0035,0.1,5,6,0.9988577479548664
LSPIN,lspin_tf,mlp,0.0035,0.1,5,7,0.9960140453862067
LSPIN,lspin_tf,mlp,0.0035,0.1,6,7,0.995522735510662
LSPIN,lspin_tf,mlp,0.0105,0.1,0,1,0.9945461638567898
LSPIN,lspin_tf,mlp,0.0105,0.1,0,2,0.9978218392491488
LSPIN,lspin_tf,mlp,0.0105,0.1,0,3,0.9954912141575168
LSPIN,lspin_tf,mlp,0.0105,0.1,0,4,0.9991230132381228
LSPIN,lspin_tf,mlp,0.0105,0.1,0,5,0.9934106066375858
LSPIN,lspin_tf,mlp,0.0105,0.1,0,6,0.9812058570551844
LSPIN,lspin_tf,mlp,0.0105,0.1,0,7,0.9966455425964946
