model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.0105,0.0,1,6,0.8553739351284558,3.735576923076923,0.6,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,1,7,0.790228746492184,3.448224852071006,0.5294117647058824,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,0.8030768567574708,3.352440828402367,0.5072463768115942,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,0.8325223249119669,3.1608727810650885,0.4647887323943662,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.0105,0.0,2,5,0.8476204745421796,3.1608727810650885,0.4647887323943662,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.0105,0.0,2,6,0.8074802908357405,3.1608727810650885,0.4647887323943662,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.0105,0.0,2,7,0.8134071348216056,2.8735207100591715,0.4054054054054054,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,0.8373203541717019,3.5440088757396446,0.5522388059701493,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.0105,0.0,3,5,0.8586386288519624,4.02292899408284,0.6774193548387096,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.0105,0.0,3,6,0.850757671649251,3.831360946745562,0.625,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,3,7,0.7990058119063259,3.256656804733728,0.4857142857142857,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.0105,0.0,4,5,0.8745478424380904,3.927144970414201,0.6507936507936508,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,4,6,0.8279266931545324,3.5440088757396446,0.5522388059701493,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,mlp,0.0105,0.0,4,7,0.7972564096164915,3.256656804733728,0.4857142857142857,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.0105,0.0,5,6,0.8704814991074933,3.831360946745562,0.625,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.0105,0.0,5,7,0.8411367942103906,3.735576923076923,0.6,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0105,0.0,6,7,0.8802199674547947,3.735576923076923,0.6,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.0035,0.025,0,1,0.922941284667369,4.02292899408284,0.6774193548387096,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.025,0,2,0.9040759887148454,3.831360946745562,0.625,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.025,0,3,0.9261615780569356,4.02292899408284,0.6774193548387096,3.831360946745562,0.625
