model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.007,0.025,0,1,0.993829575387026
LSPIN,lspin_tf,mlp,0.007,0.025,0,2,0.9945209970894708
LSPIN,lspin_tf,mlp,0.007,0.025,0,3,0.9957361345417328
LSPIN,lspin_tf,mlp,0.007,0.025,0,4,0.9979952580590756
LSPIN,lspin_tf,mlp,0.007,0.025,1,2,0.9954387294344864
LSPIN,lspin_tf,mlp,0.007,0.025,1,3,0.9902959268562328
LSPIN,lspin_tf,mlp,0.007,0.025,1,4,0.9979774226055316
LSPIN,lspin_tf,mlp,0.007,0.025,2,3,0.9945655871548956
LSPIN,lspin_tf,mlp,0.007,0.025,2,4,0.996889757186875
LSPIN,lspin_tf,mlp,0.007,0.025,3,4,0.995418246570722
LSPIN,lspin_tf,mlp,0.00875,0.025,0,1,0.9975660667963168
LSPIN,lspin_tf,mlp,0.00875,0.025,0,2,0.9926422194487164
LSPIN,lspin_tf,mlp,0.00875,0.025,0,3,0.9981860648041668
LSPIN,lspin_tf,mlp,0.00875,0.025,0,4,0.99732381329412
LSPIN,lspin_tf,mlp,0.00875,0.025,1,2,0.9948262303686816
LSPIN,lspin_tf,mlp,0.00875,0.025,1,3,0.995294673705071
LSPIN,lspin_tf,mlp,0.00875,0.025,1,4,0.9976572836905258
LSPIN,lspin_tf,mlp,0.00875,0.025,2,3,0.9911874982913996
LSPIN,lspin_tf,mlp,0.00875,0.025,2,4,0.9980349554025923
LSPIN,lspin_tf,mlp,0.00875,0.025,3,4,0.9962189885429432
LSPIN,lspin_tf,mlp,0.0105,0.025,0,1,0.9945816779891417
LSPIN,lspin_tf,mlp,0.0105,0.025,0,2,0.9982957026437346
LSPIN,lspin_tf,mlp,0.0105,0.025,0,3,0.9977780472572896
LSPIN,lspin_tf,mlp,0.0105,0.025,0,4,0.998831648149086
LSPIN,lspin_tf,mlp,0.0105,0.025,1,2,0.9921556029880074
LSPIN,lspin_tf,mlp,0.0105,0.025,1,3,0.987028864584943
LSPIN,lspin_tf,mlp,0.0105,0.025,1,4,0.9973769846968968
LSPIN,lspin_tf,mlp,0.0105,0.025,2,3,0.9972413332574048
LSPIN,lspin_tf,mlp,0.0105,0.025,2,4,0.99675132681686
LSPIN,lspin_tf,mlp,0.0105,0.025,3,4,0.9948085276069244
LSPIN,lspin_tf,mlp,0.014,0.025,0,1,0.99463968154099
LSPIN,lspin_tf,mlp,0.014,0.025,0,2,0.9979182954151246
LSPIN,lspin_tf,mlp,0.014,0.025,0,3,0.9973997479094412
LSPIN,lspin_tf,mlp,0.014,0.025,0,4,0.9967541154472044
LSPIN,lspin_tf,mlp,0.014,0.025,1,2,0.9961862651204936
LSPIN,lspin_tf,mlp,0.014,0.025,1,3,0.997533097536082
LSPIN,lspin_tf,mlp,0.014,0.025,1,4,0.998498175832592
LSPIN,lspin_tf,mlp,0.014,0.025,2,3,0.9975215863276212
LSPIN,lspin_tf,mlp,0.014,0.025,2,4,0.997659726168704
LSPIN,lspin_tf,mlp,0.014,0.025,3,4,0.998886375579931
LSPIN,lspin_tf,mlp,0.021,0.025,0,1,0.9949893730633512
LSPIN,lspin_tf,mlp,0.021,0.025,0,2,0.9831441827345404
LSPIN,lspin_tf,mlp,0.021,0.025,0,3,0.9976586962618768
LSPIN,lspin_tf,mlp,0.021,0.025,0,4,0.9926484699404596
LSPIN,lspin_tf,mlp,0.021,0.025,1,2,0.9932630616509848
LSPIN,lspin_tf,mlp,0.021,0.025,1,3,0.9958228841335128
LSPIN,lspin_tf,mlp,0.021,0.025,1,4,0.9973057443624326
LSPIN,lspin_tf,mlp,0.021,0.025,2,3,0.985939136573035
LSPIN,lspin_tf,mlp,0.021,0.025,2,4,0.9946158553004116
LSPIN,lspin_tf,mlp,0.021,0.025,3,4,0.9936577589045356
LSPIN,lspin_tf,mlp,0.028,0.025,0,1,0.9964240457554414
LSPIN,lspin_tf,mlp,0.028,0.025,0,2,0.9932687599668788
LSPIN,lspin_tf,mlp,0.028,0.025,0,3,0.9969486754048904
LSPIN,lspin_tf,mlp,0.028,0.025,0,4,0.9939575275697028
LSPIN,lspin_tf,mlp,0.028,0.025,1,2,0.996660064877126
LSPIN,lspin_tf,mlp,0.028,0.025,1,3,0.9966201006048174
LSPIN,lspin_tf,mlp,0.028,0.025,1,4,0.996143180480526
LSPIN,lspin_tf,mlp,0.028,0.025,2,3,0.9914492344021404
LSPIN,lspin_tf,mlp,0.028,0.025,2,4,0.9976611585839752
LSPIN,lspin_tf,mlp,0.028,0.025,3,4,0.9911833062259916
LSPIN,lspin_tf,mlp,0.0035,0.05,0,1,0.996718675075618
LSPIN,lspin_tf,mlp,0.0035,0.05,0,2,0.9959438957986294
LSPIN,lspin_tf,mlp,0.0035,0.05,0,3,0.9921209034381804
LSPIN,lspin_tf,mlp,0.0035,0.05,0,4,0.9870710406012304
LSPIN,lspin_tf,mlp,0.0035,0.05,1,2,0.9913300063615632
LSPIN,lspin_tf,mlp,0.0035,0.05,1,3,0.9891003267435132
LSPIN,lspin_tf,mlp,0.0035,0.05,1,4,0.9809658624295002
LSPIN,lspin_tf,mlp,0.0035,0.05,2,3,0.9928039710580664
LSPIN,lspin_tf,mlp,0.0035,0.05,2,4,0.9938793181805632
LSPIN,lspin_tf,mlp,0.0035,0.05,3,4,0.990037872120514
LSPIN,lspin_tf,mlp,0.00525,0.05,0,1,0.995309337225722
LSPIN,lspin_tf,mlp,0.00525,0.05,0,2,0.9970255251476626
LSPIN,lspin_tf,mlp,0.00525,0.05,0,3,0.994509949752628
LSPIN,lspin_tf,mlp,0.00525,0.05,0,4,0.9934528051433836
LSPIN,lspin_tf,mlp,0.00525,0.05,1,2,0.9880255912176524
LSPIN,lspin_tf,mlp,0.00525,0.05,1,3,0.9989629373819834
LSPIN,lspin_tf,mlp,0.00525,0.05,1,4,0.9864470870568336
LSPIN,lspin_tf,mlp,0.00525,0.05,2,3,0.9873787041195456
LSPIN,lspin_tf,mlp,0.00525,0.05,2,4,0.997512726731947
LSPIN,lspin_tf,mlp,0.00525,0.05,3,4,0.9873203531661636
LSPIN,lspin_tf,mlp,0.007,0.05,0,1,0.9992820073162888
LSPIN,lspin_tf,mlp,0.007,0.05,0,2,0.995356797736553
LSPIN,lspin_tf,mlp,0.007,0.05,0,3,0.9939340968298862
LSPIN,lspin_tf,mlp,0.007,0.05,0,4,0.9928823429450564
LSPIN,lspin_tf,mlp,0.007,0.05,1,2,0.996023798818956
LSPIN,lspin_tf,mlp,0.007,0.05,1,3,0.9954179096307478
LSPIN,lspin_tf,mlp,0.007,0.05,1,4,0.9943366664980758
LSPIN,lspin_tf,mlp,0.007,0.05,2,3,0.998189362052917
LSPIN,lspin_tf,mlp,0.007,0.05,2,4,0.9984372845809084
LSPIN,lspin_tf,mlp,0.007,0.05,3,4,0.9988402054000632
LSPIN,lspin_tf,mlp,0.00875,0.05,0,1,0.9926448730301624
LSPIN,lspin_tf,mlp,0.00875,0.05,0,2,0.9940930256429944
LSPIN,lspin_tf,mlp,0.00875,0.05,0,3,0.99086112428326
LSPIN,lspin_tf,mlp,0.00875,0.05,0,4,0.9921826782635071
LSPIN,lspin_tf,mlp,0.00875,0.05,1,2,0.9824268133045084
LSPIN,lspin_tf,mlp,0.00875,0.05,1,3,0.9946927087501226
LSPIN,lspin_tf,mlp,0.00875,0.05,1,4,0.99894894890394
LSPIN,lspin_tf,mlp,0.00875,0.05,2,3,0.9910366473291802
LSPIN,lspin_tf,mlp,0.00875,0.05,2,4,0.9801770634679756
LSPIN,lspin_tf,mlp,0.00875,0.05,3,4,0.9922776287661642
LSPIN,lspin_tf,mlp,0.0105,0.05,0,1,0.9927580063280728
LSPIN,lspin_tf,mlp,0.0105,0.05,0,2,0.9936491610209784
LSPIN,lspin_tf,mlp,0.0105,0.05,0,3,0.998916555522355
LSPIN,lspin_tf,mlp,0.0105,0.05,0,4,0.9963617236456974
LSPIN,lspin_tf,mlp,0.0105,0.05,1,2,0.9844152252525692
LSPIN,lspin_tf,mlp,0.0105,0.05,1,3,0.9936701454224044
LSPIN,lspin_tf,mlp,0.0105,0.05,1,4,0.9922025589514364
LSPIN,lspin_tf,mlp,0.0105,0.05,2,3,0.9932694460935066
LSPIN,lspin_tf,mlp,0.0105,0.05,2,4,0.9977197905452692
LSPIN,lspin_tf,mlp,0.0105,0.05,3,4,0.9962797918849392
LSPIN,lspin_tf,mlp,0.014,0.05,0,1,0.9959352635704196
LSPIN,lspin_tf,mlp,0.014,0.05,0,2,0.9898350569952048
LSPIN,lspin_tf,mlp,0.014,0.05,0,3,0.9928434587304128
LSPIN,lspin_tf,mlp,0.014,0.05,0,4,0.9941232105576536
LSPIN,lspin_tf,mlp,0.014,0.05,1,2,0.9948246858702366
LSPIN,lspin_tf,mlp,0.014,0.05,1,3,0.9978120660656726
LSPIN,lspin_tf,mlp,0.014,0.05,1,4,0.9973961497589492
LSPIN,lspin_tf,mlp,0.014,0.05,2,3,0.9983855465452156
LSPIN,lspin_tf,mlp,0.014,0.05,2,4,0.998163685485403
LSPIN,lspin_tf,mlp,0.014,0.05,3,4,0.9986381255715768
LSPIN,lspin_tf,mlp,0.021,0.05,0,1,0.9979328349707568
LSPIN,lspin_tf,mlp,0.021,0.05,0,2,0.9921357469640172
LSPIN,lspin_tf,mlp,0.021,0.05,0,3,0.9972332553890512
LSPIN,lspin_tf,mlp,0.021,0.05,0,4,0.997662758325854
LSPIN,lspin_tf,mlp,0.021,0.05,1,2,0.9902204184401336
LSPIN,lspin_tf,mlp,0.021,0.05,1,3,0.994677625220487
LSPIN,lspin_tf,mlp,0.021,0.05,1,4,0.9984049047267024
LSPIN,lspin_tf,mlp,0.021,0.05,2,3,0.9922677452885116
LSPIN,lspin_tf,mlp,0.021,0.05,2,4,0.9925217907295264
LSPIN,lspin_tf,mlp,0.021,0.05,3,4,0.9955846962249452
LSPIN,lspin_tf,mlp,0.028,0.05,0,1,0.9909927339277796
LSPIN,lspin_tf,mlp,0.028,0.05,0,2,0.9914208456520388
LSPIN,lspin_tf,mlp,0.028,0.05,0,3,0.9906702618048
LSPIN,lspin_tf,mlp,0.028,0.05,0,4,0.9837623202529772
LSPIN,lspin_tf,mlp,0.028,0.05,1,2,0.9982113136759224
LSPIN,lspin_tf,mlp,0.028,0.05,1,3,0.9978531003311534
LSPIN,lspin_tf,mlp,0.028,0.05,1,4,0.9973738624849796
LSPIN,lspin_tf,mlp,0.028,0.05,2,3,0.9964115150308376
LSPIN,lspin_tf,mlp,0.028,0.05,2,4,0.9969359768369104
LSPIN,lspin_tf,mlp,0.028,0.05,3,4,0.9951330218927446
LSPIN,lspin_tf,mlp,0.0035,0.1,0,1,0.9922344090848452
LSPIN,lspin_tf,mlp,0.0035,0.1,0,2,0.9980201089050836
LSPIN,lspin_tf,mlp,0.0035,0.1,0,3,0.9840895016415836
LSPIN,lspin_tf,mlp,0.0035,0.1,0,4,0.9971340907486008
LSPIN,lspin_tf,mlp,0.0035,0.1,1,2,0.9927903374134532
LSPIN,lspin_tf,mlp,0.0035,0.1,1,3,0.9958592555874238
LSPIN,lspin_tf,mlp,0.0035,0.1,1,4,0.9936279833548888
