model_family,gate_type,predictor,gate_sigma,temperature,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
L-Concrete,concrete,linear,0.15,0.2,0.006,0.0,2000124,1,0.7230578827113481,0.7882689556509299,20,69.00772094726562,0.9371410655892456,835.0,231.0,267.9406405159314
L-Concrete,concrete,linear,0.15,0.2,0.006,0.0,2000125,2,0.7341012947448591,0.7875536480686696,22,65.61003875732422,0.9264053463403134,775.0,223.0,256.1876099441784
L-Concrete,concrete,linear,0.15,0.2,0.006,0.0,2000126,3,0.7316260472201066,0.7753934191702432,23,69.42471313476562,0.9542834372055086,807.0,239.0,258.0450500857611
L-Concrete,concrete,linear,0.15,0.2,0.006,0.0,2000127,4,0.7174409748667174,0.776824034334764,14,77.11196899414062,0.9468157613774878,914.0,262.0,304.3895876899482
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.025,2010123,0,0.7353389185072353,0.7989985693848355,8,1381.057861328125,0.998766823811511,4204.0,3153.0,2725.766613013925
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.025,2010124,1,0.7290555978674791,0.796137339055794,10,1147.8262939453125,0.998501924497266,3457.0,2755.0,2324.4187606096534
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.025,2010125,2,0.7287699923838538,0.7782546494992847,14,900.8919067382812,0.996939464883162,2934.0,2074.0,1800.1255203962262
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.025,2010126,3,0.7377189642041128,0.7918454935622318,9,1182.691162109375,0.997903569707133,3493.0,2553.0,2234.232035374123
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.025,2010127,4,0.7384805788271135,0.7939914163090128,9,1204.270263671875,0.9984020779482334,3689.0,2874.0,2395.1394542620387
L-Concrete,concrete,linear,0.15,0.2,0.001,0.025,2020123,0,0.7440974866717441,0.7975679542203148,9,975.4903564453124,0.9978342510432868,3184.0,2358.0,1982.79996433514
L-Concrete,concrete,linear,0.15,0.2,0.001,0.025,2020124,1,0.7327684691546078,0.7918454935622318,8,1001.0656127929688,0.9980585052175932,3629.0,2315.0,2051.935641832625
L-Concrete,concrete,linear,0.15,0.2,0.001,0.025,2020125,2,0.72496191926885,0.7753934191702432,13,718.8416748046875,0.9959289400968374,2408.0,1785.0,1500.1951967649168
L-Concrete,concrete,linear,0.15,0.2,0.001,0.025,2020126,3,0.7327684691546078,0.7889842632331903,12,719.0964965820312,0.9965016542891912,2576.0,1922.0,1586.2087882344542
L-Concrete,concrete,linear,0.15,0.2,0.001,0.025,2020127,4,0.7388613861386139,0.796137339055794,6,1250.6756591796875,0.9987853518132254,4044.0,2877.0,2498.438998828699
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.025,2030123,0,0.7285795887281036,0.7947067238912733,13,425.83782958984375,0.9918024997199348,1548.0,1073.0,943.0290686592836
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.025,2030124,1,0.732006854531607,0.7660944206008584,12,428.0849304199219,0.9925944280358542,1642.0,1141.0,975.8334460239696
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.025,2030125,2,0.7106816450875857,0.7982832618025751,15,393.1235656738281,0.9886977020857428,1562.0,982.0,871.6799621164325
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.025,2030126,3,0.7345773038842346,0.8133047210300429,12,480.7799377441406,0.9933523594289267,1826.0,1219.0,1053.8894505959734
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.025,2030127,4,0.7263899466869764,0.801859799713877,12,468.4749145507813,0.992688398427032,1817.0,1284.0,1083.6541242428364
L-Concrete,concrete,linear,0.15,0.2,0.002,0.025,2040123,0,0.7353389185072353,0.7868383404864091,14,297.3475036621094,0.9840476764103115,1204.0,709.0,665.1539281880376
L-Concrete,concrete,linear,0.15,0.2,0.002,0.025,2040124,1,0.722010662604722,0.7875536480686696,17,266.68341064453125,0.9827312613343204,1108.0,703.0,610.5920701411931
L-Concrete,concrete,linear,0.15,0.2,0.002,0.025,2040125,2,0.7321020563594821,0.7868383404864091,16,269.4401550292969,0.9841841585182928,1162.0,672.0,613.6070850620266
L-Concrete,concrete,linear,0.15,0.2,0.002,0.025,2040126,3,0.7263899466869764,0.7889842632331903,10,359.76446533203125,0.9905756424802488,1496.0,960.0,835.677975619423
L-Concrete,concrete,linear,0.15,0.2,0.002,0.025,2040127,4,0.7257235338918507,0.7932761087267525,14,294.3204650878906,0.9829960196435944,1130.0,745.0,652.1891496225028
L-Concrete,concrete,linear,0.15,0.2,0.0025,0.025,2050123,0,0.7208682406702208,0.796137339055794,13,224.3706512451172,0.9846900671892818,946.0,590.0,521.7766243247959
L-Concrete,concrete,linear,0.15,0.2,0.0025,0.025,2050124,1,0.7135376999238385,0.7875536480686696,10,265.6988525390625,0.9866234120324868,1221.0,743.0,648.5704787165396
L-Concrete,concrete,linear,0.15,0.2,0.0025,0.025,2050125,2,0.7266755521706016,0.7832618025751072,23,170.7953643798828,0.963984745235677,841.0,489.0,434.383275361683
L-Concrete,concrete,linear,0.15,0.2,0.0025,0.025,2050126,3,0.7222010662604722,0.8025751072961373,18,195.85714721679688,0.9772271168018432,908.0,544.0,482.8758851898029
L-Concrete,concrete,linear,0.15,0.2,0.0025,0.025,2050127,4,0.7446686976389947,0.7889842632331903,19,182.4247131347656,0.9587863967922672,913.0,467.0,429.1743351258886
L-Concrete,concrete,linear,0.15,0.2,0.003,0.025,2060123,0,0.7147753236862148,0.8082975679542204,9,243.97683715820312,0.9836117857524628,1064.0,650.0,571.5223910364925
L-Concrete,concrete,linear,0.15,0.2,0.003,0.025,2060124,1,0.7201066260472201,0.7725321888412017,11,216.47103881835935,0.9831409388789556,1029.0,636.0,548.2750237374057
L-Concrete,concrete,linear,0.15,0.2,0.003,0.025,2060125,2,0.7296268088347296,0.7939914163090128,22,142.15057373046875,0.9542071762646548,805.0,377.0,355.09952384419574
L-Concrete,concrete,linear,0.15,0.2,0.003,0.025,2060126,3,0.7363861386138614,0.8047210300429185,12,187.1814727783203,0.9729655507425288,914.0,546.0,476.7428524530876
L-Concrete,concrete,linear,0.15,0.2,0.003,0.025,2060127,4,0.7284843869002284,0.7939914163090128,11,192.7644805908203,0.972695843381184,881.0,495.0,457.0751649879878
L-Concrete,concrete,linear,0.15,0.2,0.004,0.025,2070123,0,0.7073495811119573,0.7918454935622318,22,102.16988372802734,0.9413707724776332,772.0,303.0,283.2405140079363
L-Concrete,concrete,linear,0.15,0.2,0.004,0.025,2070124,1,0.726009139375476,0.8118741058655222,15,128.25482177734375,0.9608415534543252,610.0,347.0,315.2950047979122
L-Concrete,concrete,linear,0.15,0.2,0.004,0.025,2070125,2,0.7241051028179741,0.7861230329041488,17,107.76834106445312,0.945237446182592,687.0,303.0,289.23387111236065
L-Concrete,concrete,linear,0.15,0.2,0.004,0.025,2070126,3,0.7224866717440975,0.7861230329041488,15,116.06177520751952,0.9456409548804344,703.0,308.0,295.4842005346898
L-Concrete,concrete,linear,0.15,0.2,0.004,0.025,2070127,4,0.7133472962680883,0.7982832618025751,24,103.72586822509766,0.9408504909641328,647.0,298.0,279.7964715166564
