model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
L-LSPIN,0.05,0.028,0.9839424425881115,0.9869206849923522,20,160.64324417114258
L-LSPIN,0.05,0.021,0.9905994209966243,0.9920223135559525,20,214.16525115966797
L-LSPIN,0.05,0.014,0.9935356666216585,0.9942759926725266,20,371.333203125
L-LSPIN,0.05,0.0105,0.9927225987867999,0.9928898671233373,20,665.9297302246093
L-LSPIN,0.05,0.00875,0.9916430296719311,0.9925804264183391,20,1007.9235656738281
L-LSPIN,0.05,0.007,0.9938136151884092,0.9955662887063358,20,1426.0324340820312
L-LSPIN,0.05,0.00525,0.9925819370667668,0.9930884393893241,20,1847.3420776367188
L-LSPIN,0.05,0.0035,0.9935360574036262,0.9936872876834161,20,2098.207727050781
L-LSPIN,0.1,0.028,0.9927001242797948,0.9932328003248221,20,228.3830093383789
L-LSPIN,0.1,0.021,0.9950911942822916,0.9949946730927299,20,311.7779937744141
L-LSPIN,0.1,0.014,0.9930420966322057,0.9937980892167839,20,627.32509765625
L-LSPIN,0.1,0.0105,0.992951134561501,0.993442017454759,20,997.7969177246093
L-LSPIN,0.1,0.00875,0.995211291927132,0.9956561484528255,20,1232.5158325195312
L-LSPIN,0.1,0.007,0.9894160815430805,0.9901313777394782,20,1612.3386108398438
L-LSPIN,0.1,0.00525,0.9925697917780119,0.9936299799935902,20,1843.8308837890625
L-LSPIN,0.1,0.0035,0.9894218383336089,0.9923854571236921,20,2147.1173828125
LSPIN,0.0,0.028,0.9893977897403939,0.9907410710162594,20,90.6552116394043
LSPIN,0.0,0.021,0.9919990583026863,0.9925497349307084,20,112.5332046508789
LSPIN,0.0,0.014,0.9931966337567124,0.9938239653314305,20,159.44131240844726
LSPIN,0.0,0.0105,0.9902619830810094,0.9913727938911294,20,190.54247131347657
LSPIN,0.0,0.00875,0.9929708122482325,0.9935989771376864,20,223.05328369140625
LSPIN,0.0,0.007,0.9953063810088002,0.9962106158742536,20,268.1023223876953
LSPIN,0.0,0.00525,0.9952029817259633,0.9954987953359473,20,380.75868530273436
LSPIN,0.0,0.0035,0.9900321094999928,0.9936474766510871,20,491.3436279296875
LSPIN,0.025,0.028,0.9949172638837371,0.9960469604471389,20,190.37606201171874
LSPIN,0.025,0.021,0.9937375039506297,0.99459091895499,20,242.77760620117186
LSPIN,0.025,0.014,0.9975697334943563,0.9976299703597264,20,339.4181427001953
LSPIN,0.025,0.0105,0.996194683217111,0.9969963300371324,20,475.82664489746094
LSPIN,0.025,0.00875,0.9960582252982594,0.9966582630708221,20,600.0359100341797
LSPIN,0.025,0.007,0.9936333466778823,0.9951040695055836,20,803.9555969238281
LSPIN,0.025,0.00525,0.9934958093537771,0.9946327810842552,20,1065.2795288085938
LSPIN,0.025,0.0035,0.9949592205064072,0.9963024658356795,20,1463.8988525390625
LSPIN,0.05,0.028,0.9949629242568845,0.9965547303235778,20,229.53011627197264
LSPIN,0.05,0.021,0.9944631227544992,0.9962932724703142,20,303.06409454345703
LSPIN,0.05,0.014,0.9954543771717701,0.9953799747203281,20,455.68610229492185
LSPIN,0.05,0.0105,0.9941701535682637,0.9945446604359791,20,677.9046447753906
LSPIN,0.05,0.00875,0.9922873071411775,0.9924612508981633,20,801.1247192382813
LSPIN,0.05,0.007,0.9953839149782675,0.9958239842325343,20,1067.605780029297
LSPIN,0.05,0.00525,0.9935288438301522,0.994909643489175,20,1295.6424682617187
LSPIN,0.05,0.0035,0.9931061482438173,0.9933416446193148,20,1563.311962890625
LSPIN,0.1,0.028,0.9962782798872902,0.9966592235118497,20,306.42200775146483
LSPIN,0.1,0.021,0.9958887798937598,0.9968688003703401,20,342.30116271972656
LSPIN,0.1,0.014,0.9938909599972641,0.9954334381632213,20,532.5386108398437
LSPIN,0.1,0.0105,0.9964651733279022,0.997211785506763,20,711.5872619628906
LSPIN,0.1,0.00875,0.9954166516268199,0.9961914403452086,20,865.1498107910156
LSPIN,0.1,0.007,0.9941377194020085,0.9946750988535323,20,1036.0764465332031
LSPIN,0.1,0.00525,0.9921241092461756,0.9915135265277737,20,1244.9737426757813
LSPIN,0.1,0.0035,0.9909060754973547,0.9926772397683703,20,1574.6826171875
