model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.00875,0.0,2,3,0.8342003991094012,3.5440088757396446,0.5522388059701493,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.00875,0.0,2,4,0.8547607205569367,3.5440088757396446,0.5522388059701493,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.00875,0.0,3,4,0.8331884373546083,3.448224852071006,0.5294117647058824,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,0.8812796814956836,3.5440088757396446,0.5522388059701493,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,0.828361399594499,3.256656804733728,0.4857142857142857,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.8517375871907021,3.639792899408284,0.5757575757575758,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,0.8638511866942101,3.639792899408284,0.5757575757575758,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,0.840907727232415,3.256656804733728,0.4857142857142857,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,0.8659133711997457,3.448224852071006,0.5294117647058824,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,0.870909714571019,3.448224852071006,0.5294117647058824,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,0.8307474121530976,3.256656804733728,0.4857142857142857,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,0.8265509584493459,3.256656804733728,0.4857142857142857,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,0.861997575059134,3.639792899408284,0.5757575757575758,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.014,0.0,0,1,0.8728589254579526,3.831360946745562,0.625,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.014,0.0,0,2,0.898024003468454,3.639792899408284,0.5757575757575758,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.014,0.0,0,3,0.881901440743666,3.5440088757396446,0.5522388059701493,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.014,0.0,0,4,0.8185760131306474,3.5440088757396446,0.5522388059701493,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.014,0.0,1,2,0.8714090598205493,3.639792899408284,0.5757575757575758,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.014,0.0,1,3,0.8465603203003372,3.639792899408284,0.5757575757575758,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.014,0.0,1,4,0.8382784146935963,3.639792899408284,0.5757575757575758,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.014,0.0,2,3,0.8603688460848207,3.352440828402367,0.5072463768115942,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.014,0.0,2,4,0.799796630648973,3.1608727810650885,0.4647887323943662,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.014,0.0,3,4,0.791821626310308,2.9693047337278107,0.4246575342465753,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.021,0.0,0,1,0.7925904602943359,3.639792899408284,0.5757575757575758,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.021,0.0,0,2,0.8618645958937833,3.448224852071006,0.5294117647058824,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.021,0.0,0,3,0.8217502951522768,3.1608727810650885,0.4647887323943662,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.021,0.0,0,4,0.7936205148177519,3.1608727810650885,0.4647887323943662,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.021,0.0,1,2,0.8039684535700559,3.1608727810650885,0.4647887323943662,3.352440828402367,0.5072463768115942
