model_family,lambda_sample_smooth,lambda_sparse,mean_cluster_ari,mean_cluster_nmi,n_pairs,mean_Khard
L-LSPIN,0.05,0.028,0.8938902011626233,0.8564962167380878,20,160.64324417114258
L-LSPIN,0.05,0.021,0.8826546163991612,0.8381691895245714,20,214.16525115966797
L-LSPIN,0.05,0.014,0.8995320735930246,0.8657742821784948,20,371.333203125
L-LSPIN,0.05,0.0105,0.9167569536636128,0.8758544423509639,20,665.9297302246093
L-LSPIN,0.05,0.00875,0.9366279066770231,0.8938719017088523,20,1007.9235656738281
L-LSPIN,0.05,0.007,0.9783543623420463,0.9545749295537634,20,1426.0324340820312
L-LSPIN,0.05,0.00525,0.9680576088383216,0.9470904685353828,20,1847.3420776367188
L-LSPIN,0.05,0.0035,0.966623249799498,0.9428624629955799,20,2098.207727050781
L-LSPIN,0.1,0.028,0.879685152421216,0.8421680993264113,20,228.3830093383789
L-LSPIN,0.1,0.021,0.8935799175992875,0.8577142699458363,20,311.7779937744141
L-LSPIN,0.1,0.014,0.9011785070729464,0.877187998067976,20,627.32509765625
L-LSPIN,0.1,0.0105,0.9703290515165476,0.9409657264441981,20,997.7969177246093
L-LSPIN,0.1,0.00875,0.9783365611327604,0.9554225478303495,20,1232.5158325195312
L-LSPIN,0.1,0.007,0.9632730360649464,0.9372901755418839,20,1612.3386108398438
L-LSPIN,0.1,0.00525,0.9660168457620786,0.9405950617254492,20,1843.8308837890625
L-LSPIN,0.1,0.0035,0.9655798703507779,0.9449304894246066,20,2147.1173828125
LSPIN,0.0,0.028,0.8604680512789887,0.8346265370952304,20,90.6552116394043
LSPIN,0.0,0.021,0.8604409950342008,0.8547899879747698,20,112.5332046508789
LSPIN,0.0,0.014,0.8697338620956512,0.8542457963791577,20,159.44131240844726
LSPIN,0.0,0.0105,0.9001135390513257,0.8660956485238872,20,190.54247131347657
LSPIN,0.0,0.00875,0.9019922540804753,0.8827435129787553,20,223.05328369140625
LSPIN,0.0,0.007,0.9761153873233827,0.9476628851551905,20,268.1023223876953
LSPIN,0.0,0.00525,0.948771071907394,0.9143580333649147,20,380.75868530273436
LSPIN,0.0,0.0035,0.9046340802635535,0.8898588905263345,20,491.3436279296875
LSPIN,0.025,0.028,0.8546806626960162,0.826102758024464,20,190.37606201171874
LSPIN,0.025,0.021,0.8711335675373837,0.8400113341929363,20,242.77760620117186
LSPIN,0.025,0.014,0.97668172558469,0.9486030862117346,20,339.4181427001953
LSPIN,0.025,0.0105,0.9173160159597851,0.883192631617999,20,475.82664489746094
LSPIN,0.025,0.00875,0.9159754211009485,0.8813768621855637,20,600.0359100341797
LSPIN,0.025,0.007,0.9686164424756486,0.9357402581712639,20,803.9555969238281
LSPIN,0.025,0.00525,0.9757134313249626,0.9476733595231506,20,1065.2795288085938
LSPIN,0.025,0.0035,0.9793074691267195,0.9647251668880319,20,1463.8988525390625
LSPIN,0.05,0.028,0.8964281880113866,0.8611895130692829,20,229.53011627197264
LSPIN,0.05,0.021,0.8857185392931409,0.8486805985097329,20,303.06409454345703
LSPIN,0.05,0.014,0.9248009702390702,0.8909119080413106,20,455.68610229492185
LSPIN,0.05,0.0105,0.9122378881589428,0.8787924121923059,20,677.9046447753906
LSPIN,0.05,0.00875,0.969499952052649,0.9449983447540348,20,801.1247192382813
LSPIN,0.05,0.007,0.9796408173963593,0.9575871036480992,20,1067.605780029297
LSPIN,0.05,0.00525,0.9822696291797139,0.9634558632378655,20,1295.6424682617187
LSPIN,0.05,0.0035,0.975414975592144,0.9575475726342783,20,1563.311962890625
LSPIN,0.1,0.028,0.8779789245660771,0.84393799988736,20,306.42200775146483
LSPIN,0.1,0.021,0.8950452976734102,0.8572542744446592,20,342.30116271972656
LSPIN,0.1,0.014,0.9283186814939643,0.8968949438952218,20,532.5386108398437
LSPIN,0.1,0.0105,0.977970966347615,0.9544544274887597,20,711.5872619628906
LSPIN,0.1,0.00875,0.97639595719842,0.9521654688769671,20,865.1498107910156
LSPIN,0.1,0.007,0.9780925226759297,0.9541493284575697,20,1036.0764465332031
LSPIN,0.1,0.00525,0.9751902426242338,0.9544854811230531,20,1244.9737426757813
LSPIN,0.1,0.0035,0.9814534265190709,0.9662970069075294,20,1574.6826171875
