histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.028,0.0,80123
kidneyclearcellrenalcarcinoma,156,0.6498171649817165,LSPIN,mlp,0.028,0.0,80123
kidneypapillaryrenalcellcarcinoma,84,0.7864823348694316,LSPIN,mlp,0.028,0.0,80123
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.028,0.0,80124
kidneyclearcellrenalcarcinoma,156,0.6625080662508066,LSPIN,mlp,0.028,0.0,80124
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,mlp,0.028,0.0,80124
kidneychromophobe,19,0.8450704225352113,LSPIN,mlp,0.028,0.0,80125
kidneyclearcellrenalcarcinoma,156,0.6786405678640568,LSPIN,mlp,0.028,0.0,80125
kidneypapillaryrenalcellcarcinoma,84,0.8110599078341014,LSPIN,mlp,0.028,0.0,80125
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.028,0.0,80126
kidneyclearcellrenalcarcinoma,156,0.6814368681436869,LSPIN,mlp,0.028,0.0,80126
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.028,0.0,80126
kidneychromophobe,19,0.8028169014084507,LSPIN,mlp,0.028,0.0,80127
kidneyclearcellrenalcarcinoma,156,0.701226070122607,LSPIN,mlp,0.028,0.0,80127
kidneypapillaryrenalcellcarcinoma,84,0.8141321044546851,LSPIN,mlp,0.028,0.0,80127
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0035,0.025,90123
kidneyclearcellrenalcarcinoma,156,0.6891804689180469,LSPIN,mlp,0.0035,0.025,90123
kidneypapillaryrenalcellcarcinoma,84,0.8110599078341014,LSPIN,mlp,0.0035,0.025,90123
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.025,90124
kidneyclearcellrenalcarcinoma,156,0.697569369756937,LSPIN,mlp,0.0035,0.025,90124
kidneypapillaryrenalcellcarcinoma,84,0.7972350230414746,LSPIN,mlp,0.0035,0.025,90124
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.025,90125
kidneyclearcellrenalcarcinoma,156,0.698429769842977,LSPIN,mlp,0.0035,0.025,90125
kidneypapillaryrenalcellcarcinoma,84,0.7788018433179723,LSPIN,mlp,0.0035,0.025,90125
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.0035,0.025,90126
kidneyclearcellrenalcarcinoma,156,0.6891804689180469,LSPIN,mlp,0.0035,0.025,90126
kidneypapillaryrenalcellcarcinoma,84,0.8218125960061444,LSPIN,mlp,0.0035,0.025,90126
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.025,90127
kidneyclearcellrenalcarcinoma,156,0.6865992686599268,LSPIN,mlp,0.0035,0.025,90127
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,LSPIN,mlp,0.0035,0.025,90127
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.00525,0.025,100123
kidneyclearcellrenalcarcinoma,156,0.6485265648526565,LSPIN,mlp,0.00525,0.025,100123
kidneypapillaryrenalcellcarcinoma,84,0.8172043010752689,LSPIN,mlp,0.00525,0.025,100123
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.00525,0.025,100124
kidneyclearcellrenalcarcinoma,156,0.696063669606367,LSPIN,mlp,0.00525,0.025,100124
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.00525,0.025,100124
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.00525,0.025,100125
kidneyclearcellrenalcarcinoma,156,0.6779952677995268,LSPIN,mlp,0.00525,0.025,100125
kidneypapillaryrenalcellcarcinoma,84,0.8003072196620584,LSPIN,mlp,0.00525,0.025,100125
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.00525,0.025,100126
kidneyclearcellrenalcarcinoma,156,0.6681006668100666,LSPIN,mlp,0.00525,0.025,100126
kidneypapillaryrenalcellcarcinoma,84,0.82642089093702,LSPIN,mlp,0.00525,0.025,100126
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.00525,0.025,100127
kidneyclearcellrenalcarcinoma,156,0.6803613680361368,LSPIN,mlp,0.00525,0.025,100127
