family,selection,fold,rep,subgroup,n_subgroups_this_model,k,n_test,n_events_test,cindex_own,cindex_global,cindex_foreign,cindex_random_median,own_minus_global,own_minus_foreign,own_minus_random
LSPIN,smooth,1,0,1,4,50,81,14,0.8360413589364845,0.8183161004431314,0.8404726735598228,0.7747415066469718,0.017725258493353047,-0.004431314623338345,0.061299852289512624
LSPIN,smooth,1,0,2,4,50,41,7,0.7725118483412322,0.7819905213270142,0.8104265402843602,0.8080568720379147,-0.009478672985781977,-0.03791469194312802,-0.03554502369668244
LSPIN,smooth,1,0,3,4,50,158,53,0.6470357283078131,0.5657636435021594,0.6395759717314488,0.6295641931684335,0.08127208480565373,0.007459756576364329,0.0174715351393796
Concrete,smooth,1,1,1,4,50,160,54,0.6171949136458531,0.6149174416397798,0.6116910229645094,0.6211804896564813,0.002277472006073311,0.005503890681343715,-0.003985576010628211
Concrete,smooth,1,1,2,4,50,83,14,0.8279411764705882,0.7764705882352941,0.8691176470588236,0.7742647058823529,0.051470588235294046,-0.04117647058823537,0.053676470588235325
LSPIN,smooth,1,1,0,4,50,162,54,0.6252343457067866,0.5920509936257968,0.6509186351706037,0.6212035995500562,0.03318335208098977,-0.025684289463817067,0.00403074615673038
LSPIN,smooth,1,1,1,4,50,77,13,0.6666666666666666,0.7789473684210526,0.7596491228070176,0.7991228070175439,-0.11228070175438598,-0.09298245614035094,-0.13245614035087727
LSPIN,smooth,1,1,3,4,50,18,5,0.6615384615384615,0.7846153846153846,0.7846153846153846,0.7384615384615385,-0.12307692307692308,-0.12307692307692308,-0.07692307692307698
Concrete,smooth,2,0,0,4,50,154,52,0.6868793577012465,0.6674413691105008,0.649271075427847,0.669976758926685,0.019437988590745747,0.03760828227339952,0.016902598774561572
Concrete,smooth,2,0,1,4,50,103,22,0.7747252747252747,0.6932234432234432,0.6456043956043956,0.7408424908424909,0.08150183150183155,0.1291208791208791,0.03388278388278387
LSPIN,smooth,2,0,0,4,50,30,7,0.8143712574850299,0.6946107784431138,0.8143712574850299,0.7874251497005988,0.11976047904191611,0.0,0.026946107784431073
LSPIN,smooth,2,0,1,4,50,153,51,0.628247107618424,0.6295568653132504,0.7057411045623226,0.6478934730408208,-0.0013097576948264411,-0.07749399694389869,-0.01964636542239684
LSPIN,smooth,2,0,3,4,50,97,17,0.6570247933884298,0.59366391184573,0.6818181818181818,0.662534435261708,0.06336088154269981,-0.024793388429751984,-0.0055096418732781816
Concrete,smooth,2,1,0,4,50,159,54,0.6687300319488818,0.6773162939297125,0.6230031948881789,0.6519568690095847,-0.008586261980830678,0.04572683706070291,0.016773162939297093
Concrete,smooth,2,1,1,4,50,103,22,0.7866300366300366,0.7371794871794872,0.7802197802197802,0.7426739926739927,0.049450549450549386,0.0064102564102563875,0.04395604395604391
LSPIN,smooth,2,1,0,4,50,154,52,0.7075850412000845,0.6906824424255229,0.6780054933446017,0.6843439678850624,0.016902598774561572,0.02957954785548278,0.02324107331502212
LSPIN,smooth,2,1,1,4,50,101,19,0.6977299880525687,0.5770609318996416,0.6893667861409797,0.7156511350059738,0.12066905615292711,0.008363201911589013,-0.017921146953405076
