model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
L-Concrete,concrete,0.12,0.0025,0.0,1,2,0.8922611439912267
L-Concrete,concrete,0.12,0.002,0.0,0,1,0.9195407826777404
L-Concrete,concrete,0.12,0.002,0.0,0,2,0.933615973662645
L-Concrete,concrete,0.12,0.002,0.0,1,2,0.9306226569976392
L-Concrete,concrete,0.12,0.0015,0.0,0,1,0.9628544429525664
L-Concrete,concrete,0.12,0.0015,0.0,0,2,0.9636111814714216
L-Concrete,concrete,0.12,0.0015,0.0,1,2,0.9667677002055312
LSPIN,lspin_tf,0.22,0.014,0.1,0,1,0.9832939129469398
LSPIN,lspin_tf,0.22,0.014,0.1,0,2,0.9912053563112616
LSPIN,lspin_tf,0.22,0.014,0.1,1,2,0.9887053325608268
LSPIN,lspin_tf,0.22,0.0105,0.1,0,1,0.99752693439984
LSPIN,lspin_tf,0.22,0.0105,0.1,0,2,0.9962722320530228
LSPIN,lspin_tf,0.22,0.0105,0.1,1,2,0.9967441764706038
LSPIN,lspin_tf,0.22,0.00875,0.1,0,1,0.9941066692396966
LSPIN,lspin_tf,0.22,0.00875,0.1,0,2,0.9839876114763088
LSPIN,lspin_tf,0.22,0.00875,0.1,1,2,0.9903762202981212
LSPIN,lspin_tf,0.22,0.007,0.1,0,1,0.9950319617173716
LSPIN,lspin_tf,0.22,0.007,0.1,0,2,0.9865191161328348
LSPIN,lspin_tf,0.22,0.007,0.1,1,2,0.9900673764514512
LSPIN,lspin_tf,0.22,0.00525,0.1,0,1,0.9976727786576955
LSPIN,lspin_tf,0.22,0.00525,0.1,0,2,0.98866531810318
LSPIN,lspin_tf,0.22,0.00525,0.1,1,2,0.9881667228094688
LSPIN,lspin_tf,0.2,0.014,0.1,0,1,0.9929375882108492
LSPIN,lspin_tf,0.2,0.014,0.1,0,2,0.9930709666049312
LSPIN,lspin_tf,0.2,0.014,0.1,1,2,0.9889776807422856
LSPIN,lspin_tf,0.2,0.0105,0.1,0,1,0.988848467402525
LSPIN,lspin_tf,0.2,0.0105,0.1,0,2,0.9950516878700372
LSPIN,lspin_tf,0.2,0.0105,0.1,1,2,0.9963120704539252
LSPIN,lspin_tf,0.2,0.00875,0.1,0,1,0.9922406097137008
LSPIN,lspin_tf,0.2,0.00875,0.1,0,2,0.9948279433454492
LSPIN,lspin_tf,0.2,0.00875,0.1,1,2,0.988506836501016
LSPIN,lspin_tf,0.2,0.007,0.1,0,1,0.9935707117907118
LSPIN,lspin_tf,0.2,0.007,0.1,0,2,0.9919554092182238
LSPIN,lspin_tf,0.2,0.007,0.1,1,2,0.9962817511426458
LSPIN,lspin_tf,0.2,0.00525,0.1,0,1,0.9919270504020448
LSPIN,lspin_tf,0.2,0.00525,0.1,0,2,0.9955291577557356
LSPIN,lspin_tf,0.2,0.00525,0.1,1,2,0.9883165469742448
L-LSPIN,lspin_tf,0.22,0.021,0.1,0,1,0.9756917683196328
L-LSPIN,lspin_tf,0.22,0.021,0.1,0,2,0.993836860328884
L-LSPIN,lspin_tf,0.22,0.021,0.1,1,2,0.9726392072589468
L-LSPIN,lspin_tf,0.22,0.014,0.1,0,1,0.9898584998244412
L-LSPIN,lspin_tf,0.22,0.014,0.1,0,2,0.9900700247871564
L-LSPIN,lspin_tf,0.22,0.014,0.1,1,2,0.9855023519147056
L-LSPIN,lspin_tf,0.22,0.0105,0.1,0,1,0.9895884928432565
L-LSPIN,lspin_tf,0.22,0.0105,0.1,0,2,0.9938548158495614
L-LSPIN,lspin_tf,0.22,0.0105,0.1,1,2,0.9889952509048704
L-LSPIN,lspin_tf,0.22,0.00875,0.1,0,1,0.9941558051431828
L-LSPIN,lspin_tf,0.22,0.00875,0.1,0,2,0.9977729684244916
L-LSPIN,lspin_tf,0.22,0.00875,0.1,1,2,0.996714286762138
L-LSPIN,lspin_tf,0.22,0.007,0.1,0,1,0.973272885736979
L-LSPIN,lspin_tf,0.22,0.007,0.1,0,2,0.9949871112744834
L-LSPIN,lspin_tf,0.22,0.007,0.1,1,2,0.9799724039167194
L-LSPIN,lspin_tf,0.2,0.021,0.1,0,1,0.969927860714403
L-LSPIN,lspin_tf,0.2,0.021,0.1,0,2,0.9771627587910432
L-LSPIN,lspin_tf,0.2,0.021,0.1,1,2,0.9828634522797388
L-LSPIN,lspin_tf,0.2,0.014,0.1,0,1,0.9962624059360604
L-LSPIN,lspin_tf,0.2,0.014,0.1,0,2,0.995605521396332
L-LSPIN,lspin_tf,0.2,0.014,0.1,1,2,0.996485695112666
