model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
Concrete,concrete,0.15,0.0015,0.05,0,1,0.9271272377043508,0.8689479211143295
Concrete,concrete,0.15,0.0015,0.05,0,2,0.9375027258486852,0.8897122369054078
Concrete,concrete,0.15,0.0015,0.05,1,2,0.9762637551657288,0.9377885929359592
Concrete,concrete,0.12,0.004,0.05,0,1,0.9567342335179913,0.9105312761402627
Concrete,concrete,0.12,0.004,0.05,0,2,0.9269794218608676,0.8461036988400457
Concrete,concrete,0.12,0.004,0.05,1,2,0.9522745399345204,0.8995368735329046
Concrete,concrete,0.12,0.003,0.05,0,1,0.96766187432216,0.9489986145182976
Concrete,concrete,0.12,0.003,0.05,0,2,0.9349731502118592,0.8813027063383301
Concrete,concrete,0.12,0.003,0.05,1,2,0.9597555645382648,0.9098871963565331
Concrete,concrete,0.12,0.0025,0.05,0,1,0.94120119683208,0.8913862221552693
Concrete,concrete,0.12,0.0025,0.05,0,2,0.9589372756437666,0.9154678373005284
Concrete,concrete,0.12,0.0025,0.05,1,2,0.919231161355202,0.8470939575753698
Concrete,concrete,0.12,0.002,0.05,0,1,0.926876601207641,0.8818413552898408
Concrete,concrete,0.12,0.002,0.05,0,2,0.9614831196684316,0.936214986849303
Concrete,concrete,0.12,0.002,0.05,1,2,0.9546938645692096,0.9145919061815524
Concrete,concrete,0.12,0.0015,0.05,0,1,0.9715242147288816,0.9428757868775512
Concrete,concrete,0.12,0.0015,0.05,0,2,0.9651971609673836,0.927795849741042
Concrete,concrete,0.12,0.0015,0.05,1,2,0.9505301507997034,0.9166174676006932
L-Concrete,concrete,0.15,0.004,0.05,0,1,0.9582559492345276,0.9160174445782086
L-Concrete,concrete,0.15,0.004,0.05,0,2,0.5198091864566013,0.6485683338209923
L-Concrete,concrete,0.15,0.004,0.05,1,2,0.5315778199846468,0.6706936601451006
L-Concrete,concrete,0.15,0.003,0.05,0,1,0.9575564665007872,0.928072284413332
L-Concrete,concrete,0.15,0.003,0.05,0,2,0.9679559516762976,0.9493377896007172
L-Concrete,concrete,0.15,0.003,0.05,1,2,0.989173658564539,0.9786943849641498
L-Concrete,concrete,0.15,0.0025,0.05,0,1,0.961314034688785,0.9287089203648936
L-Concrete,concrete,0.15,0.0025,0.05,0,2,0.9678692447110688,0.9490000037642324
L-Concrete,concrete,0.15,0.0025,0.05,1,2,0.9934468395922216,0.9796180402375564
L-Concrete,concrete,0.15,0.002,0.05,0,1,0.9509813278148392,0.9077939072117104
