model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
L-LSPIN,lspin_tf,linear,0.22,0.014,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,440124,1,44,1,0.6876428027418127,0.8233190271816881,8,197.6292724609375,197.6293487548828,0.9747616639585814,445.0,368.0,320.4203131550184
L-LSPIN,lspin_tf,linear,0.22,0.014,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,440125,2,44,1,0.7051599390708302,0.765379113018598,57,93.20256805419922,93.19691467285156,0.944060038823366,184.0,159.0,135.4161729902871
L-LSPIN,lspin_tf,linear,0.22,0.0105,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,480123,0,48,1,0.690974866717441,0.7632331902718169,29,171.12887573242188,171.12741088867188,0.9726235426603044,287.0,266.0,242.82556388284877
L-LSPIN,lspin_tf,linear,0.22,0.0105,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,480124,1,48,1,0.7101104341203351,0.7896995708154506,10,227.84051513671875,227.83010864257807,0.979975918380906,513.0,440.0,369.8239365298588
L-LSPIN,lspin_tf,linear,0.22,0.0105,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,480125,2,48,1,0.7276275704493527,0.7947067238912733,16,223.00640869140625,223.0077209472656,0.9827508755482198,468.0,407.0,350.0267607312961
L-LSPIN,lspin_tf,linear,0.22,0.00875,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,520123,0,52,1,0.6860243716679361,0.8168812589413448,14,363.1750793457031,363.1814575195313,0.9858918263578592,662.0,611.0,531.0016647966838
L-LSPIN,lspin_tf,linear,0.22,0.00875,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,520124,1,52,1,0.6888804265041889,0.7882689556509299,28,261.9547119140625,261.9691162109375,0.9819694965497614,490.0,448.0,389.8123728069908
L-LSPIN,lspin_tf,linear,0.22,0.00875,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,520125,2,52,1,0.6936405178979437,0.796137339055794,2,540.8228759765625,540.810791015625,0.994457821557944,1388.0,1168.0,991.7958144278834
L-LSPIN,lspin_tf,linear,0.22,0.007,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,560123,0,56,1,0.7335300837776085,0.7696709585121603,11,405.48876953125,405.5173645019531,0.9907661341278796,810.0,729.0,646.6500328762326
L-LSPIN,lspin_tf,linear,0.22,0.007,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,560124,1,56,1,0.7134424980959635,0.8011444921316166,9,483.3644104003906,483.3475036621094,0.9907544327696428,929.0,845.0,759.4056383364982
L-LSPIN,lspin_tf,linear,0.22,0.007,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,560125,2,56,1,0.7262947448591013,0.7532188841201717,5,437.4506530761719,437.478759765625,0.9918855913709222,1059.0,872.0,764.3848043955146
L-LSPIN,lspin_tf,linear,0.2,0.021,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,600123,0,60,1,0.718012185833968,0.7775393419170243,28,88.74232482910156,88.7374496459961,0.9279546060700306,149.0,127.0,116.19487680440844
L-LSPIN,lspin_tf,linear,0.2,0.021,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,600124,1,60,1,0.7286747905559787,0.771101573676681,23,122.76423645019533,122.76834106445312,0.9549221028067884,205.0,189.0,168.40735912123284
L-LSPIN,lspin_tf,linear,0.2,0.021,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,600125,2,60,1,0.671077684691546,0.7854077253218884,46,109.09720611572266,109.1003875732422,0.9161010021839366,156.0,148.0,134.19009925001822
L-LSPIN,lspin_tf,linear,0.2,0.014,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,640123,0,64,1,0.7005902513328256,0.7804005722460658,21,141.9244384765625,141.93435668945312,0.9551600077901726,270.0,240.0,202.55502673688403
L-LSPIN,lspin_tf,linear,0.2,0.014,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,640124,1,64,1,0.654988575780655,0.7868383404864091,41,200.8787841796875,200.88417053222656,0.9747303838503428,317.0,299.0,265.3946959393819
L-LSPIN,lspin_tf,linear,0.2,0.014,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,640125,2,64,1,0.6746001523229246,0.8097281831187411,55,156.3505096435547,156.3474884033203,0.9629743402043536,237.0,220.0,198.33528906022124
L-LSPIN,lspin_tf,linear,0.2,0.0105,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,680123,0,68,1,0.719059405940594,0.7968526466380543,14,250.9776763916016,250.9729766845703,0.9796183436089702,567.0,456.0,401.4892194167084
L-LSPIN,lspin_tf,linear,0.2,0.0105,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,680124,1,68,1,0.7196306169078446,0.7660944206008584,31,234.43582153320312,234.43243408203125,0.9765890025095602,415.0,379.0,325.01379450874134
L-LSPIN,lspin_tf,linear,0.2,0.0105,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,680125,2,68,1,0.7090632140137091,0.8075822603719599,22,251.85438537597656,251.84942626953125,0.9727081563130978,453.0,404.0,347.0624200130848
L-LSPIN,lspin_tf,linear,0.2,0.00875,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,720123,0,72,1,0.7187738004569688,0.7846924177396281,7,471.0505065917969,471.061767578125,0.9914880971544108,967.0,857.0,751.2934953213568
L-LSPIN,lspin_tf,linear,0.2,0.00875,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,720124,1,72,1,0.7063975628332064,0.804005722460658,18,292.0540466308594,292.0463256835937,0.9863426109641824,546.0,494.0,430.0275454110067
L-LSPIN,lspin_tf,linear,0.2,0.00875,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,720125,2,72,1,0.7028750952018279,0.8054363376251789,6,429.876953125,429.8725891113281,0.9905711324026404,913.0,804.0,691.8101558605688
L-LSPIN,lspin_tf,linear,0.2,0.007,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,760123,0,76,1,0.6927837014470678,0.7589413447782547,23,361.5604553222656,361.5521240234375,0.988554220008312,635.0,571.0,513.0990407761196
L-LSPIN,lspin_tf,linear,0.2,0.007,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,760124,1,76,1,0.7316260472201066,0.748211731044349,3,638.575927734375,638.5791625976562,0.9946692702110236,1591.0,1305.0,1150.4778896232565
