model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard
L-Concrete,0.15,0.0015,0.0,0.7132293681610155,2.71388067061144,0.37450292397660817,2.9054487179487176,0.4133652057634307
L-Concrete,0.15,0.0015,0.025,0.6986690158575061,2.522312623274162,0.3391053391053391,3.001232741617357,0.4344127409142889
L-Concrete,0.15,0.0015,0.05,0.5945805985973281,2.5223126232741615,0.34306427452460175,2.554240631163708,0.36811763871150843
L-Concrete,0.15,0.0015,0.1,0.6683957255474321,2.6180966469428006,0.3657709997579279,2.937376725838264,0.4262933128755913
L-Concrete,0.15,0.002,0.0,0.5762074817319083,2.4265285996055224,0.3233490229639138,2.650024654832347,0.36738999397227246
L-Concrete,0.15,0.002,0.025,0.6394910928041643,2.554240631163708,0.3503780379734902,3.0012327416173563,0.4319666145018257
L-Concrete,0.15,0.002,0.05,0.7951255696134267,2.3946005917159763,0.3182554780525611,3.0331607495069033,0.44003729129587255
L-Concrete,0.15,0.002,0.1,0.6710351312691731,2.3946005917159763,0.31701855471194423,2.7777366863905324,0.38715338715338715
L-Concrete,0.15,0.0025,0.0,0.44313618999325094,2.8415927021696255,0.3993302891933028,2.6819526627218937,0.3695467394097531
L-Concrete,0.15,0.0025,0.025,0.6840851992059601,3.3205128205128207,0.5042172607389999,2.6819526627218937,0.37343808454919564
L-Concrete,0.15,0.0025,0.05,0.7553587396646747,3.128944773175542,0.4611166390270867,3.160872781065089,0.46612202264376174
L-Concrete,0.15,0.0025,0.1,0.7201402496045347,2.9693047337278102,0.4258847431567965,3.192800788954635,0.4729526771156079
L-Concrete,0.15,0.003,0.0,0.714699549904103,2.937376725838264,0.41984691458375667,2.8415927021696255,0.4015948963317384
L-Concrete,0.15,0.003,0.025,0.7455161157601542,2.809664694280079,0.39797101449275357,3.575936883629191,0.5605501902253439
L-Concrete,0.15,0.003,0.05,0.6777276641229405,2.71388067061144,0.3793619852099384,3.2566568047337277,0.4884012807995058
L-Concrete,0.15,0.003,0.1,0.6720380552215821,2.3307445759368837,0.3113803458631044,3.0331607495069033,0.4483333333333333
L-Concrete,0.15,0.004,0.0,0.736099339589178,3.0650887573964494,0.4449942900647126,2.8415927021696255,0.403457273320287
L-Concrete,0.15,0.004,0.025,0.6805625171308167,2.9815847367622514,0.43149736088430446,2.677040661508117,0.37218095793874706
L-Concrete,0.15,0.004,0.05,0.5289027663498221,2.4265285996055224,0.3233490229639138,2.3626725838264298,0.3169441218221706
L-Concrete,0.15,0.004,0.1,0.6914809974874251,3.3205128205128207,0.5009139413596003,2.0433925049309662,0.26582471433760263
L-LSPIN,0.2,0.007,0.0,0.6938371821967159,2.9447447276589287,0.4218858131385659,2.8342247003489605,0.3998397415293267
L-LSPIN,0.2,0.007,0.025,0.8281099724176663,3.2885848126232737,0.49370086198730706,3.0650887573964503,0.4450097847358121
L-LSPIN,0.2,0.007,0.05,0.6882617251035693,3.3205128205128207,0.5000690131124914,2.650024654832347,0.37191904874399556
L-LSPIN,0.2,0.007,0.1,0.6245837662750209,2.9054487179487176,0.415328371850111,2.3307445759368837,0.30670569834821776
L-LSPIN,0.2,0.00875,0.0,0.7619015511901469,3.288584812623274,0.49330492760484473,2.8415927021696255,0.40070158323679445
L-LSPIN,0.2,0.00875,0.025,0.758153266297897,3.0012327416173563,0.4319666145018257,2.937376725838264,0.4258373205741626
L-LSPIN,0.2,0.00875,0.05,0.7081845284737783,2.8415927021696255,0.4001664001664001,2.490384615384615,0.3343403401882934
L-LSPIN,0.2,0.00875,0.1,0.7556288605580185,3.0012327416173563,0.43143143143143137,2.9054487179487176,0.4136006683375104
