model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
L-LSPIN,lspin_tf,0.22,0.00875,0.1,1,2,0.8506739788953882,3.735576923076923,0.6,3.352440828402367,0.5072463768115942
L-LSPIN,lspin_tf,0.22,0.007,0.1,0,1,0.6861775205665326,3.256656804733728,0.4857142857142857,3.0650887573964494,0.4444444444444444
L-LSPIN,lspin_tf,0.22,0.007,0.1,0,2,0.6167621952818381,2.3946005917159763,0.3164556962025316,2.4903846153846154,0.3333333333333333
L-LSPIN,lspin_tf,0.22,0.007,0.1,1,2,0.4521244604205374,2.3946005917159763,0.3164556962025316,2.107248520710059,0.2682926829268293
L-LSPIN,lspin_tf,0.2,0.021,0.1,0,1,0.711031052278917,3.1608727810650885,0.4647887323943662,2.6819526627218933,0.3684210526315789
L-LSPIN,lspin_tf,0.2,0.021,0.1,0,2,0.6608170603826705,2.4903846153846154,0.3333333333333333,2.9693047337278107,0.4246575342465753
L-LSPIN,lspin_tf,0.2,0.021,0.1,1,2,0.6232876706100087,3.1608727810650885,0.4647887323943662,2.4903846153846154,0.3333333333333333
L-LSPIN,lspin_tf,0.2,0.014,0.1,0,1,0.771829187120775,3.0650887573964494,0.4444444444444444,2.7777366863905324,0.3866666666666666
L-LSPIN,lspin_tf,0.2,0.014,0.1,0,2,0.7927214171014929,3.352440828402367,0.5072463768115942,3.256656804733728,0.4857142857142857
L-LSPIN,lspin_tf,0.2,0.014,0.1,1,2,0.8095586211265416,3.0650887573964494,0.4444444444444444,3.0650887573964494,0.4444444444444444
L-LSPIN,lspin_tf,0.2,0.0105,0.1,0,1,0.8472547302674979,3.927144970414201,0.6507936507936508,3.448224852071006,0.5294117647058824
L-LSPIN,lspin_tf,0.2,0.0105,0.1,0,2,0.7481931209158282,2.8735207100591715,0.4054054054054054,3.1608727810650885,0.4647887323943662
L-LSPIN,lspin_tf,0.2,0.0105,0.1,1,2,0.7851719614560614,3.1608727810650885,0.4647887323943662,3.1608727810650885,0.4647887323943662
L-LSPIN,lspin_tf,0.2,0.00875,0.1,0,1,0.8228657677652563,3.0650887573964494,0.4444444444444444,3.256656804733728,0.4857142857142857
L-LSPIN,lspin_tf,0.2,0.00875,0.1,0,2,0.7589139786328186,3.0650887573964494,0.4444444444444444,2.6819526627218933,0.3684210526315789
