model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft
L-Concrete,0.12,0.002,0.05,0.6684755013962934,0.0292813853640699,1147.1685791015625,60.90975097676037,0.9969553533554824,7.462966457113843e-05,2128.0,2015.3333333333333,3,1147.2652587890625,60.84643250377425
L-Concrete,0.12,0.002,0.1,0.7040175171363291,0.0154247528082449,1172.2535400390625,43.69094513968264,0.996130154913741,0.0008739682808677,2182.0,2084.0,3,1172.2993570963542,43.60660061273836
L-Concrete,0.12,0.0025,0.0,0.698971820258949,0.0135685150649881,588.9215087890625,38.09723970917301,0.9936785267634028,0.0011765399407606,1623.3333333333333,1312.0,3,588.9977823893229,38.24450948240984
L-Concrete,0.12,0.0025,0.025,0.685960903782686,0.0201239490438563,983.6267700195312,111.5947589521704,0.996557116976667,0.0004829648908492,1791.3333333333333,1708.6666666666667,3,983.6088053385416,111.60957688353356
L-Concrete,0.12,0.0025,0.05,0.7023673521198274,0.0153512270948324,993.4144490559896,72.10164792226844,0.996306143200406,0.0006054463004641,1864.0,1761.3333333333333,3,993.5287272135416,71.89541900803104
L-Concrete,0.12,0.0025,0.1,0.6981150038080731,0.0182387919252607,930.449178059896,124.36529343129736,0.995922714262808,0.0004088637599339,1881.6666666666667,1748.0,3,930.5721028645834,124.36742296677242
L-Concrete,0.12,0.003,0.0,0.6973930566133536,0.0111522871872371,442.18951416015625,101.99164709477172,0.9897360107392672,0.0043807375743916,1363.8333333333333,1054.4166666666667,12,442.3514455159505,102.14291442904012
L-Concrete,0.12,0.003,0.025,0.7022721502919523,0.0195644581945008,841.7052815755209,148.9472473121702,0.9950709273219672,0.0017423471723749,1679.3333333333333,1566.0,3,841.6872355143229,148.89897767794065
L-Concrete,0.12,0.003,0.05,0.7075717187103326,0.006064837158421,814.4993489583334,30.289077188249475,0.9956046091642824,0.0006553001217358,1529.0,1464.3333333333333,3,814.586181640625,30.26698054506347
L-Concrete,0.12,0.003,0.1,0.7115067275958366,0.0125998938835262,806.7593383789062,83.67688947033847,0.995988049076423,0.0005092341682481,1633.6666666666667,1554.6666666666667,3,806.8563639322916,83.673651493412
L-Concrete,0.12,0.004,0.0,0.6795189134298045,0.0185226486131358,325.20849609375,110.62979452696884,0.9876514119079912,0.0062922066672049,1162.0,850.0,3,325.5013682047526,110.85540844526238
L-Concrete,0.12,0.004,0.025,0.7268659558263518,0.0312888306194157,570.7129923502604,95.22980026022248,0.992805665951403,0.0012467639776668,1303.3333333333333,1114.6666666666667,3,570.9111836751302,95.33977453075354
L-Concrete,0.12,0.004,0.05,0.7040809850215791,0.0178671115278532,589.2741088867188,65.82429334088894,0.9930795419201264,0.0015930379430314,1274.6666666666667,1150.0,3,589.4163818359375,65.90930047175134
L-Concrete,0.12,0.004,0.1,0.7216298552932217,0.0231007191200419,576.5804443359375,13.600120794636576,0.9940048441596884,0.0006928146634028,1225.3333333333333,1119.3333333333333,3,576.6997273763021,13.634716808472328
L-Concrete,0.15,0.0015,0.0,0.6751713632901751,0.0082320685314194,1007.8957316080728,189.3755804343772,0.9955459759252986,0.0012795071447107,2416.6666666666665,2025.0,3,1008.0540364583334,189.4976347360748
L-Concrete,0.15,0.0015,0.025,0.7118240670220869,0.0186427932675209,1345.0849609375,67.29128549538464,0.9970590474084488,0.0010517971678167,2336.6666666666665,2295.0,3,1345.044189453125,67.31591078965998
L-Concrete,0.15,0.0015,0.05,0.6554645849200305,0.0365460957390089,1409.075927734375,148.6198955073199,0.997818966116841,9.166701420123994e-05,2496.0,2430.6666666666665,3,1409.1300455729167,148.6123623954458
L-Concrete,0.15,0.0015,0.1,0.6843742066514343,0.0143149279116863,1376.2869873046875,48.82455558593521,0.997389732828772,0.0005261089782266,2411.0,2356.6666666666665,3,1376.3149007161458,48.78211844887196
L-Concrete,0.15,0.002,0.0,0.6830413810611832,0.0501022476909025,924.3513590494792,132.2169898940655,0.9964474498513088,0.0010027722381703,2678.333333333333,2125.333333333333,3,925.2989908854166,132.93866780533733
