histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.7746478873239436,L-LSPIN,0.22,0.021,0.0,400123
kidneyclearcellrenalcarcinoma,156,0.6545493654549366,L-LSPIN,0.22,0.021,0.0,400123
kidneypapillaryrenalcellcarcinoma,84,0.8003072196620584,L-LSPIN,0.22,0.021,0.0,400123
kidneychromophobe,19,0.6901408450704225,L-LSPIN,0.22,0.021,0.0,400124
kidneyclearcellrenalcarcinoma,156,0.6932673693267369,L-LSPIN,0.22,0.021,0.0,400124
kidneypapillaryrenalcellcarcinoma,84,0.6835637480798771,L-LSPIN,0.22,0.021,0.0,400124
kidneychromophobe,19,0.676056338028169,L-LSPIN,0.22,0.021,0.0,400125
kidneyclearcellrenalcarcinoma,156,0.7227360722736073,L-LSPIN,0.22,0.021,0.0,400125
kidneypapillaryrenalcellcarcinoma,84,0.7373271889400922,L-LSPIN,0.22,0.021,0.0,400125
kidneychromophobe,19,0.8169014084507042,L-LSPIN,0.22,0.014,0.0,440123
kidneyclearcellrenalcarcinoma,156,0.6504624650462465,L-LSPIN,0.22,0.014,0.0,440123
kidneypapillaryrenalcellcarcinoma,84,0.7788018433179723,L-LSPIN,0.22,0.014,0.0,440123
kidneychromophobe,19,0.7323943661971831,L-LSPIN,0.22,0.014,0.0,440124
kidneyclearcellrenalcarcinoma,156,0.6425037642503765,L-LSPIN,0.22,0.014,0.0,440124
kidneypapillaryrenalcellcarcinoma,84,0.7926267281105991,L-LSPIN,0.22,0.014,0.0,440124
kidneychromophobe,19,0.6619718309859155,L-LSPIN,0.22,0.014,0.0,440125
kidneyclearcellrenalcarcinoma,156,0.6547644654764465,L-LSPIN,0.22,0.014,0.0,440125
kidneypapillaryrenalcellcarcinoma,84,0.847926267281106,L-LSPIN,0.22,0.014,0.0,440125
kidneychromophobe,19,0.7464788732394366,L-LSPIN,0.22,0.0105,0.0,480123
kidneyclearcellrenalcarcinoma,156,0.6405678640567865,L-LSPIN,0.22,0.0105,0.0,480123
kidneypapillaryrenalcellcarcinoma,84,0.7511520737327189,L-LSPIN,0.22,0.0105,0.0,480123
kidneychromophobe,19,0.6901408450704225,L-LSPIN,0.22,0.0105,0.0,480124
kidneyclearcellrenalcarcinoma,156,0.6476661647666164,L-LSPIN,0.22,0.0105,0.0,480124
kidneypapillaryrenalcellcarcinoma,84,0.8079877112135176,L-LSPIN,0.22,0.0105,0.0,480124
kidneychromophobe,19,0.7887323943661971,L-LSPIN,0.22,0.0105,0.0,480125
kidneyclearcellrenalcarcinoma,156,0.6708969670896967,L-LSPIN,0.22,0.0105,0.0,480125
kidneypapillaryrenalcellcarcinoma,84,0.8110599078341014,L-LSPIN,0.22,0.0105,0.0,480125
kidneychromophobe,19,0.7887323943661971,L-LSPIN,0.22,0.00875,0.0,520123
kidneyclearcellrenalcarcinoma,156,0.6209937620993762,L-LSPIN,0.22,0.00875,0.0,520123
kidneypapillaryrenalcellcarcinoma,84,0.8064516129032258,L-LSPIN,0.22,0.00875,0.0,520123
kidneychromophobe,19,0.7746478873239436,L-LSPIN,0.22,0.00875,0.0,520124
kidneyclearcellrenalcarcinoma,156,0.6366960636696064,L-LSPIN,0.22,0.00875,0.0,520124
kidneypapillaryrenalcellcarcinoma,84,0.7480798771121352,L-LSPIN,0.22,0.00875,0.0,520124
kidneychromophobe,19,0.7464788732394366,L-LSPIN,0.22,0.00875,0.0,520125
kidneyclearcellrenalcarcinoma,156,0.6594966659496666,L-LSPIN,0.22,0.00875,0.0,520125
kidneypapillaryrenalcellcarcinoma,84,0.7142857142857143,L-LSPIN,0.22,0.00875,0.0,520125
kidneychromophobe,19,0.704225352112676,L-LSPIN,0.22,0.007,0.0,560123
kidneyclearcellrenalcarcinoma,156,0.6956334695633469,L-LSPIN,0.22,0.007,0.0,560123
kidneypapillaryrenalcellcarcinoma,84,0.7619047619047619,L-LSPIN,0.22,0.007,0.0,560123
kidneychromophobe,19,0.7464788732394366,L-LSPIN,0.22,0.007,0.0,560124
kidneyclearcellrenalcarcinoma,156,0.6536889653688965,L-LSPIN,0.22,0.007,0.0,560124
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,L-LSPIN,0.22,0.007,0.0,560124
kidneychromophobe,19,0.7323943661971831,L-LSPIN,0.22,0.007,0.0,560125
kidneyclearcellrenalcarcinoma,156,0.6777801677780168,L-LSPIN,0.22,0.007,0.0,560125
kidneypapillaryrenalcellcarcinoma,84,0.7987711213517665,L-LSPIN,0.22,0.007,0.0,560125
kidneychromophobe,19,0.7323943661971831,L-LSPIN,0.2,0.021,0.0,600123
kidneyclearcellrenalcarcinoma,156,0.6625080662508066,L-LSPIN,0.2,0.021,0.0,600123
kidneypapillaryrenalcellcarcinoma,84,0.7465437788018433,L-LSPIN,0.2,0.021,0.0,600123
kidneychromophobe,19,0.7464788732394366,L-LSPIN,0.2,0.021,0.0,600124
kidneyclearcellrenalcarcinoma,156,0.6846633684663368,L-LSPIN,0.2,0.021,0.0,600124
kidneypapillaryrenalcellcarcinoma,84,0.7864823348694316,L-LSPIN,0.2,0.021,0.0,600124
kidneychromophobe,19,0.7605633802816901,L-LSPIN,0.2,0.021,0.0,600125
kidneyclearcellrenalcarcinoma,156,0.6169068616906862,L-LSPIN,0.2,0.021,0.0,600125
kidneypapillaryrenalcellcarcinoma,84,0.7972350230414746,L-LSPIN,0.2,0.021,0.0,600125
kidneychromophobe,19,0.7887323943661971,L-LSPIN,0.2,0.014,0.0,640123
kidneyclearcellrenalcarcinoma,156,0.6420735642073564,L-LSPIN,0.2,0.014,0.0,640123
kidneypapillaryrenalcellcarcinoma,84,0.8095238095238095,L-LSPIN,0.2,0.014,0.0,640123
kidneychromophobe,19,0.8169014084507042,L-LSPIN,0.2,0.014,0.0,640124
kidneyclearcellrenalcarcinoma,156,0.600559260055926,L-LSPIN,0.2,0.014,0.0,640124
kidneypapillaryrenalcellcarcinoma,84,0.7511520737327189,L-LSPIN,0.2,0.014,0.0,640124
kidneychromophobe,19,0.6056338028169014,L-LSPIN,0.2,0.014,0.0,640125
kidneyclearcellrenalcarcinoma,156,0.6489567648956764,L-LSPIN,0.2,0.014,0.0,640125
kidneypapillaryrenalcellcarcinoma,84,0.717357910906298,L-LSPIN,0.2,0.014,0.0,640125
kidneychromophobe,19,0.8309859154929577,L-LSPIN,0.2,0.0105,0.0,680123
kidneyclearcellrenalcarcinoma,156,0.6521832652183265,L-LSPIN,0.2,0.0105,0.0,680123
kidneypapillaryrenalcellcarcinoma,84,0.8571428571428571,L-LSPIN,0.2,0.0105,0.0,680123
kidneychromophobe,19,0.7887323943661971,L-LSPIN,0.2,0.0105,0.0,680124
kidneyclearcellrenalcarcinoma,156,0.6601419660141966,L-LSPIN,0.2,0.0105,0.0,680124
