family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
Concrete,nosmooth,Concrete nosmooth,ENSG00000099617,1,BRCA,1,1.0,0.634354293346405,2009.0,3.417008970559982,2.0860084282460623,1.33100054231392,1.0,ENSG00000099617,,,False
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,ENSG00000144331,1,BRCA,1,1.0,0.6109883189201355,1935.0,4.291344589916887,2.97844018301749,1.3129044068993965,1.0,ENSG00000144331,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000197696,1,LUAD,1,1.0,0.4318181872367859,1368.0,2.3628775298404983,1.0550550178232512,1.307822512017247,1.0,ENSG00000197696,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000121898,1,KIRC,1,1.0,0.6277233958244324,1988.0,3.359805239121232,2.052557401748718,1.3072478373725138,1.0,ENSG00000121898,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000141540,1,BRCA,1,1.0,0.4693813025951385,1487.0,4.0099328483610375,2.7152429429347977,1.2946899054262395,1.0,ENSG00000141540,,,False
Concrete,smooth,Concrete smooth,ENSG00000211592,1,BRCA,1,1.0,0.5648878812789917,1789.0,2.583977582394429,1.306839420429784,1.2771381619646451,1.0,ENSG00000211592,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000171658,1,LUAD,1,1.0,0.745580792427063,2362.0,4.1782828892021815,2.9064057676145163,1.2718771215876652,1.0,ENSG00000171658,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000073350,1,LGG,1,1.0,0.3589015007019043,1137.0,3.3716570441738605,2.105687295392946,1.2659697487809138,1.0,ENSG00000073350,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000169252,1,BRCA,1,1.0,0.99968421459198,3166.0,3.5366173176977185,2.2709820133444705,1.265635304353248,1.0,ENSG00000169252,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000140961,1,BRCA,1,1.0,0.9977896809577942,3160.0,4.221695678039243,2.956564897570747,1.265130780468496,1.0,ENSG00000140961,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000250786,1,KIRC,1,1.0,0.4647931754589081,1472.0,3.780689634973936,2.51980280970423,1.2608868252697052,1.0,ENSG00000250786,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000261068,1,BRCA,1,1.0,0.649936854839325,2059.0,3.197084500352371,1.937555534259785,1.259528966092586,1.0,ENSG00000261068,,,False
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,ENSG00000010810,1,BRCA,1,1.0,0.7312914133071899,2316.0,4.094303204778245,2.837064749852309,1.257238454925936,1.0,ENSG00000010810,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000106688,1,BRCA,1,1.0,0.6545626521110535,2073.0,2.4790319970973504,1.2257970540868763,1.253234943010474,1.0,ENSG00000106688,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000179292,1,BRCA,1,1.0,0.5623618364334106,1781.0,3.880252610447897,2.631572445458403,1.2486801649894943,1.0,ENSG00000179292,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000087842,1,BRCA,1,1.0,0.7496052980422974,2374.0,3.380725292716219,2.138636259284969,1.2420890334312498,1.0,PIR,pirin [Source:HGNC Symbol;Acc:HGNC:30048],,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000204839,1,BRCA,1,1.0,0.4207701981067657,1333.0,3.289473474699323,2.0776466058658745,1.2118268688334486,1.0,ENSG00000204839,,,False
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,ENSG00000241644,1,KIRC,1,1.0,0.6944444179534912,2200.0,3.38438834365557,2.176066923442155,1.2083214202134154,1.0,ENSG00000241644,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000121900,1,KIRC,1,1.0,0.4480580985546112,1419.0,2.5904883592330807,1.3981315450334597,1.192356814199621,1.0,ENSG00000121900,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000100302,1,BRCA,1,1.0,0.5940656661987305,1882.0,3.5768845574143064,2.397895513872399,1.1789890435419077,1.0,ENSG00000100302,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000128710,1,BRCA,1,1.0,0.6649826169013977,2106.0,2.6190619841818568,1.4444462645356535,1.1746157196462033,1.0,ENSG00000128710,,,False
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,ENSG00000198189,1,BRCA,1,1.0,0.9595959782600404,3040.0,3.0888961691618126,1.9210220582705908,1.1678741108912218,1.0,ENSG00000198189,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000127955,1,BRCA,1,1.0,0.8595328330993652,2723.0,3.427084645811996,2.2605222885992715,1.1665623572127246,1.0,GNAI1,G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384],,False
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,ENSG00000112303,1,BRCA,1,1.0,0.97568678855896,3090.0,2.9418109448347565,1.7763424824121326,1.165468462422624,1.0,ENSG00000112303,,,False
