family,selection,fold,rep,n_genes,fraction_gt_random_median,fraction_gt_random_p90,median_target_abs_neglog10_p,median_random_median_abs_neglog10_p,median_target_minus_random_median
L-LSPIN,smooth_lamx3_smooth0p1,1,1,272,0.5330882352941176,0.13602941176470587,1.0375082204572394,0.8924868710951912,0.1039261385424492
L-LSPIN,smooth_lamx3_smooth0p1,2,0,264,0.5378787878787878,0.12878787878787878,0.9577575562857196,0.9046544066386865,0.13498045674090653
L-LSPIN,smooth_lamx3_smooth0p1,2,1,262,0.48854961832061067,0.13358778625954199,0.8137884379580729,0.933903782120336,-0.04763234026851154
LSPIN,nosmooth_lamx3,0,0,381,0.5275590551181102,0.11548556430446194,0.7085880863411657,0.6947218423285406,0.042401087617724875
LSPIN,nosmooth_lamx3,0,1,442,0.5452488687782805,0.13800904977375567,0.7189225628978964,0.6664581276462338,0.1423757567680521
LSPIN,nosmooth_lamx3,1,0,395,0.5417721518987342,0.13164556962025317,0.7475666274814788,0.6752269910885959,0.06465193357903809
LSPIN,nosmooth_lamx3,1,1,304,0.5460526315789473,0.14802631578947367,0.8204867588766627,0.6787835022713844,0.13231699048046358
LSPIN,nosmooth_lamx3,2,0,352,0.4943181818181818,0.125,0.6812883943488652,0.8056868170062246,-0.0028674670974790095
LSPIN,nosmooth_lamx3,2,1,476,0.4789915966386555,0.09873949579831932,0.636261627834314,0.8056973320079659,-0.041306234883453724
LSPIN,smooth_lamx3_smooth0p1,0,0,500,0.516,0.098,0.8282841795604134,0.7977626212529938,0.05955775800871921
LSPIN,smooth_lamx3_smooth0p1,0,1,500,0.524,0.13,0.9197757305405172,0.8121594948283426,0.08900971778838324
LSPIN,smooth_lamx3_smooth0p1,1,0,500,0.522,0.114,0.8347521744805577,0.7845369938050111,0.0421440353994042
LSPIN,smooth_lamx3_smooth0p1,1,1,500,0.522,0.104,0.8618491359869812,0.7423276610020944,0.07710699012269207
LSPIN,smooth_lamx3_smooth0p1,2,0,500,0.5,0.13,0.9330012839463049,0.9282661807644565,-0.003992772549977153
LSPIN,smooth_lamx3_smooth0p1,2,1,500,0.462,0.084,0.8592780067912127,0.9385950178159306,-0.07926935574338229
