family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
Concrete,nosmooth_lamx3,Concrete nosmooth,F8,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.4564459919929504,131.0,0.4149819822402624,0.6361377492037226,-0.2211557669634601,0.0,F8,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,CTSL2,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.6009596917021163,0.822481295628281,-0.2215216039261647,0.0,CTSL2,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,WDR86,1,kidneyclearcellrenalcarcinoma,1,1.0,0.149825781583786,43.0,0.256059999267388,0.4777189219588478,-0.2216589226914597,0.0,WDR86,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,HIST1H2AE,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.5414336921623535,0.7646717276004895,-0.223238035438136,0.0,HIST1H2AE,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,PRSS21,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.9068779794636735,1.1303842106076156,-0.2235062311439419,0.0,PRSS21,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,EREG,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5644599199295044,162.0,0.9473475952871118,1.171374672368987,-0.2240270770818753,0.0,EREG,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,KRT13,1,kidneyclearcellrenalcarcinoma,1,1.0,0.0871080160140991,25.0,0.3145241329586536,0.5389629405750899,-0.2244388076164362,0.0,KRT13,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,BCL6B,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5505226254463196,158.0,0.5860806872421812,0.81152938080017,-0.2254486935579888,0.0,BCL6B,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,COMP,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.4355400800704956,125.0,0.1883407650738243,0.4139288576337999,-0.2255880925599755,0.0,COMP,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,CYP8B1,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.4529616832733154,130.0,0.280624106948502,0.5065480893735795,-0.2259239824250775,0.0,CYP8B1,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,DIO3,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.4146341383457184,119.0,0.3378523871761144,0.5644622475590633,-0.2266098603829488,0.0,DIO3,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,PRSS23,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7392184819934629,0.9663400289318758,-0.2271215469384129,0.0,PRSS23,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,CMYA5,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7541833268799683,0.9818185380223572,-0.2276352111423889,0.0,CMYA5,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,NPM2,1,kidneyclearcellrenalcarcinoma,1,1.0,0.1114982590079307,32.0,0.2121298723591856,0.4423175989710673,-0.2301877266118816,0.0,NPM2,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ADARB2,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5644599199295044,162.0,0.2233221860911444,0.4536974925849176,-0.2303753064937732,0.0,ADARB2,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,CCL16,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5574913024902344,160.0,0.7005091976060273,0.9328044978061484,-0.2322953002001212,0.0,CCL16,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,SNORD17,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.4355400800704956,125.0,0.0955859805916642,0.328051257808477,-0.2324652772168127,0.0,SNORD17,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,TFAP2B,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.4390243887901306,126.0,0.1525024001741108,0.3853565868317009,-0.2328541866575901,0.0,TFAP2B,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,KCNMB4,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.6375956484179858,0.8716754254428214,-0.2340797770248356,0.0,KCNMB4,,,False
