model_family,lambda_sample_smooth,lambda_sparse,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,n_pairs,mean_Khard
L-LSPIN,0.1,0.028,0.3277397083180466,1.7708742756361804,0.2191947653393079,1.8139707734945834,0.225857667641748,20,165.53054733276366
L-LSPIN,0.1,0.021,0.41955121061100764,1.970685311161502,0.2509645015503921,2.037288989669942,0.2614062174957169,20,203.0755630493164
L-LSPIN,0.1,0.014,0.5227735623888076,2.2018392542202068,0.28768519041388385,2.31153943058705,0.30652096165505377,20,331.12990417480466
L-LSPIN,0.1,0.0105,0.5786507429701164,2.4408289241622576,0.32942289559868854,2.436911060720585,0.32875306472766586,20,462.64405212402346
L-LSPIN,0.1,0.00875,0.5810528508667733,2.3350466112370873,0.3110115555959999,2.3468002015621066,0.3137698469484679,20,583.1717163085938
L-LSPIN,0.1,0.007,0.668927685488024,2.6641471403376165,0.37033242999665367,2.7777651801461327,0.39337209920347854,20,925.1186645507812
L-LSPIN,0.1,0.00525,0.7877412581368047,3.1342907533383726,0.4686563484592249,3.243990929705215,0.4909552163918933,20,1930.7575805664062
L-LSPIN,0.1,0.0035,0.8477608428596082,3.3928697404887886,0.5246110691076712,3.526077097505669,0.5572239773447771,20,3828.1543701171877
L-LSPIN,0.2,0.028,0.36465665036881323,1.8531494079113127,0.23272541361347582,1.8688208616780044,0.23538814579422027,20,172.20675201416014
L-LSPIN,0.2,0.021,0.4334325318595205,2.029453262786596,0.2595168759763723,2.045124716553288,0.2624066681862249,20,211.06816864013672
L-LSPIN,0.2,0.014,0.5011225279421978,2.1469891660367852,0.2790395782842124,2.1940035273368608,0.2870740212617348,20,314.3999969482422
L-LSPIN,0.2,0.0105,0.5365976318580165,2.2684429327286475,0.29941534076319165,2.393814562862182,0.32104705768122554,20,473.77845764160156
L-LSPIN,0.2,0.00875,0.6138631965062418,2.511350466112371,0.3425604083212542,2.6445578231292517,0.36730254647897204,20,614.0263732910156
L-LSPIN,0.2,0.007,0.6875975164265228,2.6876543209876544,0.37513477982603805,2.758175862937768,0.3885635201787292,20,951.1035339355469
L-LSPIN,0.2,0.00525,0.7918225018536544,3.15779793398841,0.47260770503879385,3.1342907533383726,0.4665096647560117,20,1894.5723510742187
L-LSPIN,0.2,0.0035,0.8457293431492886,3.338019652305367,0.5127332111504279,3.3928697404887886,0.5248965774222744,20,3708.7385498046874
L-LSPIN,0.4,0.028,0.4045036373814592,1.9902746283698665,0.25397536486009714,1.8649029982363317,0.23437973266552445,20,165.7337631225586
L-LSPIN,0.4,0.021,0.4124102621097533,1.9746031746031747,0.2509033474739592,1.8688208616780044,0.23489625163048009,20,210.74244384765626
L-LSPIN,0.4,0.014,0.5391266360329874,2.2958679768203583,0.30380747770899924,2.284114386495339,0.30262848009532894,20,323.7434051513672
L-LSPIN,0.4,0.0105,0.5686044557080951,2.393814562862182,0.3209261046950862,2.436911060720585,0.3293805253639634,20,484.2755615234375
L-LSPIN,0.4,0.00875,0.6276584207021414,2.5662005542957926,0.35198333580767394,2.617132779037541,0.36224985295822787,20,631.8009735107422
L-LSPIN,0.4,0.007,0.6878952457154519,2.8326152683295542,0.4032841467087261,2.6837364575459817,0.3747705440131335,20,932.0299011230469
L-LSPIN,0.4,0.00525,0.7867850857308613,3.0911942554799703,0.45773174270156386,3.165633660871756,0.47419252096134806,20,1767.0620727539062
L-LSPIN,0.4,0.0035,0.8414015875570845,3.3576089695137314,0.5165287694092165,3.412459057697153,0.5293908704025931,20,3923.315380859375
LSPIN,0.0,0.028,0.35986945204008836,1.8178886369362561,0.22667011020179578,1.9510959939531367,0.24777881160421295,20,71.74244422912598
LSPIN,0.0,0.021,0.41276020290453574,2.0020282186948855,0.25603040927035714,2.0137818090199042,0.25776994725847624,20,89.80771865844727
LSPIN,0.0,0.014,0.4140744635347714,1.95501385739481,0.2490606464733276,1.9902746283698665,0.2540891345155992,20,115.98134918212891
LSPIN,0.0,0.0105,0.4992771556971167,2.150907029478458,0.27981635159731005,2.260607205845301,0.299044930472089,20,146.73536911010743
LSPIN,0.0,0.00875,0.5243405389033928,2.2175107079868988,0.29157163191334456,2.252771478961955,0.29626263171871664,20,166.1160789489746
LSPIN,0.0,0.007,0.5702220435178297,2.362471655328798,0.31620368465601956,2.519186192995717,0.3442866209596844,20,216.96688385009764
LSPIN,0.0,0.00525,0.6280982153504485,2.5701184177374654,0.35292023255682575,2.632804232804233,0.3655519467008197,20,255.76044921875
LSPIN,0.0,0.0035,0.6639366195033842,2.8717939027462838,0.41132854891392656,2.726832955404384,0.382692214400375,20,365.0282928466797
LSPIN,0.1,0.028,0.3843224442627223,1.7826278659611994,0.22250075699678007,1.9275888133030992,0.24385623200901038,20,158.09389038085936
LSPIN,0.1,0.021,0.4355078075827574,2.0098639455782314,0.25684324497308486,1.9902746283698665,0.25471527524474735,20,190.21575622558595
LSPIN,0.1,0.014,0.4686729511170734,2.1940035273368608,0.28682802920794526,2.1234819853867473,0.2750696341683799,20,221.44276580810546
LSPIN,0.1,0.0105,0.5088405316419574,2.2214285714285715,0.2925900977390185,2.3507180650037793,0.31429931749913975,20,280.0125396728516
LSPIN,0.1,0.00875,0.5683422103324536,2.4447467876039304,0.33013636552936976,2.409486016628874,0.32522154186462,20,298.70482330322267
