model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.0105,0.1,1,3,0.8755064857367211
LSPIN,lspin_tf,mlp,0.0105,0.1,1,4,0.945449047120779
LSPIN,lspin_tf,mlp,0.0105,0.1,2,3,0.9319238654532668
LSPIN,lspin_tf,mlp,0.0105,0.1,2,4,0.8360591414199332
LSPIN,lspin_tf,mlp,0.0105,0.1,3,4,0.8520204595915383
LSPIN,lspin_tf,mlp,0.014,0.1,0,1,0.9015332228575904
LSPIN,lspin_tf,mlp,0.014,0.1,0,2,0.9388783073202558
LSPIN,lspin_tf,mlp,0.014,0.1,0,3,0.9015291211460338
LSPIN,lspin_tf,mlp,0.014,0.1,0,4,0.8933814626991416
LSPIN,lspin_tf,mlp,0.014,0.1,1,2,0.8793787154792164
LSPIN,lspin_tf,mlp,0.014,0.1,1,3,0.8981075216975364
LSPIN,lspin_tf,mlp,0.014,0.1,1,4,0.9443403147083672
LSPIN,lspin_tf,mlp,0.014,0.1,2,3,0.9326036363757654
LSPIN,lspin_tf,mlp,0.014,0.1,2,4,0.856944890406282
LSPIN,lspin_tf,mlp,0.014,0.1,3,4,0.8908239622984153
LSPIN,lspin_tf,mlp,0.021,0.1,0,1,0.8467809839732344
LSPIN,lspin_tf,mlp,0.021,0.1,0,2,0.8292877029506309
LSPIN,lspin_tf,mlp,0.021,0.1,0,3,0.7672111591365937
LSPIN,lspin_tf,mlp,0.021,0.1,0,4,0.7818475246968212
LSPIN,lspin_tf,mlp,0.021,0.1,1,2,0.9143190198122606
LSPIN,lspin_tf,mlp,0.021,0.1,1,3,0.8608189577471885
LSPIN,lspin_tf,mlp,0.021,0.1,1,4,0.8011761596473216
LSPIN,lspin_tf,mlp,0.021,0.1,2,3,0.8587022474785176
LSPIN,lspin_tf,mlp,0.021,0.1,2,4,0.8036367253952589
LSPIN,lspin_tf,mlp,0.021,0.1,3,4,0.7859224538859593
LSPIN,lspin_tf,mlp,0.028,0.1,0,1,0.8618127649573909
LSPIN,lspin_tf,mlp,0.028,0.1,0,2,0.7863775471284713
LSPIN,lspin_tf,mlp,0.028,0.1,0,3,0.8589406270305254
LSPIN,lspin_tf,mlp,0.028,0.1,0,4,0.9007872935849628
LSPIN,lspin_tf,mlp,0.028,0.1,1,2,0.8337299005080863
LSPIN,lspin_tf,mlp,0.028,0.1,1,3,0.8199271987885215
LSPIN,lspin_tf,mlp,0.028,0.1,1,4,0.8820080740521108
LSPIN,lspin_tf,mlp,0.028,0.1,2,3,0.8507475975253889
LSPIN,lspin_tf,mlp,0.028,0.1,2,4,0.8225486441293856
LSPIN,lspin_tf,mlp,0.028,0.1,3,4,0.8356036281934468
LSPIN,lspin_tf,mlp,0.0035,0.2,0,1,0.968855095388486
LSPIN,lspin_tf,mlp,0.0035,0.2,0,2,0.9441650760631513
LSPIN,lspin_tf,mlp,0.0035,0.2,0,3,0.9244967156538298
LSPIN,lspin_tf,mlp,0.0035,0.2,0,4,0.9000683339881896
LSPIN,lspin_tf,mlp,0.0035,0.2,1,2,0.9406242729927128
LSPIN,lspin_tf,mlp,0.0035,0.2,1,3,0.9236878923772414
LSPIN,lspin_tf,mlp,0.0035,0.2,1,4,0.8578382990285025
LSPIN,lspin_tf,mlp,0.0035,0.2,2,3,0.8797663526051192
LSPIN,lspin_tf,mlp,0.0035,0.2,2,4,0.8673430918148574
LSPIN,lspin_tf,mlp,0.0035,0.2,3,4,0.8757987113954683
LSPIN,lspin_tf,mlp,0.00525,0.2,0,1,0.9287703786659468
LSPIN,lspin_tf,mlp,0.00525,0.2,0,2,0.9004370312450132
LSPIN,lspin_tf,mlp,0.00525,0.2,0,3,0.934633382643986
LSPIN,lspin_tf,mlp,0.00525,0.2,0,4,0.8861981601031507
LSPIN,lspin_tf,mlp,0.00525,0.2,1,2,0.9573188911147028
LSPIN,lspin_tf,mlp,0.00525,0.2,1,3,0.9705789623117728
LSPIN,lspin_tf,mlp,0.00525,0.2,1,4,0.96123823326337
LSPIN,lspin_tf,mlp,0.00525,0.2,2,3,0.96130919163955
LSPIN,lspin_tf,mlp,0.00525,0.2,2,4,0.9625726458017344
LSPIN,lspin_tf,mlp,0.00525,0.2,3,4,0.9655229007351812
LSPIN,lspin_tf,mlp,0.007,0.2,0,1,0.9380129408248006
LSPIN,lspin_tf,mlp,0.007,0.2,0,2,0.944674226370036
LSPIN,lspin_tf,mlp,0.007,0.2,0,3,0.9052079648608848
LSPIN,lspin_tf,mlp,0.007,0.2,0,4,0.9337677640907928
LSPIN,lspin_tf,mlp,0.007,0.2,1,2,0.9442180783095137
LSPIN,lspin_tf,mlp,0.007,0.2,1,3,0.8572198003094446
LSPIN,lspin_tf,mlp,0.007,0.2,1,4,0.8842075948599245
LSPIN,lspin_tf,mlp,0.007,0.2,2,3,0.8519265968632189
LSPIN,lspin_tf,mlp,0.007,0.2,2,4,0.8610627981865923
LSPIN,lspin_tf,mlp,0.007,0.2,3,4,0.9190484950550531
LSPIN,lspin_tf,mlp,0.00875,0.2,0,1,0.9259005111638936
LSPIN,lspin_tf,mlp,0.00875,0.2,0,2,0.9492163520161512
LSPIN,lspin_tf,mlp,0.00875,0.2,0,3,0.8805923332089568
LSPIN,lspin_tf,mlp,0.00875,0.2,0,4,0.9413710886683248
LSPIN,lspin_tf,mlp,0.00875,0.2,1,2,0.9404206856347213
LSPIN,lspin_tf,mlp,0.00875,0.2,1,3,0.8564208292416267
LSPIN,lspin_tf,mlp,0.00875,0.2,1,4,0.8963421540221195
LSPIN,lspin_tf,mlp,0.00875,0.2,2,3,0.8941202371722101
LSPIN,lspin_tf,mlp,0.00875,0.2,2,4,0.9299412271315888
LSPIN,lspin_tf,mlp,0.00875,0.2,3,4,0.874666328955345
LSPIN,lspin_tf,mlp,0.0105,0.2,0,1,0.7701797663213263
LSPIN,lspin_tf,mlp,0.0105,0.2,0,2,0.8895964543027662
LSPIN,lspin_tf,mlp,0.0105,0.2,0,3,0.890735983966599
LSPIN,lspin_tf,mlp,0.0105,0.2,0,4,0.7913872106614778
LSPIN,lspin_tf,mlp,0.0105,0.2,1,2,0.9125542229576366
LSPIN,lspin_tf,mlp,0.0105,0.2,1,3,0.870668259554712
LSPIN,lspin_tf,mlp,0.0105,0.2,1,4,0.8906004226648337
LSPIN,lspin_tf,mlp,0.0105,0.2,2,3,0.9471269373677332
LSPIN,lspin_tf,mlp,0.0105,0.2,2,4,0.9161482195334868
LSPIN,lspin_tf,mlp,0.0105,0.2,3,4,0.9150941293367784
LSPIN,lspin_tf,mlp,0.014,0.2,0,1,0.8518150669595365
LSPIN,lspin_tf,mlp,0.014,0.2,0,2,0.9114297233091851
LSPIN,lspin_tf,mlp,0.014,0.2,0,3,0.8860974263620894
LSPIN,lspin_tf,mlp,0.014,0.2,0,4,0.8830682157116602
LSPIN,lspin_tf,mlp,0.014,0.2,1,2,0.841580117923396
LSPIN,lspin_tf,mlp,0.014,0.2,1,3,0.8256427842437165
LSPIN,lspin_tf,mlp,0.014,0.2,1,4,0.8760646501507208
LSPIN,lspin_tf,mlp,0.014,0.2,2,3,0.930388956396626
LSPIN,lspin_tf,mlp,0.014,0.2,2,4,0.9468894925826938
LSPIN,lspin_tf,mlp,0.014,0.2,3,4,0.931005215954474
LSPIN,lspin_tf,mlp,0.021,0.2,0,1,0.9090581675099072
LSPIN,lspin_tf,mlp,0.021,0.2,0,2,0.8713462312081337
LSPIN,lspin_tf,mlp,0.021,0.2,0,3,0.8738824917776759
LSPIN,lspin_tf,mlp,0.021,0.2,0,4,0.8658227050426677
LSPIN,lspin_tf,mlp,0.021,0.2,1,2,0.889179618154638
LSPIN,lspin_tf,mlp,0.021,0.2,1,3,0.9165875772668172
LSPIN,lspin_tf,mlp,0.021,0.2,1,4,0.8991170478010788
LSPIN,lspin_tf,mlp,0.021,0.2,2,3,0.8633018948611395
LSPIN,lspin_tf,mlp,0.021,0.2,2,4,0.8677952819800335
LSPIN,lspin_tf,mlp,0.021,0.2,3,4,0.8689816925697662
LSPIN,lspin_tf,mlp,0.028,0.2,0,1,0.7002292115173857
LSPIN,lspin_tf,mlp,0.028,0.2,0,2,0.8389898542521873
LSPIN,lspin_tf,mlp,0.028,0.2,0,3,0.7648455382925808
