model_family,gate_type,predictor,gate_sigma,temperature,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
Concrete,concrete,mlp,0.15,0.2,0.0055,0.2,870126,3,0.6448812448812449,0.8125,12,110.1414794921875,0.8871798453708049,2103.0,177.0,228.05886900156491
Concrete,concrete,mlp,0.15,0.2,0.0055,0.2,870127,4,0.5636363636363636,0.868421052631579,14,131.52732849121094,0.8896195490602906,4735.0,186.0,447.0281073905874
Concrete,concrete,mlp,0.15,0.2,0.0066,0.2,880123,0,0.5493857493857494,0.8865131578947368,11,110.03536987304688,0.8786260128940642,2995.0,162.0,288.0169089045139
Concrete,concrete,mlp,0.15,0.2,0.0066,0.2,880124,1,0.5937755937755937,0.7911184210526315,13,98.19935607910156,0.8300329937286132,5565.0,140.0,598.0062010725202
Concrete,concrete,mlp,0.15,0.2,0.0066,0.2,880125,2,0.5505323505323505,0.8470394736842105,13,95.51768493652344,0.8613039246740399,3395.0,162.0,314.32565533719657
Concrete,concrete,mlp,0.15,0.2,0.0066,0.2,880126,3,0.6244062244062244,0.837171052631579,13,114.04823303222656,0.846111656251131,5438.0,151.0,476.8675666572301
Concrete,concrete,mlp,0.15,0.2,0.0066,0.2,880127,4,0.5674037674037674,0.8305921052631579,12,115.09003448486328,0.8839441646883499,2917.0,165.0,283.19250432492555
Concrete,concrete,mlp,0.15,0.2,0.0011,0.4,890123,0,0.5963963963963964,0.8536184210526315,10,990.1029052734376,0.9779319571155972,4970.0,1451.0,1356.5245783057846
Concrete,concrete,mlp,0.15,0.2,0.0011,0.4,890124,1,0.6127764127764128,0.8865131578947368,8,958.7106323242188,0.9827603026964484,6083.0,1652.0,1516.385409031613
Concrete,concrete,mlp,0.15,0.2,0.0011,0.4,890125,2,0.6294840294840295,0.84375,10,941.2990112304688,0.9767181670923027,4960.0,1550.0,1402.79463150982
Concrete,concrete,mlp,0.15,0.2,0.0011,0.4,890126,3,0.6343980343980344,0.8733552631578947,8,1029.41796875,0.9840650601931508,6041.0,1962.0,1747.7042835673217
Concrete,concrete,mlp,0.15,0.2,0.0011,0.4,890127,4,0.6853398853398853,0.8832236842105263,11,1077.0128173828125,0.979343340454448,4473.0,1785.0,1568.9948641669228
Concrete,concrete,mlp,0.15,0.2,0.00165,0.4,900123,0,0.5698607698607698,0.8601973684210527,10,569.3633422851562,0.9642357881392164,3509.0,863.0,845.9941597033666
Concrete,concrete,mlp,0.15,0.2,0.00165,0.4,900124,1,0.5873873873873874,0.875,8,683.491943359375,0.97762911636162,7080.0,1155.0,1179.7976444355554
Concrete,concrete,mlp,0.15,0.2,0.00165,0.4,900125,2,0.6022932022932023,0.8536184210526315,9,662.6688232421875,0.973192269294015,5253.0,1040.0,1043.4353478522069
Concrete,concrete,mlp,0.15,0.2,0.00165,0.4,900126,3,0.6322686322686323,0.8519736842105263,9,612.337646484375,0.9761693931026368,4348.0,1036.0,983.5602219478036
Concrete,concrete,mlp,0.15,0.2,0.00165,0.4,900127,4,0.6681408681408681,0.850328947368421,9,584.90673828125,0.9722582167277208,3247.0,1085.0,944.4950669135518
Concrete,concrete,mlp,0.15,0.2,0.0022,0.4,910123,0,0.64995904995905,0.8305921052631579,8,511.93890380859375,0.9617751844067144,6742.0,867.0,1008.8874896872652
Concrete,concrete,mlp,0.15,0.2,0.0022,0.4,910124,1,0.6147420147420147,0.8470394736842105,8,427.4469604492188,0.9653107713576048,5481.0,710.0,830.7378382417911
Concrete,concrete,mlp,0.15,0.2,0.0022,0.4,910125,2,0.5977067977067977,0.8634868421052632,11,405.0450134277344,0.9526843041185954,2528.0,619.0,589.337268055592
Concrete,concrete,mlp,0.15,0.2,0.0022,0.4,910126,3,0.6388206388206388,0.8667763157894737,10,401.0450134277344,0.9597238338392756,3358.0,621.0,621.3131706075372
Concrete,concrete,mlp,0.15,0.2,0.0022,0.4,910127,4,0.5891891891891892,0.8634868421052632,8,482.6077270507813,0.9725694351106596,6873.0,858.0,969.024091386138
Concrete,concrete,mlp,0.15,0.2,0.00275,0.4,920123,0,0.5693693693693693,0.8914473684210527,8,365.2990417480469,0.9580600306959318,3751.0,708.0,726.5987086680548
Concrete,concrete,mlp,0.15,0.2,0.00275,0.4,920124,1,0.6086814086814086,0.8865131578947368,9,282.8746032714844,0.947484323769108,2875.0,473.0,508.9313801149765
Concrete,concrete,mlp,0.15,0.2,0.00275,0.4,920125,2,0.6443898443898444,0.8470394736842105,9,331.9742736816406,0.9596070221061962,5854.0,548.0,733.3011022923117
