model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,mlp,0.021,0.2,0,3,0.4948406739357301,0.5161855970340222
LSPIN,lspin_tf,mlp,0.021,0.2,0,4,0.6196019207703267,0.5885182548973534
LSPIN,lspin_tf,mlp,0.021,0.2,1,2,0.7370020933109614,0.6881841778512746
LSPIN,lspin_tf,mlp,0.021,0.2,1,3,0.3999477063128761,0.4637104505239839
LSPIN,lspin_tf,mlp,0.021,0.2,1,4,0.640845567449649,0.567437876447012
LSPIN,lspin_tf,mlp,0.021,0.2,2,3,0.4741683838228505,0.5092706703703151
LSPIN,lspin_tf,mlp,0.021,0.2,2,4,0.6495220315005933,0.5980629633779064
LSPIN,lspin_tf,mlp,0.021,0.2,3,4,0.3983767688839117,0.4563143879156686
LSPIN,lspin_tf,mlp,0.028,0.2,0,1,0.3649904707053387,0.4018043981403401
LSPIN,lspin_tf,mlp,0.028,0.2,0,2,0.4442051875980358,0.4523642426602919
LSPIN,lspin_tf,mlp,0.028,0.2,0,3,0.6655475120538709,0.6063508690887929
LSPIN,lspin_tf,mlp,0.028,0.2,0,4,0.3065873184355591,0.4076032574774001
LSPIN,lspin_tf,mlp,0.028,0.2,1,2,0.363891838117017,0.3867841900756353
LSPIN,lspin_tf,mlp,0.028,0.2,1,3,0.4110310789189718,0.4841951088670446
LSPIN,lspin_tf,mlp,0.028,0.2,1,4,0.4537092314490197,0.4948199649104199
LSPIN,lspin_tf,mlp,0.028,0.2,2,3,0.4516898290056547,0.4522864532024426
LSPIN,lspin_tf,mlp,0.028,0.2,2,4,0.3365962499587536,0.4577401147249522
LSPIN,lspin_tf,mlp,0.028,0.2,3,4,0.3236421159424121,0.3973913933551798
LSPIN,lspin_tf,mlp,0.0035,0.4,0,1,0.5043607038549032,0.5322337523463043
LSPIN,lspin_tf,mlp,0.0035,0.4,0,2,0.3693269255198189,0.4374495937513589
LSPIN,lspin_tf,mlp,0.0035,0.4,0,3,0.5557364355458945,0.5799793114574648
LSPIN,lspin_tf,mlp,0.0035,0.4,0,4,0.5227417267002712,0.5819253676618489
LSPIN,lspin_tf,mlp,0.0035,0.4,1,2,0.5313601358393174,0.574134302262411
LSPIN,lspin_tf,mlp,0.0035,0.4,1,3,0.5199879877695104,0.5682041132726682
LSPIN,lspin_tf,mlp,0.0035,0.4,1,4,0.5019134564642616,0.5216580098046204
LSPIN,lspin_tf,mlp,0.0035,0.4,2,3,0.586144938653724,0.5892169246453807
LSPIN,lspin_tf,mlp,0.0035,0.4,2,4,0.4012436562512846,0.4603258489832347
LSPIN,lspin_tf,mlp,0.0035,0.4,3,4,0.4466571101521557,0.5087052911416019
LSPIN,lspin_tf,mlp,0.00525,0.4,0,1,0.4285808299351743,0.4343493642320645
LSPIN,lspin_tf,mlp,0.00525,0.4,0,2,0.5807836699668842,0.6073099926710831
LSPIN,lspin_tf,mlp,0.00525,0.4,0,3,0.5813105025790704,0.5279326509083195
LSPIN,lspin_tf,mlp,0.00525,0.4,0,4,0.7082880599960957,0.6244537394207005
LSPIN,lspin_tf,mlp,0.00525,0.4,1,2,0.5637447622858348,0.5220089505010025
LSPIN,lspin_tf,mlp,0.00525,0.4,1,3,0.5359894984112248,0.4974418057264803
LSPIN,lspin_tf,mlp,0.00525,0.4,1,4,0.5482389185940314,0.5404093469130902
LSPIN,lspin_tf,mlp,0.00525,0.4,2,3,0.5840664765249701,0.5476703031899179
LSPIN,lspin_tf,mlp,0.00525,0.4,2,4,0.6035203519926341,0.5666676567815409
LSPIN,lspin_tf,mlp,0.00525,0.4,3,4,0.6332109395145326,0.5512543612308838
LSPIN,lspin_tf,mlp,0.007,0.4,0,1,0.6272478311556309,0.6082057448204875
LSPIN,lspin_tf,mlp,0.007,0.4,0,2,0.554244212594735,0.5298992176634552
LSPIN,lspin_tf,mlp,0.007,0.4,0,3,0.5060252513315925,0.5415716546727177
LSPIN,lspin_tf,mlp,0.007,0.4,0,4,0.6012500934312651,0.626945740496637
LSPIN,lspin_tf,mlp,0.007,0.4,1,2,0.6442664127025013,0.5826329494527982
LSPIN,lspin_tf,mlp,0.007,0.4,1,3,0.4698003864500842,0.5229437363791066
LSPIN,lspin_tf,mlp,0.007,0.4,1,4,0.6323028103360592,0.5564144426948875
LSPIN,lspin_tf,mlp,0.007,0.4,2,3,0.4365654948395203,0.4884024553865068
LSPIN,lspin_tf,mlp,0.007,0.4,2,4,0.7799570381856146,0.7032761931786293
LSPIN,lspin_tf,mlp,0.007,0.4,3,4,0.4435863106740844,0.5029370705284024
LSPIN,lspin_tf,mlp,0.00875,0.4,0,1,0.6303402829775743,0.5887867939880007
LSPIN,lspin_tf,mlp,0.00875,0.4,0,2,0.5296338515207436,0.5554998531279582
LSPIN,lspin_tf,mlp,0.00875,0.4,0,3,0.3609389011857769,0.3971638867124954
LSPIN,lspin_tf,mlp,0.00875,0.4,0,4,0.5477564701402153,0.5381063777796135
LSPIN,lspin_tf,mlp,0.00875,0.4,1,2,0.5983477343088545,0.5477907827767378
LSPIN,lspin_tf,mlp,0.00875,0.4,1,3,0.4573162552171019,0.4285183806431976
LSPIN,lspin_tf,mlp,0.00875,0.4,1,4,0.5267432753073731,0.4957059786872035
LSPIN,lspin_tf,mlp,0.00875,0.4,2,3,0.5765758142643128,0.5272634977129276
LSPIN,lspin_tf,mlp,0.00875,0.4,2,4,0.5204782797542766,0.5409705828478477
LSPIN,lspin_tf,mlp,0.00875,0.4,3,4,0.5111773826264472,0.5704413575454542
LSPIN,lspin_tf,mlp,0.0105,0.4,0,1,0.5581700158246982,0.5640623898360748
LSPIN,lspin_tf,mlp,0.0105,0.4,0,2,0.6688858652783699,0.6137885438710221
LSPIN,lspin_tf,mlp,0.0105,0.4,0,3,0.7259771059328941,0.6710011885931181
LSPIN,lspin_tf,mlp,0.0105,0.4,0,4,0.6334991270180472,0.5908876764946753
LSPIN,lspin_tf,mlp,0.0105,0.4,1,2,0.5566435638194702,0.5483910025924708
LSPIN,lspin_tf,mlp,0.0105,0.4,1,3,0.514722685406934,0.4955134933337679
LSPIN,lspin_tf,mlp,0.0105,0.4,1,4,0.5969220322174622,0.5775980008036695
LSPIN,lspin_tf,mlp,0.0105,0.4,2,3,0.5958220542660156,0.5264426825176847
