model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs
L-LSPIN,0.0,0.028,50.84180030822754,23.662773714117094,0.5738738738738738,0.04858222225549465,0.8295932625952934,0.0475082640874527,1403.0,123.7,182.5108498820793,10
L-LSPIN,0.0,0.021,66.62701034545898,26.486429233788442,0.5946764946764946,0.0480123741441083,0.8612943645341519,0.042131357249050455,1761.1,165.8,233.14771238272905,10
L-LSPIN,0.0,0.014,76.66559562683105,18.18226742590877,0.5647338247338247,0.03688249247801922,0.8843160388569015,0.022038391430839903,1991.3,228.1,323.96463498452056,10
L-LSPIN,0.0,0.0105,104.52411727905273,23.677261597976823,0.6091072891072891,0.03526886289984607,0.9157008519510142,0.012211501758558754,2497.5,342.1,474.0216140650691,10
L-LSPIN,0.0,0.00875,118.63633422851562,23.56694522620467,0.629009009009009,0.030711979853706422,0.9233160734507667,0.011735022385413562,2604.9,395.3,520.935114868455,10
L-LSPIN,0.0,0.007,141.3803840637207,22.424694631800868,0.6055528255528255,0.03213605873556228,0.9334416202925901,0.010992994297361742,2881.0,478.6,608.1936387690299,10
L-LSPIN,0.0,0.00525,168.41543426513672,18.444171560574468,0.6164619164619165,0.02121986710290781,0.9428025516446823,0.008648695989086892,3129.1,606.8,756.7812143275091,10
L-LSPIN,0.0,0.0035,256.46752166748047,60.31233915139552,0.6479934479934479,0.03388609771534763,0.9561308828604398,0.00812162427659948,3932.2,924.2,1056.0756375551168,10
L-LSPIN,0.1,0.028,165.53054733276366,56.83822147162471,0.6183456183456183,0.04663579851523106,0.8900304805114312,0.031479313967542895,1090.4,197.1,204.79457622688594,10
L-LSPIN,0.1,0.021,203.0755630493164,34.246302193137645,0.6024733824733824,0.03484137681329288,0.9208079198659789,0.011739897900984574,1206.2,252.0,253.17954685082472,10
L-LSPIN,0.1,0.014,331.12990417480466,26.91884395886221,0.6108271908271907,0.033171269989995936,0.9444204764852794,0.00683930853290428,1881.7,432.6,426.9541244926727,10
L-LSPIN,0.1,0.0105,462.64405212402346,53.20133600092547,0.6123669123669123,0.039140985121633054,0.9588486582606854,0.00925011517882586,1999.0,633.4,594.4648647406704,10
L-LSPIN,0.1,0.00875,583.1717163085938,49.76786684840329,0.6301228501228502,0.027418084891290384,0.9694549751039776,0.003778097243559653,2219.2,825.6,753.5661272281762,10
L-LSPIN,0.1,0.007,925.1186645507812,158.1552694453677,0.6418018018018018,0.03705463991819791,0.980407202855465,0.004384810981012978,2946.4,1345.4,1208.5033990766174,10
L-LSPIN,0.1,0.00525,1930.7575805664062,457.4125144447339,0.6552661752661753,0.03335300992878199,0.9922689032179506,0.002638108927966865,4310.8,3133.3,2689.9718800303613,10
L-LSPIN,0.1,0.0035,3828.1543701171877,466.59275266504363,0.6692874692874693,0.01379081084391842,0.9973905467233708,0.0006219841088749732,7665.5,6977.9,5733.748960394681,10
L-LSPIN,0.2,0.028,172.20675201416014,47.231250673094834,0.5607043407043407,0.03379742938708985,0.8954979435607353,0.02755489155076016,1045.3,205.2,211.15513990989695,10
L-LSPIN,0.2,0.021,211.06816864013672,37.56907521061408,0.5896805896805897,0.05025714811764937,0.917503690256682,0.0163360713126331,1281.0,259.9,263.82307495123405,10
L-LSPIN,0.2,0.014,314.3999969482422,29.84732404477981,0.6025716625716626,0.026280957991154263,0.9449836089409601,0.00684288280558828,1763.1,416.5,407.43663239013733,10
L-LSPIN,0.2,0.0105,473.77845764160156,75.66781954740004,0.6143161343161343,0.03751553818904643,0.9609045566945815,0.007503870344701515,2170.3,646.9,610.1432763096965,10
L-LSPIN,0.2,0.00875,614.0263732910156,102.32354259932275,0.6193120393120394,0.03411908875317852,0.9695485836859739,0.007817809078563451,2330.6,852.4,790.7433114318248,10
L-LSPIN,0.2,0.007,951.1035339355469,176.41046297466855,0.6528910728910728,0.01971877778119137,0.9810092604029486,0.004642171720282894,3004.1,1380.0,1242.8444398663053,10
L-LSPIN,0.2,0.00525,1894.5723510742187,425.03684134027117,0.6557575757575758,0.01819045703903897,0.9925028521323849,0.0025647023981082576,4516.9,3176.8,2685.2487870211157,10
L-LSPIN,0.2,0.0035,3708.7385498046874,306.9028798145516,0.667960687960688,0.02489803798671633,0.9972559536275124,0.00044382320017551335,7326.7,6630.6,5452.282278164183,10
L-LSPIN,0.4,0.028,165.7337631225586,37.02108246678224,0.601998361998362,0.0476460361749354,0.8947975990381274,0.02178768691827044,1185.7,201.2,210.99801598581593,10
L-LSPIN,0.4,0.021,210.74244384765626,20.179603985852058,0.5810647010647011,0.04556237645253175,0.9194336603179002,0.009617218509614665,1140.1,258.3,258.67660161594415,10
L-LSPIN,0.4,0.014,323.7434051513672,36.8696015617171,0.5891236691236691,0.03792414615603477,0.9449338410640242,0.007042607050443371,1610.5,431.8,415.2623746872803,10
L-LSPIN,0.4,0.0105,484.2755615234375,33.75606050546859,0.6024406224406225,0.01954368513036564,0.9641040265568757,0.005268983150824732,2106.8,663.7,623.9006026658224,10
L-LSPIN,0.4,0.00875,631.8009735107422,95.1912072501101,0.6141687141687141,0.03324638976045007,0.9707144470874856,0.005446642118608318,2317.0,856.7,800.5746231716447,10
L-LSPIN,0.4,0.007,932.0299011230469,176.75215351749569,0.6432268632268633,0.023983219261663694,0.9809643218318447,0.004879565425580513,2546.9,1347.1,1206.7300257999393,10
L-LSPIN,0.4,0.00525,1767.0620727539062,212.77649441733953,0.6580180180180181,0.019211896453228166,0.9921636191104174,0.0011861159752704377,4268.2,2926.1,2475.978665632644,10
L-LSPIN,0.4,0.0035,3923.315380859375,520.7680471614342,0.668992628992629,0.020526396549845026,0.9973707146242308,0.0007193184093018415,7644.0,6962.1,5758.599006444819,10
LSPIN,0.0,0.028,71.74244422912598,35.761656895675216,0.5684029484029484,0.04455788990709861,0.8685541642441436,0.053851792328867554,1620.8,172.2,221.69089812716228,10
LSPIN,0.0,0.021,89.80771865844727,47.422764449008916,0.5674856674856674,0.053982378431220036,0.8979747285290515,0.04642195518110823,1987.3,247.6,312.9962684206961,10
LSPIN,0.0,0.014,115.98134918212891,37.9707075904716,0.5925962325962326,0.040531103008368506,0.9253469995436875,0.02294167266651466,2311.7,334.6,400.56231192747634,10
LSPIN,0.0,0.0105,146.73536911010743,51.797594511777675,0.6035380835380836,0.03925437880128748,0.9448810962614222,0.016010536193841008,2775.7,469.3,561.0468888179877,10
LSPIN,0.0,0.00875,166.1160789489746,59.835513168924535,0.6102866502866503,0.026835446373363058,0.9522928624274988,0.012917997765229118,2893.2,552.4,628.9697985641235,10
LSPIN,0.0,0.007,216.96688385009764,72.74338935752394,0.6021621621621621,0.025098547017098332,0.962696189508469,0.011455956550070484,3387.8,753.7,823.1304567490652,10
LSPIN,0.0,0.00525,255.76044921875,67.62526716135338,0.6210810810810811,0.035892387355561224,0.9693844989235926,0.008077882450197684,3868.9,951.9,1055.9406534004534,10
LSPIN,0.0,0.0035,365.0282928466797,81.55364553979284,0.6412285012285012,0.026933499105426736,0.9804207263221235,0.003823865249207833,5049.5,1397.2,1513.0894614528238,10
LSPIN,0.1,0.028,158.09389038085936,64.51850698886649,0.5904176904176903,0.040411362788389735,0.9082950583797219,0.03386481541494808,1445.7,238.3,243.91208195186945,10
