histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
other,23,0.4594594594594595,LSPIN,mlp,0.021,0.0,70124
infiltratingductalcarcinoma,220,0.6222585924713584,LSPIN,mlp,0.021,0.0,70125
infiltratinglobularcarcinoma,60,0.6931216931216931,LSPIN,mlp,0.021,0.0,70125
other,23,0.5135135135135135,LSPIN,mlp,0.021,0.0,70125
infiltratingductalcarcinoma,220,0.5797054009819967,LSPIN,mlp,0.021,0.0,70126
infiltratinglobularcarcinoma,60,0.6190476190476191,LSPIN,mlp,0.021,0.0,70126
other,23,0.5405405405405406,LSPIN,mlp,0.021,0.0,70126
infiltratingductalcarcinoma,220,0.5833060556464812,LSPIN,mlp,0.021,0.0,70127
infiltratinglobularcarcinoma,60,0.291005291005291,LSPIN,mlp,0.021,0.0,70127
other,23,0.4594594594594595,LSPIN,mlp,0.021,0.0,70127
infiltratingductalcarcinoma,220,0.6013093289689034,LSPIN,mlp,0.028,0.0,80123
infiltratinglobularcarcinoma,60,0.582010582010582,LSPIN,mlp,0.028,0.0,80123
other,23,0.4864864864864865,LSPIN,mlp,0.028,0.0,80123
infiltratingductalcarcinoma,220,0.6343698854337152,LSPIN,mlp,0.028,0.0,80124
infiltratinglobularcarcinoma,60,0.3492063492063492,LSPIN,mlp,0.028,0.0,80124
other,23,0.5675675675675675,LSPIN,mlp,0.028,0.0,80124
infiltratingductalcarcinoma,220,0.5355155482815057,LSPIN,mlp,0.028,0.0,80125
infiltratinglobularcarcinoma,60,0.2857142857142857,LSPIN,mlp,0.028,0.0,80125
other,23,0.5405405405405406,LSPIN,mlp,0.028,0.0,80125
infiltratingductalcarcinoma,220,0.5829787234042553,LSPIN,mlp,0.028,0.0,80126
infiltratinglobularcarcinoma,60,0.5978835978835979,LSPIN,mlp,0.028,0.0,80126
other,23,0.6486486486486487,LSPIN,mlp,0.028,0.0,80126
infiltratingductalcarcinoma,220,0.5273322422258593,LSPIN,mlp,0.028,0.0,80127
infiltratinglobularcarcinoma,60,0.4074074074074074,LSPIN,mlp,0.028,0.0,80127
other,23,0.4324324324324324,LSPIN,mlp,0.028,0.0,80127
infiltratingductalcarcinoma,220,0.602291325695581,LSPIN,mlp,0.0035,0.1,90123
infiltratinglobularcarcinoma,60,0.5555555555555556,LSPIN,mlp,0.0035,0.1,90123
other,23,0.5135135135135135,LSPIN,mlp,0.0035,0.1,90123
infiltratingductalcarcinoma,220,0.6075286415711948,LSPIN,mlp,0.0035,0.1,90124
infiltratinglobularcarcinoma,60,0.582010582010582,LSPIN,mlp,0.0035,0.1,90124
other,23,0.5405405405405406,LSPIN,mlp,0.0035,0.1,90124
infiltratingductalcarcinoma,220,0.6294599018003273,LSPIN,mlp,0.0035,0.1,90125
infiltratinglobularcarcinoma,60,0.5873015873015873,LSPIN,mlp,0.0035,0.1,90125
other,23,0.6216216216216216,LSPIN,mlp,0.0035,0.1,90125
infiltratingductalcarcinoma,220,0.6104746317512275,LSPIN,mlp,0.0035,0.1,90126
infiltratinglobularcarcinoma,60,0.544973544973545,LSPIN,mlp,0.0035,0.1,90126
other,23,0.5675675675675675,LSPIN,mlp,0.0035,0.1,90126
infiltratingductalcarcinoma,220,0.6631751227495908,LSPIN,mlp,0.0035,0.1,90127
infiltratinglobularcarcinoma,60,0.7037037037037037,LSPIN,mlp,0.0035,0.1,90127
other,23,0.5675675675675675,LSPIN,mlp,0.0035,0.1,90127
