model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
Concrete,0.4,0.0022,0.8492810485700482,0.8478177087696405,20,408.7961395263672
Concrete,0.4,0.00165,0.9000953464555808,0.9154210577019818,20,607.0337585449219
Concrete,0.4,0.0011,0.8283627358837696,0.9286335544199957,20,975.0868103027344
L-Concrete,0.0,0.0066,0.8090378342240776,0.8128374007128368,20,76.2250804901123
L-Concrete,0.0,0.0055,0.8168803965541365,0.8441977925351688,20,92.91189727783203
L-Concrete,0.0,0.0044,0.8109508663560279,0.8251204610999925,20,115.40739517211914
L-Concrete,0.0,0.0033,0.8584046486601565,0.8630935616039512,20,145.92411575317382
L-Concrete,0.0,0.00275,0.8612529888281534,0.8773100115793508,20,197.62540283203126
L-Concrete,0.0,0.0022,0.8679351862210247,0.8758367845252739,20,229.109326171875
L-Concrete,0.0,0.00165,0.906103638566527,0.9065261416947322,20,370.35691223144534
L-Concrete,0.0,0.0011,0.8955555474863035,0.8897785740556252,20,572.754019165039
L-Concrete,0.1,0.0066,0.9036226704016087,0.9050698106671096,20,152.09131774902343
L-Concrete,0.1,0.0055,0.924096546727845,0.9335059333532354,20,236.70836181640624
L-Concrete,0.1,0.0044,0.875906297992638,0.8840182390491348,20,365.45884399414064
L-Concrete,0.1,0.0033,0.8639292884393622,0.8738440790101858,20,683.8160705566406
L-Concrete,0.1,0.00275,0.9162530951907089,0.926369620563319,20,904.9678466796875
L-Concrete,0.1,0.0022,0.9492941935234821,0.9576603920898255,20,1272.6964599609375
L-Concrete,0.1,0.00165,0.963506272854524,0.9784610985163037,20,2028.68681640625
L-Concrete,0.1,0.0011,0.9698993446863563,0.9832241412513659,20,3341.6157958984377
L-Concrete,0.2,0.0066,0.8958225349251308,0.9228188302869031,20,220.01703948974608
L-Concrete,0.2,0.0055,0.8283468733517741,0.8776487741556833,20,285.2115783691406
L-Concrete,0.2,0.0044,0.9104222716633433,0.9150719959364764,20,465.4443725585937
L-Concrete,0.2,0.0033,0.8627672374384618,0.8818689734560975,20,765.0829528808594
L-Concrete,0.2,0.00275,0.9174306416986188,0.9405814056442037,20,979.3434143066406
L-Concrete,0.2,0.0022,0.9320259136046962,0.9373075035285067,20,1361.219921875
L-Concrete,0.2,0.00165,0.9701951340301047,0.9711258143893572,20,2051.196142578125
L-Concrete,0.2,0.0011,0.9771115624284101,0.9828104327094211,20,3358.24404296875
L-Concrete,0.4,0.0066,0.8268680508613055,0.8749371627295135,20,245.88199615478516
L-Concrete,0.4,0.0055,0.8662475635235978,0.8695796225707063,20,323.67974548339845
L-Concrete,0.4,0.0044,0.8657937196738995,0.8675362603743654,20,476.6864959716797
L-Concrete,0.4,0.0033,0.8954274826773277,0.9045553124534851,20,754.9916381835938
L-Concrete,0.4,0.00275,0.8676252538136234,0.8832900907352841,20,1004.2157592773438
L-Concrete,0.4,0.0022,0.9501957730346489,0.949887683583781,20,1362.5228271484375
L-Concrete,0.4,0.00165,0.9452407627175397,0.9685342352646216,20,2053.2803955078125
L-Concrete,0.4,0.0011,0.9298372669567894,0.975614554874342,20,3510.9135009765623
L-LSPIN,0.0,0.028,0.6743482516921729,0.6840408111313234,20,50.84180030822754
L-LSPIN,0.0,0.021,0.7311788012204656,0.7289896805789527,20,66.62701034545898
L-LSPIN,0.0,0.014,0.7672907444685252,0.7695407069963895,20,76.66559562683105
L-LSPIN,0.0,0.0105,0.8286287047778863,0.8338240138757647,20,104.52411727905273
L-LSPIN,0.0,0.00875,0.8122540931094511,0.8129960212879012,20,118.63633422851562
L-LSPIN,0.0,0.007,0.8452431606365856,0.8438915313676252,20,141.3803840637207
L-LSPIN,0.0,0.00525,0.834783296087776,0.8444855632968955,20,168.41543426513672
L-LSPIN,0.0,0.0035,0.8438685624204554,0.8358070808524385,20,256.46752166748047
L-LSPIN,0.1,0.028,0.6867339856269629,0.6722174331439303,20,165.53054733276366
