model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.5356981535621259,2.429075333837239,0.3263157894736842,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,0.5410450683458244,2.1156462585034013,0.2727272727272727,2.3507180650037798,0.3125
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,0.5901991692887312,2.1940035273368608,0.2857142857142857,3.055933484504913,0.4482758620689655
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,0.5352352650304107,2.2723607961703203,0.2989690721649484,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,0.5728266205262238,2.1156462585034013,0.2727272727272727,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,0.451140089641051,1.880574452003024,0.2352941176470588,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,0.539489383634408,1.958931720836483,0.2475247524752475,2.3507180650037798,0.3125
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,0.4792127297446023,1.7238599143361049,0.2115384615384615,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,mlp,0.014,0.0,0,1,0.4336627554115078,2.037288989669942,0.26,2.037288989669942,0.26
LSPIN,lspin_tf,mlp,0.014,0.0,0,2,0.4244340651296678,2.2723607961703203,0.2989690721649484,2.037288989669942,0.26
LSPIN,lspin_tf,mlp,0.014,0.0,0,3,0.4501204485322634,2.037288989669942,0.26,1.6455026455026456,0.2
LSPIN,lspin_tf,mlp,0.014,0.0,0,4,0.4360140463102531,2.3507180650037798,0.3125,1.802217183169564,0.2233009708737864
LSPIN,lspin_tf,mlp,0.014,0.0,1,2,0.3247925974929004,1.5671453766691863,0.1886792452830188,1.958931720836483,0.2475247524752475
LSPIN,lspin_tf,mlp,0.014,0.0,1,3,0.4895917961853492,2.1156462585034013,0.2727272727272727,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,mlp,0.014,0.0,1,4,0.3958634710847819,1.958931720836483,0.2475247524752475,2.037288989669942,0.26
LSPIN,lspin_tf,mlp,0.014,0.0,2,3,0.4005329592399332,1.802217183169564,0.2233009708737864,2.037288989669942,0.26
LSPIN,lspin_tf,mlp,0.014,0.0,2,4,0.3686597642258118,1.802217183169564,0.2233009708737864,2.1156462585034013,0.2727272727272727
