model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
L-Concrete,concrete,0.15,0.00275,0.1,1,2,0.6935670659604559
L-Concrete,concrete,0.15,0.00165,0.1,0,1,0.980004169302552
L-Concrete,concrete,0.15,0.00165,0.1,0,2,0.7261054865031884
L-Concrete,concrete,0.15,0.00165,0.1,1,2,0.773059729994583
L-Concrete,concrete,0.12,0.0066,0.1,0,1,0.8851405510251881
L-Concrete,concrete,0.12,0.0066,0.1,0,2,0.945504224711748
L-Concrete,concrete,0.12,0.0066,0.1,1,2,0.8571908689670893
L-Concrete,concrete,0.12,0.0044,0.1,0,1,0.9732071189205508
L-Concrete,concrete,0.12,0.0044,0.1,0,2,0.9452691125619694
L-Concrete,concrete,0.12,0.0044,0.1,1,2,0.9652131658812534
L-Concrete,concrete,0.12,0.0033,0.1,0,1,0.8910065011124808
L-Concrete,concrete,0.12,0.0033,0.1,0,2,0.8770346280259697
L-Concrete,concrete,0.12,0.0033,0.1,1,2,0.9755987605339482
L-Concrete,concrete,0.12,0.00275,0.1,0,1,0.9690673529112438
L-Concrete,concrete,0.12,0.00275,0.1,0,2,0.968122314101483
L-Concrete,concrete,0.12,0.00275,0.1,1,2,0.9411744196266248
L-Concrete,concrete,0.12,0.00165,0.1,0,1,0.9843176425178344
L-Concrete,concrete,0.12,0.00165,0.1,0,2,0.9679206874191372
L-Concrete,concrete,0.12,0.00165,0.1,1,2,0.9826476472423497
LSPIN,lspin_tf,0.15,0.014,0.2,0,1,0.7508468210004853
LSPIN,lspin_tf,0.15,0.014,0.2,0,2,0.7508827352798828
LSPIN,lspin_tf,0.15,0.014,0.2,1,2,0.8332635406994701
LSPIN,lspin_tf,0.15,0.0105,0.2,0,1,0.8779535518450899
LSPIN,lspin_tf,0.15,0.0105,0.2,0,2,0.8446708441971577
LSPIN,lspin_tf,0.15,0.0105,0.2,1,2,0.8369260940519911
LSPIN,lspin_tf,0.15,0.00875,0.2,0,1,0.8345595888661757
LSPIN,lspin_tf,0.15,0.00875,0.2,0,2,0.8870573205671978
LSPIN,lspin_tf,0.15,0.00875,0.2,1,2,0.8613448771804736
LSPIN,lspin_tf,0.15,0.007,0.2,0,1,0.8802944056993673
LSPIN,lspin_tf,0.15,0.007,0.2,0,2,0.8902267776397917
LSPIN,lspin_tf,0.15,0.007,0.2,1,2,0.8853497742786145
LSPIN,lspin_tf,0.15,0.00525,0.2,0,1,0.8702297793268197
LSPIN,lspin_tf,0.15,0.00525,0.2,0,2,0.8183574483351702
